area_id,area_name,b25127001,b25127001_moe,b25127002,b25127002_moe,b25127003,b25127003_moe,b25127004,b25127004_moe,b25127005,b25127005_moe,b25127006,b25127006_moe,b25127007,b25127007_moe,b25127008,b25127008_moe,b25127009,b25127009_moe,b25127010,b25127010_moe,b25127011,b25127011_moe,b25127012,b25127012_moe,b25127013,b25127013_moe,b25127014,b25127014_moe,b25127015,b25127015_moe,b25127016,b25127016_moe,b25127017,b25127017_moe,b25127018,b25127018_moe,b25127019,b25127019_moe,b25127020,b25127020_moe,b25127021,b25127021_moe,b25127022,b25127022_moe,b25127023,b25127023_moe,b25127024,b25127024_moe,b25127025,b25127025_moe,b25127026,b25127026_moe,b25127027,b25127027_moe,b25127028,b25127028_moe,b25127029,b25127029_moe,b25127030,b25127030_moe,b25127031,b25127031_moe,b25127032,b25127032_moe,b25127033,b25127033_moe,b25127034,b25127034_moe,b25127035,b25127035_moe,b25127036,b25127036_moe,b25127037,b25127037_moe,b25127038,b25127038_moe,b25127039,b25127039_moe,b25127040,b25127040_moe,b25127041,b25127041_moe,b25127042,b25127042_moe,b25127043,b25127043_moe,b25127044,b25127044_moe,b25127045,b25127045_moe,b25127046,b25127046_moe,b25127047,b25127047_moe,b25127048,b25127048_moe,b25127049,b25127049_moe,b25127050,b25127050_moe,b25127051,b25127051_moe,b25127052,b25127052_moe,b25127053,b25127053_moe,b25127054,b25127054_moe,b25127055,b25127055_moe,b25127056,b25127056_moe,b25127057,b25127057_moe,b25127058,b25127058_moe,b25127059,b25127059_moe,b25127060,b25127060_moe,b25127061,b25127061_moe,b25127062,b25127062_moe,b25127063,b25127063_moe,b25127064,b25127064_moe,b25127065,b25127065_moe,b25127066,b25127066_moe,b25127067,b25127067_moe,b25127068,b25127068_moe,b25127069,b25127069_moe,b25127070,b25127070_moe,b25127071,b25127071_moe,b25127072,b25127072_moe,b25127073,b25127073_moe
1,Southwest,23226,383,14808,462,1020,221,832,205,0,48,95,84,30,53,63,56,0,48,1806,242,1061,192,36,54,322,116,349,101,27,53,11,48,1777,251,1403,223,36,51,105,69,114,73,109,69,10,49,5349,395,5302,394,15,51,0,48,32,55,0,48,0,48,4856,400,4755,394,54,65,0,48,0,48,47,76,0,48,8418,488,600,153,56,56,105,96,99,72,77,68,263,116,0,48,1956,306,185,110,250,116,687,194,525,158,309,155,0,48,1895,283,222,94,315,121,799,179,437,154,122,104,0,48,2495,341,1273,257,395,143,533,176,148,88,135,107,11,48,1472,302,845,221,306,150,175,99,146,117,0,48,0,48
2,Delridge Neighborhoods,14850,356,7724,382,1190,227,945,201,54,73,111,97,31,50,49,53,0,38,1115,192,948,184,31,50,44,56,29,46,43,45,20,43,1028,181,861,161,80,82,11,40,22,46,43,53,11,40,2692,280,2692,280,0,38,0,38,0,38,0,38,0,38,1699,240,1683,240,4,37,0,38,0,38,0,38,12,41,7126,444,1288,220,246,92,253,131,171,102,168,94,450,125,0,38,1420,257,110,61,169,98,427,140,314,142,400,158,0,38,2259,345,613,188,242,104,867,240,308,158,182,108,47,77,1312,265,993,228,144,102,83,80,79,90,13,41,0,38,847,226,670,212,59,57,23,43,24,42,71,61,0,38
3,Greater Duwamish,16086,331,8359,418,1460,223,1423,221,15,47,1,44,0,45,13,48,8,45,1282,227,1099,210,16,49,39,52,19,52,63,62,46,63,1125,215,1028,205,37,69,19,49,19,48,15,47,7,45,2323,285,2310,284,13,47,0,45,0,45,0,45,0,45,2169,260,2042,253,40,56,27,48,0,45,60,54,0,45,7727,450,1677,254,553,175,354,173,151,112,250,170,369,106,0,45,1121,240,558,177,197,105,175,120,62,67,129,80,0,45,1430,259,555,176,155,84,429,155,101,68,190,104,0,45,1783,302,1077,230,249,118,333,159,55,83,69,87,0,45,1716,277,636,179,529,179,354,124,153,94,44,60,0,45
4,Southeast,17612,387,10861,427,930,208,859,200,23,54,9,45,39,71,0,45,0,45,1215,216,1176,209,9,44,0,45,0,45,0,45,30,51,1285,227,1238,224,0,45,15,48,0,45,32,52,0,45,3425,333,3406,331,11,47,0,45,8,44,0,45,0,45,4006,370,3968,369,29,47,0,45,0,45,9,44,0,45,6751,473,884,230,129,84,134,133,216,157,46,53,359,124,0,45,816,214,424,162,185,129,70,74,14,48,107,77,16,50,2402,384,506,179,333,158,608,220,393,184,529,176,33,58,1917,355,594,184,291,147,415,187,286,137,299,145,32,55,732,201,550,177,86,80,38,52,20,47,38,62,0,45
5,Central,13921,329,6894,359,1012,195,735,165,40,53,67,91,75,59,70,46,25,43,896,187,628,156,35,43,177,95,31,40,25,44,0,34,424,147,397,145,10,35,4,33,13,38,0,34,0,34,866,192,785,172,81,90,0,34,0,34,0,34,0,34,3696,314,3297,304,117,58,67,62,119,61,81,47,15,40,7027,395,957,195,155,76,18,37,20,39,186,107,578,147,0,34,967,219,145,78,115,73,173,92,291,127,243,109,0,34,1766,291,229,116,273,132,315,137,393,160,556,162,0,34,1010,242,194,88,158,121,410,154,172,114,76,53,0,34,2327,304,808,193,569,178,603,177,272,106,75,69,0,34
6,East,29701,474,8008,453,1148,216,459,130,33,56,126,79,174,106,356,131,0,47,1601,249,392,126,41,54,511,179,165,83,478,115,14,50,1367,256,173,90,0,47,246,122,433,154,503,149,12,49,765,177,404,133,0,47,116,78,69,68,176,94,0,47,3127,318,2338,236,62,66,286,169,431,124,10,48,0,47,21693,578,2507,402,167,190,93,76,339,217,565,181,1343,231,0,47,2385,311,179,105,168,99,257,94,867,220,914,187,0,47,4759,489,95,70,284,119,1321,273,1241,259,1812,308,6,46,3353,408,323,147,323,117,948,220,944,251,815,181,0,47,8689,584,635,228,883,231,2467,347,2985,398,1719,307,0,47
7,Northeast,30311,401,16806,426,1057,178,811,166,20,60,14,62,98,74,105,79,9,59,1038,199,796,176,30,72,64,66,77,72,16,59,55,72,1958,247,1348,220,19,59,142,78,122,74,239,93,88,82,6284,357,6207,354,15,59,39,65,0,59,19,63,4,57,6469,343,6109,329,68,76,154,97,97,75,26,64,15,61,13505,502,1695,253,191,101,70,71,450,155,368,158,606,144,10,60,2233,306,119,77,317,140,749,194,684,180,328,125,36,76,3431,407,432,153,573,184,1288,238,742,200,380,172,16,60,2668,347,1372,248,401,155,440,151,281,127,174,118,0,59,3478,392,1284,239,390,138,853,255,447,169,466,168,38,85
8,North,19461,351,9074,354,606,153,465,123,9,44,23,53,68,85,41,53,0,43,1315,205,840,166,15,46,145,101,92,59,189,68,34,53,1733,229,1260,204,43,56,134,82,129,66,167,94,0,43,3645,302,3604,301,17,46,11,45,0,43,0,43,13,45,1775,239,1775,239,0,43,0,43,0,43,0,43,0,43,10387,449,1437,236,240,123,30,52,185,134,174,100,808,182,0,43,2703,343,113,63,139,94,899,245,690,171,862,188,0,43,3968,391,388,143,528,210,1084,234,917,219,1008,207,43,81,1620,271,784,175,199,117,413,167,53,58,171,105,0,43,659,181,571,174,43,48,11,45,0,43,34,56,0,43
9,Northwest,33168,437,17569,559,1728,260,1298,227,69,83,104,102,115,79,142,76,0,54,2436,315,1390,229,21,58,446,145,421,138,73,64,85,90,1829,271,1194,208,96,78,245,115,200,115,43,68,51,57,4425,340,4395,339,23,57,0,54,0,54,7,54,0,54,7151,404,6980,399,155,85,16,57,0,54,0,54,0,54,15599,594,1872,306,317,135,151,116,241,130,305,150,858,212,0,54,4197,428,411,158,414,174,1077,245,1271,246,1021,226,3,53,4567,459,714,212,613,171,1473,265,856,229,911,219,0,54,2468,363,988,219,266,129,605,219,358,148,237,114,14,56,2495,320,1690,283,450,155,325,120,21,55,0,54,9,54
10,Ballard,21236,330,11602,423,1072,202,820,170,0,43,15,46,11,43,226,103,0,43,1087,197,655,147,76,63,257,122,59,47,40,49,0,43,875,170,564,138,12,44,193,86,14,45,80,57,12,45,3555,302,3472,295,69,57,0,43,14,47,0,43,0,43,5013,366,4904,356,109,90,0,43,0,43,0,43,0,43,9634,493,1355,287,290,139,59,80,51,57,50,69,905,234,0,43,1646,296,144,95,337,144,477,163,590,196,98,78,0,43,2822,344,344,129,584,187,1457,267,278,127,159,90,0,43,2101,298,896,188,371,133,530,174,203,122,101,75,0,43,1710,312,1012,234,366,160,158,87,158,112,16,48,0,43
