area_id,area_name,b01002g001,b01002g001_moe,b01002g002,b01002g002_moe,b01002g003,b01002g003_moe
1,Southwest,177,50,149,56,210,82
2,Delridge Neighborhoods,184,41,160,56,216,82
3,Greater Duwamish,308,106,298,137,324,113
4,Southeast,215,53,163,58,241,48
5,Central,197,38,202,70,198,70
6,East,222,69,248,79,277,62
7,Northeast,331,42,357,72,317,78
8,North,223,62,294,86,206,87
9,Northwest,331,65,279,83,345,97
10,Ballard,181,60,191,55,172,74
11,Lake Union,225,47,202,88,240,44
12,Magnolia/Queen Anne,214,35,211,39,237,55
13,Downtown,178,42,215,78,171,47
