area_id,area_name,b23009001,b23009001_moe,b23009002,b23009002_moe,b23009003,b23009003_moe,b23009004,b23009004_moe,b23009005,b23009005_moe,b23009006,b23009006_moe,b23009007,b23009007_moe,b23009008,b23009008_moe,b23009009,b23009009_moe,b23009010,b23009010_moe,b23009011,b23009011_moe,b23009012,b23009012_moe,b23009013,b23009013_moe,b23009014,b23009014_moe,b23009015,b23009015_moe,b23009016,b23009016_moe,b23009017,b23009017_moe,b23009018,b23009018_moe,b23009019,b23009019_moe,b23009020,b23009020_moe,b23009021,b23009021_moe,b23009022,b23009022_moe,b23009023,b23009023_moe,b23009024,b23009024_moe,b23009025,b23009025_moe,b23009026,b23009026_moe,b23009027,b23009027_moe,b23009028,b23009028_moe,b23009029,b23009029_moe,b23009030,b23009030_moe,b23009031,b23009031_moe,b23009032,b23009032_moe,b23009033,b23009033_moe,b23009034,b23009034_moe,b23009035,b23009035_moe,b23009036,b23009036_moe,b23009037,b23009037_moe,b23009038,b23009038_moe,b23009039,b23009039_moe,b23009040,b23009040_moe,b23009041,b23009041_moe,b23009042,b23009042_moe,b23009043,b23009043_moe
1,Southwest,11615,463,5199,308,4060,266,9,48,769,176,3055,274,2988,276,67,74,227,92,213,90,14,50,1139,250,201,93,23,58,114,76,64,58,0,48,938,232,70,85,769,213,99,69,0,48,6416,423,5518,403,980,177,830,174,3258,350,3141,349,117,87,450,124,450,124,0,48,898,207,261,125,40,54,69,58,152,110,0,48,637,169,157,105,216,99,214,94,50,58
2,Delridge Neighborhoods,7898,410,3790,349,2193,266,0,38,503,142,1480,238,1454,235,26,49,210,93,182,86,28,49,1597,281,324,111,32,50,156,76,79,58,57,63,1273,255,155,86,847,231,242,128,29,50,4108,385,3013,331,281,107,629,160,1723,267,1628,267,95,57,380,121,281,102,99,73,1095,249,434,187,7,38,153,114,233,150,41,54,661,175,135,102,183,72,276,107,67,54
3,Greater Duwamish,10023,429,4854,335,3270,341,48,67,608,178,2005,297,1859,289,146,86,609,175,462,151,147,116,1584,281,391,143,18,45,250,106,71,76,52,71,1193,263,103,79,984,244,33,50,73,71,5169,372,3355,319,551,149,627,152,1504,245,1346,239,158,77,673,155,563,138,110,86,1814,272,674,180,57,61,151,93,300,122,166,99,1140,231,160,95,337,124,437,158,206,104
4,Southeast,10698,475,4709,371,3003,348,63,84,736,221,1663,255,1608,250,55,58,541,177,489,176,52,62,1706,296,407,147,12,47,395,146,0,45,0,45,1299,282,176,104,1004,255,119,92,0,45,5989,438,4027,380,582,144,948,210,1970,302,1782,291,188,93,527,146,467,137,60,57,1962,318,544,170,132,83,158,102,180,109,74,74,1418,268,109,80,634,174,536,178,139,87
5,Central,5827,366,2566,267,1800,239,0,34,549,149,1114,217,1087,215,27,42,137,69,137,69,0,34,766,210,157,89,14,38,125,84,0,34,18,40,609,191,58,66,513,171,38,56,0,34,3261,306,2512,273,270,90,496,144,1587,221,1430,219,157,118,159,75,145,72,14,37,749,189,161,100,0,34,64,66,97,82,0,34,588,168,175,104,204,106,193,98,16,36
6,East,6914,493,2277,276,1605,248,17,46,501,132,996,230,956,228,40,52,91,61,91,61,0,47,672,169,131,72,23,50,108,68,0,47,0,47,541,170,62,68,438,156,29,61,12,51,4637,427,4129,401,622,132,773,180,2663,372,2592,366,71,74,71,65,71,65,0,47,508,162,227,117,7,46,90,90,96,81,34,58,281,127,98,72,88,59,82,98,13,48
7,Northeast,14739,465,6562,289,5514,278,35,62,1394,206,3718,269,3640,272,78,73,367,106,367,106,0,59,1048,192,261,111,0,59,217,103,44,69,0,59,787,162,32,60,620,141,126,93,9,60,8177,434,6797,389,1016,163,1302,216,3852,353,3680,347,172,88,627,148,600,146,27,57,1380,245,457,144,63,68,79,71,242,117,73,79,923,201,64,66,326,109,488,163,45,69
8,North,9165,448,3678,329,2701,263,23,46,736,179,1718,229,1686,228,32,50,224,86,208,84,16,45,977,239,142,89,11,46,105,83,26,48,0,43,835,228,157,96,554,182,67,66,57,84,5487,379,4107,349,714,149,696,164,2380,279,2222,266,158,106,317,98,317,98,0,43,1380,237,631,187,63,77,212,111,291,127,65,72,749,176,79,66,211,94,405,138,54,68
9,Northwest,15452,570,6526,382,5252,344,10,55,1240,218,3654,324,3602,326,52,62,348,125,348,125,0,54,1274,239,354,130,8,54,312,119,34,74,0,54,920,205,84,101,752,181,76,80,8,54,8926,513,7438,504,934,178,1391,233,4654,434,4438,431,216,93,459,127,395,120,64,65,1488,243,291,105,50,59,93,71,113,76,35,65,1197,226,249,109,385,124,527,156,36,57
10,Ballard,10539,437,4435,301,3435,289,36,56,724,155,2467,294,2408,289,59,65,208,84,208,84,0,43,1000,216,355,146,24,46,272,122,59,75,0,43,645,167,30,47,517,158,98,81,0,43,6104,424,5248,404,667,137,787,168,3468,389,3338,384,130,75,326,113,310,110,16,46,856,205,221,114,19,50,44,51,148,103,10,43,635,167,103,74,196,91,336,136,0,43
11,Lake Union,6677,455,2511,235,1836,201,0,42,353,124,1433,193,1433,193,0,42,50,49,36,45,14,45,675,182,245,127,0,42,245,127,0,42,0,42,430,138,19,46,390,130,21,48,0,42,4166,402,3552,358,319,100,795,192,2272,316,2247,314,25,49,166,76,166,76,0,42,614,205,312,175,89,132,26,47,160,115,37,56,302,100,66,55,125,71,111,70,0,42
12,Magnolia/Queen Anne,12146,520,4980,348,4298,333,27,56,1168,220,2897,317,2864,317,33,59,206,91,206,91,0,51,682,187,167,94,15,54,152,91,0,51,0,51,515,168,13,54,441,156,43,69,18,55,7166,484,6560,460,907,183,1426,266,3980,391,3898,389,82,70,247,109,172,79,75,86,606,157,155,86,16,54,48,66,81,69,10,51,451,140,21,53,131,74,285,124,14,53
13,Downtown,2301,306,556,135,362,105,0,29,77,60,279,90,270,90,9,31,6,29,0,29,6,29,194,97,39,57,0,29,31,55,8,30,0,29,155,83,0,29,155,83,0,29,0,29,1745,272,1614,261,418,145,230,79,924,221,915,220,9,31,42,49,42,49,0,29,131,82,54,63,8,31,32,60,0,29,14,33,77,54,20,32,6,29,9,31,42,49
