area_id,area_name,b19101a001,b19101a001_moe,b19101a002,b19101a002_moe,b19101a003,b19101a003_moe,b19101a004,b19101a004_moe,b19101a005,b19101a005_moe,b19101a006,b19101a006_moe,b19101a007,b19101a007_moe,b19101a008,b19101a008_moe,b19101a009,b19101a009_moe,b19101a010,b19101a010_moe,b19101a011,b19101a011_moe,b19101a012,b19101a012_moe,b19101a013,b19101a013_moe,b19101a014,b19101a014_moe,b19101a015,b19101a015_moe,b19101a016,b19101a016_moe,b19101a017,b19101a017_moe
1,Southwest,10617,462,166,95,63,62,65,56,142,102,265,125,141,84,271,126,230,96,244,114,539,158,769,152,1621,250,1558,252,1293,242,1461,217,1789,271
2,Delridge Neighborhoods,4717,351,41,49,80,63,67,64,216,122,190,104,126,72,185,93,142,73,103,67,257,106,733,190,868,186,678,159,418,126,351,118,262,129
3,Greater Duwamish,2892,316,96,84,57,68,98,90,100,78,71,66,106,86,111,74,166,111,132,89,256,104,239,104,432,121,318,114,390,134,173,105,147,96
4,Southeast,4635,367,115,105,96,82,117,95,84,82,78,63,72,81,84,70,191,95,63,59,380,156,434,133,550,174,617,141,333,118,697,185,724,170
5,Central,3552,311,75,70,28,41,0,34,11,34,85,101,97,65,99,71,34,42,138,89,125,65,282,126,468,140,389,135,310,114,532,127,879,187
6,East,5347,481,54,57,0,47,30,50,36,54,149,159,215,126,53,59,124,91,100,83,290,138,467,133,679,176,705,201,610,232,554,173,1281,183
7,Northeast,12386,446,241,116,121,82,94,69,123,73,347,164,131,75,179,93,222,95,208,85,500,157,945,181,1469,232,1555,234,1153,200,1779,242,3319,289
8,North,6829,408,166,109,221,119,114,89,231,104,54,59,239,105,264,163,120,82,290,120,559,164,713,176,865,176,1060,196,640,137,664,139,629,138
9,Northwest,12554,544,159,109,178,94,106,71,187,95,159,83,295,112,229,103,381,136,261,109,816,199,1288,243,2031,277,1946,302,1430,246,1515,235,1573,219
10,Ballard,9505,439,182,92,28,50,93,70,134,92,226,135,89,59,103,67,209,109,259,110,657,181,999,202,1595,274,1603,275,1165,220,1135,205,1028,183
11,Lake Union,5575,393,99,81,43,48,93,67,63,60,47,53,226,138,109,75,267,125,153,95,187,95,502,156,769,166,634,154,600,142,896,183,887,174
12,Magnolia/Queen Anne,10785,511,114,66,88,73,92,72,112,72,116,74,338,120,131,80,215,110,167,97,464,156,729,186,1399,256,1296,245,1202,230,1578,272,2744,312
13,Downtown,1255,235,9,31,14,36,22,33,0,29,5,29,0,29,0,29,68,78,6,29,69,49,190,108,81,74,181,64,52,53,146,93,412,130
