area_id,area_name,b12002e001,b12002e001_moe,b12002e002,b12002e002_moe,b12002e003,b12002e003_moe,b12002e004,b12002e004_moe,b12002e005,b12002e005_moe,b12002e006,b12002e006_moe,b12002e007,b12002e007_moe,b12002e008,b12002e008_moe,b12002e009,b12002e009_moe,b12002e010,b12002e010_moe,b12002e011,b12002e011_moe,b12002e012,b12002e012_moe,b12002e013,b12002e013_moe
1,Southwest,131,126,15,58,15,58,0,48,0,48,0,48,0,48,116,116,0,48,0,48,0,48,0,48,116,116
2,Delridge Neighborhoods,234,159,134,113,22,44,50,51,54,90,0,38,8,39,100,81,16,46,41,59,0,38,22,51,21,41
3,Greater Duwamish,411,247,198,140,103,95,95,79,0,45,0,45,0,45,213,144,46,67,103,85,0,45,64,96,0,45
4,Southeast,295,275,110,118,0,45,110,118,0,45,0,45,0,45,185,190,77,126,108,100,0,45,0,45,0,45
5,Central,9,36,0,34,0,34,0,34,0,34,0,34,0,34,9,36,0,34,0,34,0,34,9,36,0,34
6,East,64,67,47,63,15,49,8,48,10,49,14,52,0,47,17,52,0,47,0,47,17,52,0,47,0,47
7,Northeast,97,80,36,62,4,57,32,64,0,59,0,59,0,59,61,75,61,75,0,59,0,59,0,59,0,59
8,North,226,169,76,83,46,69,30,63,0,43,0,43,0,43,150,134,44,59,48,71,0,43,58,88,0,43
9,Northwest,244,154,109,90,90,88,19,54,0,54,0,54,0,54,135,110,83,103,36,60,0,54,0,54,16,55
10,Ballard,121,137,37,65,21,56,16,43,0,43,0,43,0,43,84,94,31,71,23,47,0,43,0,43,30,55
11,Lake Union,56,87,56,87,56,87,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,18,49,12,51,0,51,12,51,0,51,0,51,0,51,6,49,6,49,0,51,0,51,0,51,0,51
13,Downtown,17,39,17,39,13,37,4,28,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
