area_id,area_name,b08130001,b08130001_moe,b08130002,b08130002_moe,b08130003,b08130003_moe,b08130004,b08130004_moe,b08130005,b08130005_moe,b08130006,b08130006_moe,b08130007,b08130007_moe,b08130008,b08130008_moe,b08130009,b08130009_moe,b08130010,b08130010_moe,b08130011,b08130011_moe,b08130012,b08130012_moe,b08130013,b08130013_moe,b08130014,b08130014_moe,b08130015,b08130015_moe,b08130016,b08130016_moe,b08130017,b08130017_moe,b08130018,b08130018_moe,b08130019,b08130019_moe,b08130020,b08130020_moe,b08130021,b08130021_moe,b08130022,b08130022_moe,b08130023,b08130023_moe,b08130024,b08130024_moe,b08130025,b08130025_moe,b08130026,b08130026_moe,b08130027,b08130027_moe,b08130028,b08130028_moe,b08130029,b08130029_moe,b08130030,b08130030_moe,b08130031,b08130031_moe
1,Southwest,27930,842,27703,843,26430,820,1273,264,227,93,17803,854,17725,851,16706,809,1019,244,78,65,2944,466,2944,466,2825,464,119,81,0,48,3879,430,3879,430,3808,430,71,62,0,48,481,155,434,146,420,143,14,50,47,58,699,182,597,169,547,170,50,61,102,69,2124,309
2,Delridge Neighborhoods,18280,717,18187,717,17535,722,652,178,93,68,11240,623,11226,623,10725,625,501,163,14,43,2438,409,2438,409,2350,403,88,66,0,38,2985,456,2962,455,2910,453,52,53,23,41,385,171,385,171,374,170,11,40,0,38,439,141,383,129,383,129,0,38,56,61,793,184
3,Greater Duwamish,23165,1099,23056,1095,21905,1073,1151,325,109,64,12987,866,12949,864,12298,851,651,227,38,53,3352,528,3317,527,3023,509,294,184,35,51,4634,561,4626,561,4448,539,178,132,8,46,721,191,704,189,694,187,10,47,17,49,900,236,889,236,871,235,18,47,11,44,571,159
4,Southeast,22046,939,21931,942,21299,936,632,165,115,90,13286,786,13220,787,12754,786,466,147,66,81,2629,420,2617,420,2544,419,73,65,12,48,3748,481,3748,481,3688,481,60,60,0,45,484,164,465,161,453,160,12,47,19,51,750,205,732,203,711,202,21,50,18,50,1149,258
5,Central,17277,741,17154,741,16536,737,618,230,123,68,7810,586,7810,586,7365,577,445,149,0,34,1362,337,1345,336,1199,271,146,188,17,42,3450,450,3430,449,3403,447,27,43,20,42,2128,362,2086,360,2086,360,0,34,42,44,1373,290,1329,289,1329,289,0,34,44,45,1154,251
6,East,32499,978,32339,978,31341,987,998,222,160,80,10940,754,10882,753,10229,736,653,175,58,60,1380,315,1380,315,1273,306,107,76,0,47,7350,675,7322,673,7185,672,137,92,28,55,9588,795,9560,796,9500,796,60,63,28,52,1441,303,1395,299,1354,295,41,66,46,54,1800,344
7,Northeast,42414,1259,42041,1258,39910,1255,2131,305,373,146,20791,923,20671,920,18959,893,1712,279,120,73,3299,440,3213,431,2957,418,256,111,86,103,8136,690,8057,680,7948,675,109,89,79,95,4218,506,4187,505,4172,503,15,61,31,65,2864,407,2807,407,2768,404,39,64,57,66,3106,416
8,North,22378,886,22163,887,20230,811,1933,354,215,99,12842,762,12745,765,11295,689,1450,289,97,61,2604,382,2604,382,2257,361,347,163,0,43,4282,490,4245,490,4153,460,92,100,37,49,666,175,634,171,617,170,17,44,32,48,997,239,948,226,921,225,27,47,49,75,987,209
9,Northwest,40650,1078,40333,1080,36991,1086,3342,404,317,150,23603,919,23418,917,20839,899,2579,336,185,136,4120,536,4080,534,3497,470,583,232,40,65,6776,591,6739,587,6635,588,104,79,37,61,1295,260,1282,259,1282,259,0,54,13,56,1974,315,1932,310,1856,302,76,72,42,62,2882,406
10,Ballard,27338,892,27105,890,25717,883,1388,246,233,118,15697,794,15596,789,14468,790,1128,218,101,73,2671,454,2656,456,2521,448,135,97,15,46,4618,502,4618,502,4571,501,47,58,0,43,937,233,925,228,914,228,11,44,12,45,1451,260,1346,252,1279,240,67,75,105,68,1964,370
11,Lake Union,29994,1185,29694,1185,27962,1161,1732,373,300,133,13374,816,13295,813,12038,752,1257,312,79,67,2287,420,2220,409,1949,371,271,173,67,101,6333,644,6310,646,6226,645,84,60,23,44,4070,485,4011,484,3991,482,20,46,59,62,2085,357,2013,356,1913,344,100,98,72,58,1845,296
12,Magnolia/Queen Anne,36929,1190,36482,1205,34960,1188,1522,312,447,194,19195,943,19038,938,17866,897,1172,271,157,112,3125,508,3103,507,2896,490,207,123,22,52,6633,627,6511,617,6486,617,25,56,122,149,3683,534,3589,531,3517,524,72,95,94,76,1299,258,1247,253,1201,254,46,59,52,68,2994,362
13,Downtown,9773,593,9670,594,9386,584,284,129,103,63,2868,377,2807,379,2605,361,202,111,61,51,482,259,467,258,439,253,28,52,15,35,2120,331,2120,331,2066,328,54,48,0,29,3207,426,3180,427,3180,427,0,29,27,38,200,114,200,114,200,114,0,29,0,29,896,234
