STUSAB,SUMLEV,COUNTY,COUSUB,PLACE,GEOID2,CHGOCA,TRACT,NAME
IL,080,031,14000,14000,05050900,05,050900,CA 05 Tract 050900
IL,080,031,14000,14000,05051000,05,051000,CA 05 Tract 051000
IL,080,031,14000,14000,05051100,05,051100,CA 05 Tract 051100
IL,080,031,14000,14000,05051200,05,051200,CA 05 Tract 051200
IL,080,031,14000,14000,05051300,05,051300,CA 05 Tract 051300
IL,080,031,14000,14000,05051400,05,051400,CA 05 Tract 051400
IL,080,031,14000,14000,05843700,05,843700,CA 05 Tract 843700
IL,080,031,14000,14000,06060100,06,060100,CA 06 Tract 060100
IL,080,031,14000,14000,06060200,06,060200,CA 06 Tract 060200
IL,080,031,14000,14000,06060300,06,060300,CA 06 Tract 060300
IL,080,031,14000,14000,06060400,06,060400,CA 06 Tract 060400
IL,080,031,14000,14000,06060500,06,060500,CA 06 Tract 060500
IL,080,031,14000,14000,06060800,06,060800,CA 06 Tract 060800
IL,080,031,14000,14000,06060900,06,060900,CA 06 Tract 060900
IL,080,031,14000,14000,06061000,06,061000,CA 06 Tract 061000
IL,080,031,14000,14000,06061100,06,061100,CA 06 Tract 061100
IL,080,031,14000,14000,06061200,06,061200,CA 06 Tract 061200
IL,080,031,14000,14000,06061500,06,061500,CA 06 Tract 061500
IL,080,031,14000,14000,06061800,06,061800,CA 06 Tract 061800
IL,080,031,14000,14000,06061901,06,061901,CA 06 Tract 061901
IL,080,031,14000,14000,06061902,06,061902,CA 06 Tract 061902
IL,080,031,14000,14000,06062000,06,062000,CA 06 Tract 062000
IL,080,031,14000,14000,06062100,06,062100,CA 06 Tract 062100
IL,080,031,14000,14000,06062200,06,062200,CA 06 Tract 062200
IL,080,031,14000,14000,06062300,06,062300,CA 06 Tract 062300
IL,080,031,14000,14000,06062400,06,062400,CA 06 Tract 062400
IL,080,031,14000,14000,06062500,06,062500,CA 06 Tract 062500
IL,080,031,14000,14000,06062600,06,062600,CA 06 Tract 062600
IL,080,031,14000,14000,06062700,06,062700,CA 06 Tract 062700
IL,080,031,14000,14000,06062800,06,062800,CA 06 Tract 062800
IL,080,031,14000,14000,06062900,06,062900,CA 06 Tract 062900
IL,080,031,14000,14000,06063000,06,063000,CA 06 Tract 063000
IL,080,031,14000,14000,06063100,06,063100,CA 06 Tract 063100
IL,080,031,14000,14000,06063200,06,063200,CA 06 Tract 063200
IL,080,031,14000,14000,06063301,06,063301,CA 06 Tract 063301
IL,080,031,14000,14000,06063302,06,063302,CA 06 Tract 063302
IL,080,031,14000,14000,06063303,06,063303,CA 06 Tract 063303
IL,080,031,14000,14000,06063400,06,063400,CA 06 Tract 063400
IL,080,031,14000,14000,06831900,06,831900,CA 06 Tract 831900
IL,080,031,14000,14000,06832000,06,832000,CA 06 Tract 832000
IL,080,031,14000,14000,06832100,06,832100,CA 06 Tract 832100
IL,080,031,14000,14000,07070101,07,070101,CA 07 Tract 070101
IL,080,031,14000,14000,07070102,07,070102,CA 07 Tract 070102
IL,080,031,14000,14000,07070103,07,070103,CA 07 Tract 070103
IL,080,031,14000,14000,07070200,07,070200,CA 07 Tract 070200
IL,080,031,14000,14000,07070300,07,070300,CA 07 Tract 070300
IL,080,031,14000,14000,07070400,07,070400,CA 07 Tract 070400
IL,080,031,14000,14000,07070500,07,070500,CA 07 Tract 070500
IL,080,031,14000,14000,07070600,07,070600,CA 07 Tract 070600
IL,080,031,14000,14000,07070700,07,070700,CA 07 Tract 070700
IL,080,031,14000,14000,07071000,07,071000,CA 07 Tract 071000
IL,080,031,14000,14000,07071100,07,071100,CA 07 Tract 071100
IL,080,031,14000,14000,07071200,07,071200,CA 07 Tract 071200
IL,080,031,14000,14000,07071300,07,071300,CA 07 Tract 071300
IL,080,031,14000,14000,07071400,07,071400,CA 07 Tract 071400
IL,080,031,14000,14000,07071500,07,071500,CA 07 Tract 071500
IL,080,031,14000,14000,07071600,07,071600,CA 07 Tract 071600
IL,080,031,14000,14000,07071700,07,071700,CA 07 Tract 071700
IL,080,031,14000,14000,07071800,07,071800,CA 07 Tract 071800
IL,080,031,14000,14000,07832500,07,832500,CA 07 Tract 832500
IL,080,031,14000,14000,07832600,07,832600,CA 07 Tract 832600
IL,080,031,14000,14000,08080100,08,080100,CA 08 Tract 080100
IL,080,031,14000,14000,08080201,08,080201,CA 08 Tract 080201
IL,080,031,14000,14000,08080202,08,080202,CA 08 Tract 080202
IL,080,031,14000,14000,08080300,08,080300,CA 08 Tract 080300
IL,080,031,14000,14000,08080400,08,080400,CA 08 Tract 080400
IL,080,031,14000,14000,08081000,08,081000,CA 08 Tract 081000
IL,080,031,14000,14000,08081100,08,081100,CA 08 Tract 081100
IL,080,031,14000,14000,08081201,08,081201,CA 08 Tract 081201
IL,080,031,14000,14000,08081202,08,081202,CA 08 Tract 081202
IL,080,031,14000,14000,08081300,08,081300,CA 08 Tract 081300
IL,080,031,14000,14000,08081401,08,081401,CA 08 Tract 081401
IL,080,031,14000,14000,08081402,08,081402,CA 08 Tract 081402
IL,080,031,14000,14000,08081403,08,081403,CA 08 Tract 081403
IL,080,031,14000,14000,08081500,08,081500,CA 08 Tract 081500
IL,080,031,14000,14000,08081600,08,081600,CA 08 Tract 081600
IL,080,031,14000,14000,08081700,08,081700,CA 08 Tract 081700
IL,080,031,14000,14000,08081800,08,081800,CA 08 Tract 081800
IL,080,031,14000,14000,08081900,08,081900,CA 08 Tract 081900
IL,080,031,14000,14000,08838300,08,838300,CA 08 Tract 838300
IL,080,031,14000,14000,08842200,08,842200,CA 08 Tract 842200
IL,080,031,14000,14000,09090100,09,090100,CA 09 Tract 090100
IL,080,031,14000,14000,09090200,09,090200,CA 09 Tract 090200
IL,080,031,14000,14000,09090300,09,090300,CA 09 Tract 090300
IL,080,031,14000,14000,09805600,09,805600,CA 09 Tract 805600
IL,080,031,14000,14000,10100100,10,100100,CA 10 Tract 100100
IL,080,031,14000,14000,10100200,10,100200,CA 10 Tract 100200
IL,080,031,14000,14000,10100300,10,100300,CA 10 Tract 100300
IL,080,031,14000,14000,10100400,10,100400,CA 10 Tract 100400
IL,080,031,14000,14000,10100500,10,100500,CA 10 Tract 100500
IL,080,031,14000,14000,10100600,10,100600,CA 10 Tract 100600
IL,080,031,14000,14000,10100700,10,100700,CA 10 Tract 100700
IL,080,031,14000,14000,10810400,10,810400,CA 10 Tract 810400
IL,080,031,14000,14000,11110100,11,110100,CA 11 Tract 110100
IL,080,031,14000,14000,11110200,11,110200,CA 11 Tract 110200
IL,080,031,14000,14000,11110300,11,110300,CA 11 Tract 110300
IL,080,031,14000,14000,11110400,11,110400,CA 11 Tract 110400
IL,080,031,14000,14000,11110501,11,110501,CA 11 Tract 110501
IL,080,031,14000,14000,11110502,11,110502,CA 11 Tract 110502
IL,080,031,14000,14000,12120100,12,120100,CA 12 Tract 120100
IL,080,031,14000,14000,12120200,12,120200,CA 12 Tract 120200
IL,080,031,14000,14000,12120300,12,120300,CA 12 Tract 120300
IL,080,031,14000,14000,12120400,12,120400,CA 12 Tract 120400
IL,080,031,14000,14000,12807900,12,807900,CA 12 Tract 807900
IL,080,031,14000,14000,12808100,12,808100,CA 12 Tract 808100
IL,080,031,14000,14000,13130100,13,130100,CA 13 Tract 130100
IL,080,031,14000,14000,13130200,13,130200,CA 13 Tract 130200
IL,080,031,14000,14000,13130300,13,130300,CA 13 Tract 130300
IL,080,031,14000,14000,13831800,13,831800,CA 13 Tract 831800
IL,080,031,14000,14000,14140100,14,140100,CA 14 Tract 140100
IL,080,031,14000,14000,14140200,14,140200,CA 14 Tract 140200
IL,080,031,14000,14000,14140301,14,140301,CA 14 Tract 140301
IL,080,031,14000,14000,14140302,14,140302,CA 14 Tract 140302
IL,080,031,14000,14000,14140400,14,140400,CA 14 Tract 140400
IL,080,031,14000,14000,14140500,14,140500,CA 14 Tract 140500
IL,080,031,14000,14000,14140601,14,140601,CA 14 Tract 140601
IL,080,031,14000,14000,14140602,14,140602,CA 14 Tract 140602
IL,080,031,14000,14000,14140701,14,140701,CA 14 Tract 140701
IL,080,031,14000,14000,14140702,14,140702,CA 14 Tract 140702
IL,080,031,14000,14000,14140800,14,140800,CA 14 Tract 140800
IL,080,031,14000,14000,15150200,15,150200,CA 15 Tract 150200
IL,080,031,14000,14000,15150300,15,150300,CA 15 Tract 150300
IL,080,031,14000,14000,15150401,15,150401,CA 15 Tract 150401
IL,080,031,14000,14000,15150402,15,150402,CA 15 Tract 150402
IL,080,031,14000,14000,15150501,15,150501,CA 15 Tract 150501
IL,080,031,14000,14000,15150502,15,150502,CA 15 Tract 150502
IL,080,031,14000,14000,15150600,15,150600,CA 15 Tract 150600
IL,080,031,14000,14000,15150700,15,150700,CA 15 Tract 150700
IL,080,031,14000,14000,15150800,15,150800,CA 15 Tract 150800
IL,080,031,14000,14000,15151001,15,151001,CA 15 Tract 151001
IL,080,031,14000,14000,15151002,15,151002,CA 15 Tract 151002
IL,080,031,14000,14000,15151100,15,151100,CA 15 Tract 151100
IL,080,031,14000,14000,15151200,15,151200,CA 15 Tract 151200
IL,080,031,14000,14000,15831700,15,831700,CA 15 Tract 831700
IL,080,031,14000,14000,16160100,16,160100,CA 16 Tract 160100
IL,080,031,14000,14000,16160200,16,160200,CA 16 Tract 160200
IL,080,031,14000,14000,16160300,16,160300,CA 16 Tract 160300
IL,080,031,14000,14000,16160400,16,160400,CA 16 Tract 160400
IL,080,031,14000,14000,16160501,16,160501,CA 16 Tract 160501
IL,080,031,14000,14000,16160502,16,160502,CA 16 Tract 160502
IL,080,031,14000,14000,16160601,16,160601,CA 16 Tract 160601
IL,080,031,14000,14000,16160602,16,160602,CA 16 Tract 160602
IL,080,031,14000,14000,16160700,16,160700,CA 16 Tract 160700
IL,080,031,14000,14000,16160800,16,160800,CA 16 Tract 160800
IL,080,031,14000,14000,16160900,16,160900,CA 16 Tract 160900
IL,080,031,14000,14000,16161000,16,161000,CA 16 Tract 161000
IL,080,031,14000,14000,16161100,16,161100,CA 16 Tract 161100
IL,080,031,14000,14000,16161200,16,161200,CA 16 Tract 161200
IL,080,031,14000,14000,16161300,16,161300,CA 16 Tract 161300
IL,080,031,14000,14000,17170100,17,170100,CA 17 Tract 170100
IL,080,031,14000,14000,17170200,17,170200,CA 17 Tract 170200
IL,080,031,14000,14000,17170300,17,170300,CA 17 Tract 170300
IL,080,031,14000,14000,17170400,17,170400,CA 17 Tract 170400
IL,080,031,14000,14000,17170500,17,170500,CA 17 Tract 170500
IL,080,031,14000,14000,17170600,17,170600,CA 17 Tract 170600
IL,080,031,14000,14000,17170700,17,170700,CA 17 Tract 170700
IL,080,031,14000,14000,17170800,17,170800,CA 17 Tract 170800
IL,080,031,14000,14000,17170900,17,170900,CA 17 Tract 170900
IL,080,031,14000,14000,17171000,17,171000,CA 17 Tract 171000
IL,080,031,14000,14000,17171100,17,171100,CA 17 Tract 171100
IL,080,031,14000,14000,18180100,18,180100,CA 18 Tract 180100
IL,080,031,14000,14000,18831600,18,831600,CA 18 Tract 831600
IL,080,031,14000,14000,19190100,19,190100,CA 19 Tract 190100
IL,080,031,14000,14000,19190200,19,190200,CA 19 Tract 190200
IL,080,031,14000,14000,19190300,19,190300,CA 19 Tract 190300
IL,080,031,14000,14000,19190401,19,190401,CA 19 Tract 190401
IL,080,031,14000,14000,19190402,19,190402,CA 19 Tract 190402
IL,080,031,14000,14000,19190601,19,190601,CA 19 Tract 190601
IL,080,031,14000,14000,19190602,19,190602,CA 19 Tract 190602
