area_id,area_name,b19001i001,b19001i001_moe,b19001i002,b19001i002_moe,b19001i003,b19001i003_moe,b19001i004,b19001i004_moe,b19001i005,b19001i005_moe,b19001i006,b19001i006_moe,b19001i007,b19001i007_moe,b19001i008,b19001i008_moe,b19001i009,b19001i009_moe,b19001i010,b19001i010_moe,b19001i011,b19001i011_moe,b19001i012,b19001i012_moe,b19001i013,b19001i013_moe,b19001i014,b19001i014_moe,b19001i015,b19001i015_moe,b19001i016,b19001i016_moe,b19001i017,b19001i017_moe
1.1,Arbor Heights,131,79,0,17,0,17,0,17,28,47,0,17,0,17,0,17,0,17,0,17,24,42,0,17,22,37,15,24,18,22,11,20,13,23
1.2,Fauntleroy/Seaview,206,89,56,47,0,24,16,31,14,29,0,24,0,24,0,24,15,30,0,24,19,35,0,24,15,29,0,24,0,24,49,56,22,35
1.3,West Seattle Junction/Genesee Hill,253,115,31,38,0,29,0,29,0,29,17,36,16,35,0,29,0,29,30,43,12,31,0,29,13,34,11,31,61,71,11,29,51,62
1.4,Alki/Admiral,200,123,0,24,0,24,0,24,0,24,20,36,0,24,44,51,0,24,0,24,54,86,13,26,0,24,24,40,19,35,0,24,26,43
2.1,North Delridge,237,87,35,37,0,12,0,12,54,81,0,12,24,39,0,12,0,12,0,12,37,42,27,31,34,43,26,32,0,12,0,12,0,12
2.2,High Point,66,45,0,17,0,17,0,17,10,22,16,28,0,17,0,17,7,17,0,17,18,29,5,16,0,17,10,20,0,17,0,17,0,17
2.3,Riverview,55,35,0,12,0,12,0,12,0,12,9,15,0,12,0,12,12,18,0,12,0,12,0,12,18,25,8,13,0,12,0,12,8,14
2.4,Roxhill/Westwood,928,194,0,21,90,69,50,59,85,83,105,99,25,37,2,18,49,51,42,50,40,42,217,119,162,112,45,51,0,21,7,21,9,23
2.5,Highland Park,325,148,42,49,11,22,19,33,50,79,21,35,0,21,20,32,0,21,40,49,0,21,64,102,23,30,2,23,11,25,22,38,0,21
3.1,South Park,394,81,33,42,57,54,0,17,26,48,64,51,14,22,0,17,34,38,10,21,23,39,68,54,0,17,6,16,0,17,31,47,28,46
3.2,Georgetown,70,56,0,12,4,7,0,12,0,12,0,12,4,9,18,24,0,12,34,44,0,12,0,12,0,12,10,17,0,12,0,12,0,12
3.3,Duwamish/SODO,81,59,6,10,0,12,21,33,0,12,0,12,28,44,0,12,0,12,0,12,0,12,8,13,7,13,0,12,0,12,0,12,11,17
3.4,South Beacon Hill/NewHolly,89,68,0,24,0,24,21,28,0,24,7,21,0,24,49,61,0,24,0,24,0,24,12,25,0,24,0,24,0,24,0,24,0,24
3.5,Beacon Hill,43,43,18,33,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,22,0,17,0,17,0,17,19,26
3.6,North Beacon Hill/Jefferson Park,421,164,35,59,0,24,10,27,54,76,76,84,19,39,12,28,29,52,13,29,70,70,51,63,22,35,9,25,21,37,0,24,0,24
4.1,Rainier Beach,486,170,82,86,0,27,47,60,54,86,0,27,51,74,38,64,0,27,0,27,122,99,61,60,31,40,0,27,0,27,0,27,0,27
4.2,Columbia City,407,164,40,48,53,86,24,42,36,65,0,27,16,33,11,28,13,30,11,27,74,94,0,27,99,77,30,47,0,27,0,27,0,27
4.3,Seward Park,150,96,0,17,37,58,28,46,0,17,4,27,0,17,17,21,0,17,0,17,0,17,46,57,10,21,8,18,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,104,82,15,24,0,17,0,17,0,17,0,17,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,33,46,72
5.1,Madrona/Leschi,108,74,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,18,34,0,21,0,21,16,32,22,40,16,27,0,21,36,44
5.2,Judkins Park,59,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,19,23,0,12,30,47,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,514,152,25,33,75,69,0,24,9,25,32,54,30,39,28,50,23,33,62,67,52,57,0,24,86,56,9,25,72,58,11,26,0,24
6.1,First Hill,293,116,14,32,52,59,13,29,15,32,32,42,24,33,0,24,43,42,18,35,0,24,0,24,10,27,23,34,0,24,49,66,0,24
6.2,Capitol Hill,788,233,80,58,35,47,47,47,96,97,155,163,76,68,13,35,32,57,37,48,37,67,17,36,27,38,109,94,0,29,13,33,14,33
6.3,North Capitol Hill,161,77,0,12,0,12,16,27,0,12,0,12,0,12,0,12,17,30,0,12,20,31,53,52,0,12,20,31,0,12,16,24,19,31
6.4,Miller Park,143,61,8,18,11,23,0,17,0,17,0,17,0,17,0,17,10,20,0,17,0,17,9,20,16,19,39,32,25,25,17,30,8,17
6.5,Madison Park,12,19,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,19,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,133,89,0,21,0,21,0,21,0,21,49,77,0,21,0,21,0,21,0,21,0,21,23,28,9,23,24,29,10,24,10,23,8,21
7.2,University District,246,154,100,89,70,87,0,29,0,29,0,29,0,29,0,29,18,40,0,29,0,29,45,80,0,29,0,29,13,33,0,29,0,29
7.3,Ravenna/Bryant,247,100,56,64,0,32,31,46,0,32,0,32,13,36,0,32,17,41,0,32,0,32,26,41,25,34,53,52,9,33,17,33,0,32
7.4,Wedgwood/View Ridge,169,67,10,28,0,27,0,27,9,28,8,27,0,27,0,27,5,25,0,27,0,27,12,28,11,29,44,40,15,27,36,36,19,31
7.5,Laurelhurst/Sand Point,78,53,7,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,71,52,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,415,169,62,94,10,26,9,25,87,92,0,24,14,29,98,112,17,33,0,24,22,29,0,24,43,38,27,33,0,24,0,24,26,33
8.2,Olympic Hills/Victory Heights,342,125,43,70,0,24,14,30,16,33,13,30,14,29,0,24,0,24,27,47,80,69,44,43,17,34,48,42,0,24,16,33,10,26
8.3,Cedar Park/Meadowbrook,391,131,10,29,11,27,78,91,17,36,0,27,14,32,0,27,32,33,53,70,15,33,82,70,49,54,16,31,0,27,0,27,14,26
9.1,Broadview/Bitter Lake,229,132,52,84,0,27,12,27,19,36,21,42,0,27,18,37,22,43,17,35,0,27,19,36,0,27,0,27,49,61,0,27,0,27
9.2,Licton Springs,303,141,29,48,0,17,17,31,49,56,30,50,14,26,0,17,29,30,12,22,30,49,58,92,14,22,9,19,0,17,12,22,0,17
9.3,Greenwood/Phinney Ridge,501,158,0,29,16,37,12,33,48,66,20,43,45,64,0,29,15,38,63,63,27,45,128,76,28,38,42,46,15,36,27,33,15,31
9.4,Green Lake,381,149,18,34,0,24,0,24,0,24,10,26,46,70,41,48,49,77,52,59,29,35,30,40,12,28,19,29,16,34,42,38,17,36
