area_id,area_name,b19113g001,b19113g001_moe
1.1,Arbor Heights,24886,301976
1.3,West Seattle Junction/Genesee Hill,521210,343632
1.4,Alki/Admiral,223333,123526
2.1,North Delridge,52865,70252
2.2,High Point,113021,107668
2.3,Riverview,82679,100722
2.4,Roxhill/Westwood,196925,103507
2.5,Highland Park,133203,1784
3.1,South Park,61510,4430
3.4,South Beacon Hill/NewHolly,197866,123546
3.5,Beacon Hill,100370,144797
3.6,North Beacon Hill/Jefferson Park,243695,209046
4.1,Rainier Beach,48872,37334
4.2,Columbia City,243210,91289
4.3,Seward Park,217292,202689
4.4,Mt. Baker/North Rainier,94538,59516
5.1,Madrona/Leschi,242929,262107
5.2,Judkins Park,29952,44169
5.3,Central Area/Squire Park,193804,105224
6.1,First Hill,48182,1847
6.2,Capitol Hill,26136,27690
7.2,University District,32111,189646
7.3,Ravenna/Bryant,250564,269426
7.4,Wedgwood/View Ridge,175703,134731
7.5,Laurelhurst/Sand Point,87404,67131
8.1,Northgate/Maple Leaf,181750,169048
8.2,Olympic Hills/Victory Heights,183863,52972
8.3,Cedar Park/Meadowbrook,47188,81125
9.1,Broadview/Bitter Lake,214495,70613
9.2,Licton Springs,160170,230870
9.3,Greenwood/Phinney Ridge,265035,153449
9.4,Green Lake,260354,137576
9.5,Haller Lake,31761,174183
10.1,North Beach/Blue Ridge,116620,69050
10.2,Whittier Heights,41535,25766
10.3,Sunset Hill/Loyal Heights,48750,95377
10.4,Ballard,133750,402203
11.1,Fremont,194634,90600
11.2,Wallingford,80391,159356
12.2,Interbay,39028,41967
12.3,Queen Anne,435653,176792
13.1,Belltown,6806,364910
13.3,Pioneer Square/International District,21667,54654
