area_id,area_name,b16008001,b16008001_moe,b16008002,b16008002_moe,b16008003,b16008003_moe,b16008004,b16008004_moe,b16008005,b16008005_moe,b16008006,b16008006_moe,b16008007,b16008007_moe,b16008008,b16008008_moe,b16008009,b16008009_moe,b16008010,b16008010_moe,b16008011,b16008011_moe,b16008012,b16008012_moe,b16008013,b16008013_moe,b16008014,b16008014_moe,b16008015,b16008015_moe,b16008016,b16008016_moe,b16008017,b16008017_moe,b16008018,b16008018_moe,b16008019,b16008019_moe,b16008020,b16008020_moe,b16008021,b16008021_moe,b16008022,b16008022_moe,b16008023,b16008023_moe,b16008024,b16008024_moe,b16008025,b16008025_moe,b16008026,b16008026_moe,b16008027,b16008027_moe,b16008028,b16008028_moe,b16008029,b16008029_moe,b16008030,b16008030_moe,b16008031,b16008031_moe,b16008032,b16008032_moe,b16008033,b16008033_moe,b16008034,b16008034_moe,b16008035,b16008035_moe,b16008036,b16008036_moe,b16008037,b16008037_moe,b16008038,b16008038_moe,b16008039,b16008039_moe,b16008040,b16008040_moe,b16008041,b16008041_moe,b16008042,b16008042_moe,b16008043,b16008043_moe,b16008044,b16008044_moe,b16008045,b16008045_moe,b16008046,b16008046_moe,b16008047,b16008047_moe,b16008048,b16008048_moe,b16008049,b16008049_moe,b16008050,b16008050_moe,b16008051,b16008051_moe,b16008052,b16008052_moe,b16008053,b16008053_moe
1.1,Arbor Heights,5810,258,5296,272,820,137,740,139,32,38,21,33,11,21,48,60,8,18,40,60,4476,225,4208,248,154,104,136,98,18,26,114,67,94,63,20,32,514,123,340,107,50,49,50,49,0,17,0,17,0,17,0,17,0,17,0,17,290,98,135,67,56,54,56,54,0,17,99,63,75,54,24,30,174,86,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,174,86,60,41,0,17,0,17,0,17,114,77,41,36,73,72
1.2,Fauntleroy/Seaview,12872,589,11949,608,1589,276,1524,278,43,54,13,27,30,53,22,31,17,33,5,20,10360,487,9891,518,178,95,150,90,28,37,291,115,235,104,56,44,923,218,607,152,23,32,23,32,0,24,0,24,0,24,0,24,0,24,0,24,584,150,156,91,35,40,17,33,18,34,393,121,304,114,89,51,316,150,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,316,150,107,80,48,81,48,81,0,24,161,107,147,102,14,30
1.3,West Seattle Junction/Genesee Hill,17051,622,15494,643,2322,301,2049,293,24,43,24,43,0,29,249,140,181,119,68,77,13172,566,12359,584,303,169,212,152,91,66,510,172,464,158,46,42,1557,300,796,202,25,33,25,33,0,29,0,29,0,29,0,29,0,29,0,29,771,198,322,145,38,47,11,31,27,46,411,130,284,103,127,83,761,241,96,79,16,33,0,29,0,29,0,29,80,76,57,67,23,43,665,209,257,110,27,34,14,32,13,31,381,179,168,99,213,142
1.4,Alki/Admiral,10630,475,9706,449,1152,199,937,208,110,106,98,104,12,25,105,93,105,93,0,24,8554,413,8064,445,250,143,216,137,34,37,240,131,240,131,0,24,924,264,645,225,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,645,225,197,90,25,40,25,40,0,24,423,207,298,142,125,155,279,128,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,279,128,99,69,0,24,0,24,0,24,180,112,104,89,76,58
2.1,North Delridge,4387,280,3632,365,302,141,260,147,0,12,0,12,0,12,42,48,28,41,14,23,3330,334,3063,351,25,27,25,27,0,12,242,133,242,133,0,12,755,309,444,239,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,444,239,58,65,11,18,11,18,0,12,375,228,251,197,124,85,311,189,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,311,189,8,15,171,160,0,12,171,160,132,71,40,35,92,65
2.2,High Point,5917,439,4354,457,1061,251,653,231,22,40,0,17,22,40,386,148,259,170,127,117,3293,427,3017,424,37,59,0,17,37,59,239,116,148,94,91,83,1563,295,1124,258,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1124,258,127,95,18,28,7,17,11,28,979,234,525,222,454,136,439,199,41,66,0,17,0,17,0,17,0,17,41,66,4,15,37,67,398,180,41,47,10,22,10,22,0,17,347,174,76,62,271,154
2.3,Riverview,4430,272,3529,287,706,150,605,141,11,18,11,18,0,12,90,68,90,68,0,12,2823,268,2663,274,48,41,40,39,8,13,112,73,112,73,0,12,901,200,648,118,16,28,16,28,0,12,0,12,0,12,0,12,0,12,0,12,632,114,181,132,45,56,18,25,27,32,406,143,165,72,241,103,253,153,57,93,0,12,0,12,0,12,0,12,57,93,57,93,0,12,196,90,34,31,10,12,0,12,10,12,152,83,21,35,131,78
2.4,Roxhill/Westwood,11695,653,8628,606,1428,300,770,191,443,234,401,237,42,66,215,116,189,113,26,33,7200,518,6416,460,487,240,405,232,82,76,297,118,219,106,78,64,3067,503,1358,307,52,66,8,21,44,62,44,62,0,21,0,21,0,21,0,21,1306,282,152,77,146,96,47,38,99,90,1008,262,427,218,581,178,1709,399,183,117,69,77,75,70,39,38,36,58,39,64,39,64,0,21,1526,374,168,92,927,348,94,78,833,342,431,179,151,103,280,149
2.5,Highland Park,5490,406,4076,411,584,183,380,159,65,71,46,47,19,34,139,108,101,107,38,57,3492,374,3159,364,289,202,186,127,103,95,44,35,44,35,0,21,1414,294,880,289,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,880,289,82,66,86,80,54,75,32,40,712,284,426,193,286,162,534,240,143,99,32,50,0,21,0,21,0,21,111,90,92,84,19,31,391,184,81,53,39,48,0,21,39,48,271,168,95,65,176,147
3.1,South Park,4021,516,2393,267,786,249,289,168,295,144,289,144,6,16,202,152,130,143,72,60,1607,164,1331,152,186,88,133,80,53,53,90,57,90,57,0,17,1628,508,639,215,33,36,0,17,0,17,0,17,0,17,33,36,24,31,9,18,606,208,0,17,204,190,72,74,132,183,402,111,101,60,301,81,989,443,121,107,0,17,107,107,43,54,64,62,14,21,0,17,14,21,868,370,44,53,670,359,63,67,607,309,154,103,33,47,121,79
