area_id,area_name,b14007d001,b14007d001_moe,b14007d002,b14007d002_moe,b14007d003,b14007d003_moe,b14007d004,b14007d004_moe,b14007d005,b14007d005_moe,b14007d006,b14007d006_moe,b14007d007,b14007d007_moe,b14007d008,b14007d008_moe,b14007d009,b14007d009_moe,b14007d010,b14007d010_moe,b14007d011,b14007d011_moe,b14007d012,b14007d012_moe,b14007d013,b14007d013_moe,b14007d014,b14007d014_moe,b14007d015,b14007d015_moe,b14007d016,b14007d016_moe,b14007d017,b14007d017_moe,b14007d018,b14007d018_moe,b14007d019,b14007d019_moe
1.1,Arbor Heights,424,142,86,66,0,17,14,24,0,17,0,17,0,17,13,25,14,23,13,23,15,25,8,18,0,17,0,17,0,17,0,17,9,18,0,17,338,118
1.2,Fauntleroy/Seaview,532,147,54,45,0,24,0,24,0,24,0,24,3,19,0,24,12,27,11,25,0,24,0,24,5,19,0,24,0,24,0,24,23,33,0,24,478,139
1.3,West Seattle Junction/Genesee Hill,799,217,257,125,48,78,0,29,0,29,0,29,11,29,0,29,0,29,0,29,0,29,0,29,37,38,0,29,0,29,60,52,101,62,0,29,542,154
1.4,Alki/Admiral,462,154,82,67,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,11,25,47,47,24,40,380,146
2.1,North Delridge,510,275,123,109,33,42,0,12,35,45,0,12,0,12,0,12,0,12,14,23,0,12,0,12,0,12,0,12,0,12,0,12,41,52,0,12,387,179
2.2,High Point,1273,287,274,125,0,17,0,17,22,37,0,17,0,17,0,17,31,37,32,37,33,53,0,17,25,34,16,26,14,27,60,76,41,41,0,17,999,217
2.3,Riverview,934,214,251,117,13,20,32,27,0,12,33,28,0,12,13,22,0,12,13,21,0,12,0,12,12,21,36,49,0,12,0,12,92,51,7,11,683,140
2.4,Roxhill/Westwood,1449,347,309,136,14,28,44,38,0,21,55,48,0,21,15,29,6,20,13,26,8,21,14,30,0,21,13,27,36,37,19,26,55,56,17,26,1140,286
2.5,Highland Park,1175,317,453,151,8,21,25,30,0,21,18,30,0,21,5,19,0,21,19,31,19,33,82,104,0,21,39,45,48,46,41,43,132,86,17,30,722,240
3.1,South Park,734,208,188,86,26,33,0,17,10,20,8,18,8,18,0,17,8,18,8,18,17,23,10,19,0,17,0,17,0,17,13,20,62,45,18,29,546,168
3.2,Georgetown,156,100,91,64,0,12,0,12,0,12,0,12,0,12,12,9,0,12,12,8,0,12,24,16,0,12,0,12,0,12,15,19,28,35,0,12,65,40
3.3,Duwamish/SODO,516,140,130,75,0,12,0,12,5,9,0,12,0,12,0,12,0,12,15,22,0,12,16,26,0,12,15,22,0,12,23,30,19,26,37,32,386,109
3.4,South Beacon Hill/NewHolly,7522,952,2263,457,114,78,89,69,47,40,117,79,169,97,106,56,90,81,134,89,104,60,103,78,233,102,121,67,24,31,156,98,576,180,80,50,5259,599
3.5,Beacon Hill,5646,725,1068,273,35,30,112,86,22,36,49,41,0,17,42,41,8,20,63,72,48,37,55,45,40,38,98,69,93,62,29,36,367,146,7,19,4578,637
3.6,North Beacon Hill/Jefferson Park,5560,547,1108,284,33,33,23,42,21,29,18,30,0,24,53,48,100,92,57,78,79,74,78,63,0,24,41,40,85,72,96,73,353,125,71,79,4452,392
4.1,Rainier Beach,4099,670,925,280,0,27,47,50,38,48,0,27,0,27,117,88,102,82,54,57,14,30,23,31,21,39,111,97,54,46,54,43,235,113,55,55,3174,483
4.2,Columbia City,4422,574,1145,279,66,53,62,74,5,24,38,35,56,52,27,38,58,72,30,35,51,51,10,29,72,54,80,60,84,60,82,72,413,133,11,29,3277,438
