area_id,area_name,b19301g001,b19301g001_moe
1.1,Arbor Heights,72426,35301
1.2,Fauntleroy/Seaview,43746,20339
1.3,West Seattle Junction/Genesee Hill,80882,35286
1.4,Alki/Admiral,56590,14297
2.1,North Delridge,10339,6400
2.2,High Point,50648,38525
2.3,Riverview,16750,11573
2.4,Roxhill/Westwood,85680,29827
2.5,Highland Park,11541,7128
3.1,South Park,9182,3442
3.2,Georgetown,18148,7580
3.3,Duwamish/SODO,36149,25925
3.4,South Beacon Hill/NewHolly,51179,20744
3.5,Beacon Hill,15776,12409
3.6,North Beacon Hill/Jefferson Park,77189,23979
4.1,Rainier Beach,51812,36306
4.2,Columbia City,63120,32950
4.3,Seward Park,50053,18748
4.4,Mt. Baker/North Rainier,38285,19782
5.1,Madrona/Leschi,48226,28967
5.2,Judkins Park,14355,6793
5.3,Central Area/Squire Park,132533,34850
6.1,First Hill,53948,19420
6.2,Capitol Hill,135603,27435
6.3,North Capitol Hill,97961,79605
6.4,Miller Park,82005,30724
6.5,Madison Park,29063,32137
7.1,Montlake/Portage Bay,82368,41727
7.2,University District,30932,10691
7.3,Ravenna/Bryant,117191,47133
7.4,Wedgwood/View Ridge,95678,40094
7.5,Laurelhurst/Sand Point,41886,30765
8.1,Northgate/Maple Leaf,96526,46052
8.2,Olympic Hills/Victory Heights,87217,26043
8.3,Cedar Park/Meadowbrook,65672,24845
9.1,Broadview/Bitter Lake,45308,18903
9.2,Licton Springs,49021,14171
9.3,Greenwood/Phinney Ridge,91640,27989
9.4,Green Lake,99704,41400
9.5,Haller Lake,32055,15251
10.1,North Beach/Blue Ridge,72161,24179
10.2,Whittier Heights,93198,79692
10.3,Sunset Hill/Loyal Heights,23334,9029
10.4,Ballard,19600,10905
11.1,Fremont,79404,21734
11.2,Wallingford,87433,27733
11.3,Cascade/Eastlake,130069,68353
12.1,Magnolia,33163,16647
12.2,Interbay,44310,15969
12.3,Queen Anne,186537,52161
13.1,Belltown,69317,33692
13.2,Downtown Commercial Core,17602,7752
13.3,Pioneer Square/International District,110918,88473
