area_id,area_name,b25014001,b25014001_moe,b25014002,b25014002_moe,b25014003,b25014003_moe,b25014004,b25014004_moe,b25014005,b25014005_moe,b25014006,b25014006_moe,b25014007,b25014007_moe,b25014008,b25014008_moe,b25014009,b25014009_moe,b25014010,b25014010_moe,b25014011,b25014011_moe,b25014012,b25014012_moe,b25014013,b25014013_moe
1.1,Arbor Heights,2639,96,2173,132,1781,132,392,95,0,17,0,17,0,17,466,107,339,100,118,59,9,18,0,17,0,17
1.2,Fauntleroy/Seaview,6410,211,4581,249,4077,259,504,161,0,24,0,24,0,24,1829,241,1419,221,395,156,15,30,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,8391,238,4963,275,4045,290,897,174,21,33,0,29,0,29,3428,333,2847,329,581,191,0,29,0,29,0,29
1.4,Alki/Admiral,5786,190,3091,242,2691,258,384,125,16,30,0,24,0,24,2695,240,2220,236,438,151,0,24,37,58,0,24
2.1,North Delridge,2387,100,1294,174,1074,188,220,94,0,12,0,12,0,12,1093,168,736,174,357,128,0,12,0,12,0,12
2.2,High Point,2731,199,1098,171,910,178,124,85,64,49,0,17,0,17,1633,227,1022,221,478,147,25,41,108,95,0,17
2.3,Riverview,1680,73,1161,125,862,140,235,75,24,28,40,33,0,12,519,122,391,118,118,64,10,16,0,12,0,12
2.4,Roxhill/Westwood,5489,176,2881,214,2323,204,508,116,50,52,0,21,0,21,2608,233,1604,245,739,188,80,77,160,97,25,42
2.5,Highland Park,2563,202,1290,156,990,157,291,93,9,22,0,21,0,21,1273,220,872,183,361,185,0,21,40,34,0,21
3.1,South Park,1323,80,610,110,404,97,180,70,23,31,3,14,0,17,713,122,290,105,219,94,114,79,45,60,45,58
3.2,Georgetown,630,55,195,59,149,60,25,25,11,18,10,7,0,12,435,76,326,77,99,56,0,12,10,17,0,12
3.3,Duwamish/SODO,944,90,494,93,388,91,93,42,13,17,0,12,0,12,450,116,296,104,154,91,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,4531,190,2403,205,1325,177,916,170,106,73,43,42,13,27,2128,233,1011,207,918,211,136,77,63,65,0,24
