area_id,area_name,b19001g001,b19001g001_moe,b19001g002,b19001g002_moe,b19001g003,b19001g003_moe,b19001g004,b19001g004_moe,b19001g005,b19001g005_moe,b19001g006,b19001g006_moe,b19001g007,b19001g007_moe,b19001g008,b19001g008_moe,b19001g009,b19001g009_moe,b19001g010,b19001g010_moe,b19001g011,b19001g011_moe,b19001g012,b19001g012_moe,b19001g013,b19001g013_moe,b19001g014,b19001g014_moe,b19001g015,b19001g015_moe,b19001g016,b19001g016_moe,b19001g017,b19001g017_moe
1.1,Arbor Heights,98,64,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,35,22,29,11,21,0,17,0,17,0,17,20,35,23,29
1.2,Fauntleroy/Seaview,85,57,0,24,0,24,0,24,0,24,0,24,0,24,13,27,28,38,0,24,0,24,0,24,0,24,20,36,14,21,0,24,10,23
1.3,West Seattle Junction/Genesee Hill,226,107,0,29,0,29,0,29,11,30,0,29,0,29,0,29,38,48,0,29,44,57,0,29,35,42,0,29,19,38,33,45,46,51
1.4,Alki/Admiral,173,88,0,24,0,24,0,24,0,24,22,38,14,29,30,47,0,24,0,24,10,23,20,35,14,28,40,46,0,24,0,24,23,27
2.1,North Delridge,115,82,16,26,42,64,16,26,0,12,0,12,0,12,0,12,0,12,0,12,24,36,17,26,0,12,0,12,0,12,0,12,0,12
2.2,High Point,77,50,4,14,15,27,0,17,0,17,0,17,0,17,0,17,7,17,0,17,0,17,23,26,0,17,12,23,0,17,16,30,0,17
2.3,Riverview,125,66,0,12,0,12,0,12,0,12,0,12,0,12,0,12,40,50,0,12,15,23,29,47,7,11,34,48,0,12,0,12,0,12
2.4,Roxhill/Westwood,229,98,14,29,30,35,0,21,13,26,0,21,26,33,0,21,0,21,0,21,0,21,39,38,91,69,7,21,0,21,0,21,9,23
2.5,Highland Park,117,101,25,41,0,21,23,37,0,21,46,70,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,23,36,0,21,0,21
3.1,South Park,68,61,0,17,39,49,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,41,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,19,21,0,12,0,12,4,9,0,12,0,12,0,12,0,12,0,12,4,9,0,12,0,12,11,18,0,12,0,12,0,12,0,12
