area_id,area_name,b13002a001,b13002a001_moe,b13002a002,b13002a002_moe,b13002a003,b13002a003_moe,b13002a004,b13002a004_moe,b13002a005,b13002a005_moe,b13002a006,b13002a006_moe,b13002a007,b13002a007_moe
1.1,Arbor Heights,1181,159,30,32,30,32,0,17,1151,158,616,121,535,133
1.2,Fauntleroy/Seaview,2996,252,96,59,66,48,30,35,2900,261,1679,241,1221,227
1.3,West Seattle Junction/Genesee Hill,3966,340,260,102,260,102,0,29,3706,348,1578,228,2128,331
1.4,Alki/Admiral,2435,312,164,104,164,104,0,24,2271,297,859,144,1412,283
2.1,North Delridge,1050,196,131,95,112,80,19,30,919,204,316,101,603,180
2.2,High Point,875,163,31,36,31,36,0,17,844,169,326,105,518,174
2.3,Riverview,648,128,31,34,0,12,31,34,617,124,301,76,316,104
2.4,Roxhill/Westwood,2447,371,123,61,79,47,44,44,2324,367,937,187,1387,296
2.5,Highland Park,775,168,95,86,45,45,50,79,680,173,344,135,336,141
3.1,South Park,597,118,68,72,68,72,0,17,529,103,229,86,300,99
3.2,Georgetown,233,93,4,7,4,7,0,12,229,93,114,72,115,66
3.3,Duwamish/SODO,342,128,19,37,4,8,15,37,323,111,24,28,299,105
3.4,South Beacon Hill/NewHolly,493,165,13,29,13,29,0,24,480,165,173,74,307,148
3.5,Beacon Hill,493,129,31,40,31,40,0,17,462,130,260,115,202,91
3.6,North Beacon Hill/Jefferson Park,1614,243,230,112,172,91,58,60,1384,228,778,168,606,189
4.1,Rainier Beach,1175,262,0,27,0,27,0,27,1175,262,457,158,718,222
4.2,Columbia City,1737,257,131,71,131,71,0,27,1606,264,736,201,870,218
4.3,Seward Park,1223,161,105,61,105,61,0,17,1118,159,537,98,581,147
4.4,Mt. Baker/North Rainier,819,192,42,37,42,37,0,17,777,196,273,115,504,182
5.1,Madrona/Leschi,1782,272,81,59,81,59,0,21,1701,275,683,144,1018,258
5.2,Judkins Park,193,67,36,42,36,42,0,12,157,70,93,49,64,42
5.3,Central Area/Squire Park,3741,341,254,118,211,106,43,56,3487,354,1027,188,2460,321
6.1,First Hill,3272,425,32,45,0,24,32,45,3240,420,485,140,2755,396
6.2,Capitol Hill,6130,583,198,155,167,150,31,43,5932,571,1215,312,4717,519
6.3,North Capitol Hill,925,183,23,28,23,28,0,12,902,185,282,96,620,158
6.4,Miller Park,1634,178,87,53,77,48,10,26,1547,186,607,122,940,155
6.5,Madison Park,1098,207,11,18,11,18,0,17,1087,206,424,122,663,195
7.1,Montlake/Portage Bay,2613,354,59,40,34,31,25,29,2554,355,676,118,1878,376
7.2,University District,5340,652,108,83,65,77,43,38,5232,654,438,143,4794,649
7.3,Ravenna/Bryant,5483,457,235,83,235,83,0,32,5248,467,2107,265,3141,410
7.4,Wedgwood/View Ridge,2522,263,129,62,109,57,20,36,2393,266,1155,159,1238,223
7.5,Laurelhurst/Sand Point,2369,301,174,86,166,84,8,25,2195,311,918,160,1277,266
8.1,Northgate/Maple Leaf,2424,285,124,69,97,53,27,48,2300,279,982,185,1318,231
8.2,Olympic Hills/Victory Heights,2525,349,83,52,83,52,0,24,2442,349,1054,197,1388,285
8.3,Cedar Park/Meadowbrook,2099,298,81,67,32,35,49,60,2018,289,901,156,1117,267
9.1,Broadview/Bitter Lake,1902,301,137,77,133,75,4,23,1765,297,897,197,868,241
9.2,Licton Springs,2315,309,104,65,104,65,0,17,2211,313,760,209,1451,317
9.3,Greenwood/Phinney Ridge,5633,346,314,101,302,99,12,32,5319,359,2486,268,2833,318
9.4,Green Lake,3265,379,180,92,180,92,0,24,3085,388,1247,193,1838,356
9.5,Haller Lake,1443,221,50,43,50,43,0,21,1393,214,795,194,598,189
10.1,North Beach/Blue Ridge,2306,255,64,56,64,56,0,21,2242,245,1299,173,943,197
10.2,Whittier Heights,3082,280,279,121,268,115,11,25,2803,302,1239,208,1564,273
10.3,Sunset Hill/Loyal Heights,3345,359,201,83,190,82,11,24,3144,363,1343,175,1801,373
10.4,Ballard,1555,226,106,99,106,99,0,17,1449,271,381,141,1068,235
11.1,Fremont,4689,405,160,92,124,84,36,43,4529,421,1388,201,3141,402
11.2,Wallingford,4036,542,143,72,131,72,12,27,3893,547,1080,152,2813,540
11.3,Cascade/Eastlake,3039,432,60,75,60,75,0,21,2979,429,526,211,2453,390
12.1,Magnolia,2342,361,225,118,225,118,0,24,2117,368,1183,157,934,344
12.2,Interbay,2550,291,63,49,39,38,24,32,2487,292,991,179,1496,243
12.3,Queen Anne,9520,740,370,133,326,126,44,62,9150,747,2856,324,6294,731
13.1,Belltown,1723,313,0,21,0,21,0,21,1723,313,542,152,1181,272
13.2,Downtown Commercial Core,634,159,9,16,9,16,0,12,625,160,171,83,454,145
13.3,Pioneer Square/International District,361,116,18,30,18,30,0,17,343,118,46,32,297,109
