area_id,area_name,b17010g001,b17010g001_moe,b17010g002,b17010g002_moe,b17010g003,b17010g003_moe,b17010g004,b17010g004_moe,b17010g005,b17010g005_moe,b17010g006,b17010g006_moe,b17010g007,b17010g007_moe,b17010g008,b17010g008_moe,b17010g009,b17010g009_moe,b17010g010,b17010g010_moe,b17010g011,b17010g011_moe,b17010g012,b17010g012_moe,b17010g013,b17010g013_moe,b17010g014,b17010g014_moe,b17010g015,b17010g015_moe,b17010g016,b17010g016_moe,b17010g017,b17010g017_moe,b17010g018,b17010g018_moe,b17010g019,b17010g019_moe,b17010g020,b17010g020_moe,b17010g021,b17010g021_moe,b17010g022,b17010g022_moe,b17010g023,b17010g023_moe,b17010g024,b17010g024_moe,b17010g025,b17010g025_moe,b17010g026,b17010g026_moe,b17010g027,b17010g027_moe,b17010g028,b17010g028_moe,b17010g029,b17010g029_moe,b17010g030,b17010g030_moe,b17010g031,b17010g031_moe,b17010g032,b17010g032_moe,b17010g033,b17010g033_moe,b17010g034,b17010g034_moe,b17010g035,b17010g035_moe,b17010g036,b17010g036_moe,b17010g037,b17010g037_moe,b17010g038,b17010g038_moe,b17010g039,b17010g039_moe,b17010g040,b17010g040_moe,b17010g041,b17010g041_moe
1.1,Arbor Heights,77,57,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,77,57,55,46,55,46,12,23,43,42,0,17,0,17,22,35,0,17,0,17,0,17,0,17,0,17,0,17,22,35,22,35,0,17,22,35,0,17,0,17
1.2,Fauntleroy/Seaview,37,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,37,43,0,24,0,24,0,24,0,24,0,24,0,24,37,43,20,36,20,36,20,36,0,24,0,24,0,24,17,34,17,34,0,24,0,24,17,34,0,24
1.3,West Seattle Junction/Genesee Hill,144,80,11,30,0,29,0,29,0,29,0,29,0,29,0,29,11,30,0,29,0,29,0,29,0,29,0,29,0,29,11,30,11,30,0,29,11,30,0,29,0,29,133,78,133,78,80,58,44,46,19,38,17,35,53,53,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,68,57,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,68,57,60,56,44,52,20,35,0,24,24,41,16,32,8,23,0,24,0,24,0,24,0,24,0,24,0,24,8,23,8,23,8,23,0,24,0,24,0,24
2.1,North Delridge,41,44,17,26,0,12,0,12,0,12,0,12,0,12,0,12,17,26,0,12,0,12,0,12,0,12,0,12,0,12,17,26,0,12,0,12,0,12,0,12,17,26,24,36,0,12,0,12,0,12,0,12,0,12,0,12,24,36,0,12,0,12,0,12,0,12,0,12,0,12,24,36,0,12,0,12,0,12,0,12,24,36
2.2,High Point,35,36,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,35,36,12,23,12,23,12,23,0,17,0,17,0,17,23,30,23,30,23,30,0,17,0,17,23,30,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,81,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,81,68,41,49,34,48,0,12,0,12,34,48,7,11,40,50,0,12,0,12,0,12,0,12,0,12,0,12,40,50,32,48,0,12,32,48,0,12,8,13
2.4,Roxhill/Westwood,128,71,31,37,14,29,0,21,0,21,0,21,0,21,14,29,17,32,17,32,17,32,17,32,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,97,62,42,36,7,21,7,21,0,21,0,21,35,34,55,54,0,21,0,21,0,21,0,21,0,21,0,21,55,54,22,39,0,21,0,21,22,39,33,43
2.5,Highland Park,23,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,23,36,23,36,23,36,16,30,7,19,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,29,41,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,41,29,41,0,17,0,17,0,17,0,17,29,41,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
