area_id,area_name,b11002h001,b11002h001_moe,b11002h002,b11002h002_moe,b11002h003,b11002h003_moe,b11002h004,b11002h004_moe,b11002h005,b11002h005_moe,b11002h006,b11002h006_moe,b11002h007,b11002h007_moe,b11002h008,b11002h008_moe,b11002h009,b11002h009_moe,b11002h010,b11002h010_moe,b11002h011,b11002h011_moe,b11002h012,b11002h012_moe
1.1,Arbor Heights,5201,386,3911,398,3301,426,3261,415,40,42,252,164,206,130,46,42,358,165,331,148,27,27,1290,238
1.2,Fauntleroy/Seaview,12346,676,8657,729,7567,709,7567,709,0,24,121,103,107,87,14,28,969,315,884,282,85,59,3689,540
1.3,West Seattle Junction/Genesee Hill,15709,629,10793,714,8782,717,8671,700,111,82,439,209,414,199,25,37,1572,481,1413,427,159,99,4916,505
1.4,Alki/Admiral,9594,620,6153,619,5583,612,5446,560,137,105,159,149,136,123,23,41,411,190,365,166,46,49,3441,432
2.1,North Delridge,3369,424,1769,469,1519,432,1519,432,0,12,84,84,69,65,15,24,166,150,153,133,13,22,1600,323
2.2,High Point,2635,419,1592,354,1195,362,1158,338,37,59,21,35,21,35,0,17,376,203,335,176,41,38,1043,354
2.3,Riverview,2510,324,1693,308,1007,234,999,234,8,12,243,141,211,125,32,39,443,223,415,214,28,26,817,225
2.4,Roxhill/Westwood,6787,606,4530,606,3625,544,3536,536,89,56,213,174,179,142,34,40,692,272,622,243,70,50,2257,306
2.5,Highland Park,3029,336,1952,361,1530,409,1505,401,25,32,127,117,112,106,15,28,295,190,279,179,16,29,1077,227
3.1,South Park,1099,245,620,199,472,165,472,165,0,17,32,37,32,37,0,17,116,131,101,116,15,29,479,178
3.2,Georgetown,672,115,221,111,221,111,221,111,0,12,0,12,0,12,0,12,0,12,0,12,0,12,451,97
3.3,Duwamish/SODO,832,204,144,79,114,73,114,73,0,12,0,12,0,12,0,12,30,36,26,33,4,7,688,186
3.4,South Beacon Hill/NewHolly,1944,397,1389,402,712,220,694,216,18,22,232,197,200,174,32,45,445,287,420,277,25,35,555,162
3.5,Beacon Hill,1963,465,1283,400,1090,388,1090,388,0,17,118,103,105,92,13,25,75,74,66,65,9,18,680,288
3.6,North Beacon Hill/Jefferson Park,4175,549,2683,525,2390,529,2332,514,58,82,143,125,121,100,22,39,150,114,150,114,0,24,1492,339
4.1,Rainier Beach,3809,535,2611,567,1673,515,1648,493,25,41,160,154,126,113,34,59,778,329,652,264,126,94,1198,284
4.2,Columbia City,5257,586,3655,555,3026,521,3018,521,8,28,100,94,100,94,0,27,529,267,485,246,44,42,1602,367
4.3,Seward Park,4533,355,3638,399,2907,409,2828,388,79,107,112,86,102,79,10,20,619,216,554,194,65,43,895,186
4.4,Mt. Baker/North Rainier,3261,431,2401,347,1821,344,1821,344,0,17,166,142,129,116,37,36,414,273,312,191,102,86,860,366
5.1,Madrona/Leschi,6240,501,4515,551,3983,500,3935,493,48,47,69,87,69,87,0,21,463,268,409,247,54,44,1725,411
5.2,Judkins Park,594,148,198,98,198,98,188,89,10,17,0,12,0,12,0,12,0,12,0,12,0,12,396,124
5.3,Central Area/Squire Park,10051,686,4661,586,3674,530,3556,514,118,114,393,278,260,196,133,127,594,245,539,216,55,67,5390,541
6.1,First Hill,6968,543,1529,345,1382,310,1373,309,9,25,60,58,60,58,0,24,87,123,87,123,0,24,5439,509
6.2,Capitol Hill,15260,817,3384,729,3027,672,2963,649,64,79,45,76,30,55,15,33,312,236,312,236,0,29,11876,839
6.3,North Capitol Hill,3202,336,1606,317,1493,301,1493,301,0,12,0,12,0,12,0,12,113,109,113,109,0,12,1596,244
6.4,Miller Park,5517,444,3185,409,3028,401,2926,383,102,68,85,83,74,69,11,22,72,56,72,56,0,17,2332,345
6.5,Madison Park,4727,420,3111,526,2752,512,2752,512,0,17,113,109,95,100,18,28,246,172,246,172,0,17,1616,282
7.1,Montlake/Portage Bay,8241,498,5215,531,4134,469,4045,435,89,91,310,175,268,148,42,48,771,351,647,285,124,93,3026,427
7.2,University District,7352,1194,2307,465,1871,312,1835,300,36,50,245,316,147,164,98,161,191,129,162,103,29,46,5045,1202
7.3,Ravenna/Bryant,18950,782,11810,702,10495,715,10463,712,32,52,177,129,161,119,16,38,1138,393,946,326,192,127,7140,729
7.4,Wedgwood/View Ridge,11975,548,9354,566,7895,581,7843,572,52,50,473,259,437,251,36,42,986,314,897,286,89,49,2621,338
7.5,Laurelhurst/Sand Point,8649,635,6824,657,5877,570,5856,572,21,26,388,248,325,187,63,82,559,311,470,247,89,79,1825,355
8.1,Northgate/Maple Leaf,9010,600,5304,618,4155,556,4118,548,37,47,242,132,222,124,20,29,907,397,873,389,34,34,3706,477
8.2,Olympic Hills/Victory Heights,9579,640,6748,699,5269,626,5170,606,99,87,526,311,448,260,78,80,953,334,888,313,65,62,2831,392
8.3,Cedar Park/Meadowbrook,8632,538,5885,589,5065,575,4992,564,73,54,245,161,174,112,71,61,575,277,504,241,71,72,2747,324
9.1,Broadview/Bitter Lake,10207,761,6620,611,5551,540,5528,536,23,33,282,221,265,217,17,35,787,278,725,260,62,53,3587,665
9.2,Licton Springs,5783,544,2899,558,2406,540,2366,533,40,68,106,102,80,74,26,31,387,191,361,183,26,32,2884,467
9.3,Greenwood/Phinney Ridge,19339,821,12729,956,11300,962,11153,954,147,73,336,206,329,206,7,29,1093,318,1008,293,85,59,6610,557
9.4,Green Lake,11794,708,6954,575,6006,536,5924,525,82,73,235,130,213,114,22,28,713,240,633,217,80,56,4840,575
9.5,Haller Lake,6545,510,4451,571,3653,587,3618,581,35,38,400,196,366,182,34,33,398,181,387,177,11,25,2094,332
10.1,North Beach/Blue Ridge,9821,423,7612,502,6534,542,6459,529,75,76,243,150,206,130,37,38,835,287,752,271,83,64,2209,286
10.2,Whittier Heights,10499,486,6956,624,5708,615,5669,608,39,64,446,291,380,267,66,63,802,325,782,316,20,34,3543,417
