area_id,area_name,b18101i001,b18101i001_moe,b18101i002,b18101i002_moe,b18101i003,b18101i003_moe,b18101i004,b18101i004_moe,b18101i005,b18101i005_moe,b18101i006,b18101i006_moe,b18101i007,b18101i007_moe,b18101i008,b18101i008_moe,b18101i009,b18101i009_moe,b18101i010,b18101i010_moe
1.1,Arbor Heights,340,185,94,72,0,17,94,72,246,140,22,37,224,128,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,684,297,274,177,0,24,274,177,392,149,42,35,350,144,18,34,18,34,0,24
1.3,West Seattle Junction/Genesee Hill,623,253,94,81,0,29,94,81,498,216,2,24,496,217,31,38,13,31,18,37
1.4,Alki/Admiral,551,325,198,176,0,24,198,176,329,223,41,45,288,208,24,40,0,24,24,40
2.1,North Delridge,343,145,15,26,0,12,15,26,289,155,1,2,288,155,39,45,0,12,39,45
2.2,High Point,228,122,81,79,0,17,81,79,147,86,37,59,110,65,0,17,0,17,0,17
2.3,Riverview,284,176,72,68,0,12,72,68,204,118,9,15,195,109,8,13,0,12,8,13
2.4,Roxhill/Westwood,2831,666,975,343,42,44,933,347,1779,490,226,181,1553,415,77,65,39,49,38,46
2.5,Highland Park,800,318,125,96,0,21,125,96,649,267,20,36,629,261,26,34,0,21,26,34
3.1,South Park,1929,592,774,318,28,51,746,288,1107,438,37,48,1070,417,48,44,29,39,19,30
3.2,Georgetown,214,173,42,51,0,12,42,51,172,133,14,33,158,129,0,12,0,12,0,12
3.3,Duwamish/SODO,206,152,33,58,15,26,18,32,155,125,34,44,121,116,18,31,6,10,12,30
3.4,South Beacon Hill/NewHolly,467,220,232,146,24,32,208,137,221,115,0,24,221,115,14,29,14,29,0,24
3.5,Beacon Hill,386,337,116,122,0,17,116,122,254,197,7,17,247,196,16,58,9,34,7,28
3.6,North Beacon Hill/Jefferson Park,1448,569,457,248,46,59,411,218,945,395,61,73,884,385,46,62,11,30,35,59
4.1,Rainier Beach,1670,561,625,288,0,27,625,288,1033,355,69,72,964,350,12,32,12,32,0,27
4.2,Columbia City,1146,448,280,192,0,27,280,192,811,339,28,44,783,338,55,61,37,44,18,34
4.3,Seward Park,631,459,150,182,0,17,150,182,432,321,48,61,384,311,49,48,34,37,15,22
4.4,Mt. Baker/North Rainier,257,170,74,83,0,17,74,83,183,134,44,41,139,112,0,17,0,17,0,17
5.1,Madrona/Leschi,331,183,97,91,0,21,97,91,234,117,0,21,234,117,0,21,0,21,0,21
5.2,Judkins Park,156,172,0,12,0,12,0,12,156,172,16,26,140,170,0,12,0,12,0,12
5.3,Central Area/Squire Park,1113,315,290,145,0,24,290,145,801,210,43,37,758,206,22,40,0,24,22,40
6.1,First Hill,860,284,51,83,0,24,51,83,809,250,72,68,737,238,0,24,0,24,0,24
6.2,Capitol Hill,1393,474,131,149,0,29,131,149,1262,373,68,57,1194,369,0,29,0,29,0,29
6.3,North Capitol Hill,259,111,0,12,0,12,0,12,259,111,16,27,243,107,0,12,0,12,0,12
6.4,Miller Park,348,136,81,62,21,23,60,47,231,81,32,39,199,84,36,45,0,17,36,45
6.5,Madison Park,131,92,35,43,0,17,35,43,76,56,12,20,64,54,20,33,0,17,20,33
7.1,Montlake/Portage Bay,348,154,87,61,0,21,87,61,232,119,22,31,210,121,29,42,0,21,29,42
