area_id,area_name,b19013f001,b19013f001_moe
2.1,North Delridge,24421,72950
2.4,Roxhill/Westwood,136784,109725
2.5,Highland Park,27619,23450
3.1,South Park,47250,57748
3.6,North Beacon Hill/Jefferson Park,55592,54066
4.1,Rainier Beach,113393,28092
4.2,Columbia City,102635,124182
5.1,Madrona/Leschi,137798,105819
6.1,First Hill,140759,121723
6.2,Capitol Hill,17165,594006
7.2,University District,12571,13102
7.3,Ravenna/Bryant,32115,107474
7.5,Laurelhurst/Sand Point,72875,2004
8.1,Northgate/Maple Leaf,23772,963
8.2,Olympic Hills/Victory Heights,99853,6605
8.3,Cedar Park/Meadowbrook,125136,44963
9.1,Broadview/Bitter Lake,38750,52288
9.2,Licton Springs,58000,18363
9.3,Greenwood/Phinney Ridge,185155,134883
9.4,Green Lake,34239,46426
9.5,Haller Lake,43871,17672
10.4,Ballard,37500,53334
11.1,Fremont,115250,45704
11.3,Cascade/Eastlake,50224,82120
12.2,Interbay,54792,16496
12.3,Queen Anne,180162,94162
13.1,Belltown,28125,1870
13.2,Downtown Commercial Core,36213,609
13.3,Pioneer Square/International District,60850,48963
