area_id,area_name,b19202b001,b19202b001_moe
1.2,Fauntleroy/Seaview,9851,47025
1.3,West Seattle Junction/Genesee Hill,19074,45122
1.4,Alki/Admiral,105052,81094
2.1,North Delridge,102788,185631
2.2,High Point,8088,6510
2.4,Roxhill/Westwood,98339,63157
2.5,Highland Park,32569,49884
3.1,South Park,67222,28463
3.2,Georgetown,40000,2008
3.3,Duwamish/SODO,39318,63251
3.4,South Beacon Hill/NewHolly,57696,11550
3.5,Beacon Hill,29579,204947
3.6,North Beacon Hill/Jefferson Park,105544,41051
4.1,Rainier Beach,73627,84838
4.2,Columbia City,61164,16812
4.3,Seward Park,70717,24458
4.4,Mt. Baker/North Rainier,33839,21855
5.1,Madrona/Leschi,146736,118975
5.2,Judkins Park,30045,32410
5.3,Central Area/Squire Park,126653,63602
6.1,First Hill,100430,212689
6.2,Capitol Hill,140257,106122
6.4,Miller Park,65245,123431
7.2,University District,35286,43214
7.3,Ravenna/Bryant,132166,219128
8.1,Northgate/Maple Leaf,56439,84050
8.2,Olympic Hills/Victory Heights,85468,99507
8.3,Cedar Park/Meadowbrook,102133,47618
9.1,Broadview/Bitter Lake,15273,7087
9.2,Licton Springs,43917,57075
9.3,Greenwood/Phinney Ridge,75596,50394
9.4,Green Lake,10914,2487
9.5,Haller Lake,9239,8478
10.3,Sunset Hill/Loyal Heights,10221,2324
11.2,Wallingford,17604,16513
11.3,Cascade/Eastlake,149747,62588
12.2,Interbay,141245,68956
12.3,Queen Anne,56403,153014
13.1,Belltown,24873,21518
13.2,Downtown Commercial Core,9699,14204
13.3,Pioneer Square/International District,46583,111604
