area_id,area_name,b19113f001,b19113f001_moe
2.1,North Delridge,24120,54679
2.4,Roxhill/Westwood,81784,47106
3.1,South Park,47250,57748
3.6,North Beacon Hill/Jefferson Park,55592,54066
4.2,Columbia City,94265,11108
5.1,Madrona/Leschi,137798,105819
6.1,First Hill,40870,68087
7.3,Ravenna/Bryant,32115,107474
8.1,Northgate/Maple Leaf,24250,73797
8.2,Olympic Hills/Victory Heights,99853,6605
8.3,Cedar Park/Meadowbrook,143968,73437
9.2,Licton Springs,27458,30239
9.3,Greenwood/Phinney Ridge,45739,35409
9.5,Haller Lake,78036,115860
