area_id,area_name,c15002i001,c15002i001_moe,c15002i002,c15002i002_moe,c15002i003,c15002i003_moe,c15002i004,c15002i004_moe,c15002i005,c15002i005_moe,c15002i006,c15002i006_moe,c15002i007,c15002i007_moe,c15002i008,c15002i008_moe,c15002i009,c15002i009_moe,c15002i010,c15002i010_moe,c15002i011,c15002i011_moe
1.1,Arbor Heights,226,137,136,80,0,17,61,59,28,47,47,38,90,67,0,17,46,53,1,13,43,45
1.2,Fauntleroy/Seaview,337,140,152,104,4,20,57,73,91,67,0,24,185,88,18,34,30,50,80,50,57,55
1.3,West Seattle Junction/Genesee Hill,504,205,219,116,25,34,47,48,0,29,147,100,285,142,31,38,7,21,118,111,129,88
1.4,Alki/Admiral,293,161,160,117,0,24,54,86,106,79,0,24,133,102,0,24,0,24,96,92,37,41
2.1,North Delridge,323,155,165,101,70,83,50,81,18,29,27,31,158,87,55,81,24,39,34,43,45,38
2.2,High Point,142,85,90,70,15,27,44,60,7,17,24,31,52,40,13,24,0,17,10,22,29,31
2.3,Riverview,131,73,86,40,27,22,0,12,33,25,26,26,45,45,19,28,9,15,1,4,16,18
2.4,Roxhill/Westwood,1502,346,896,216,376,168,255,126,77,63,188,95,606,202,266,178,96,84,137,81,107,60
2.5,Highland Park,533,228,314,154,40,48,11,25,211,149,52,49,219,121,32,41,68,90,82,79,37,38
3.1,South Park,962,402,583,355,380,281,86,111,37,50,80,74,379,105,144,84,55,52,130,71,50,58
3.2,Georgetown,156,121,93,76,75,69,0,12,8,14,10,17,63,63,30,44,0,12,14,33,19,34
3.3,Duwamish/SODO,174,141,134,110,45,89,21,33,64,64,4,6,40,47,0,12,34,46,0,12,6,10
3.4,South Beacon Hill/NewHolly,198,103,79,46,40,38,0,24,23,28,16,33,119,78,0,24,74,60,22,27,23,32
3.5,Beacon Hill,185,188,128,131,20,69,45,73,47,44,16,29,57,73,6,25,33,53,18,33,0,17
3.6,North Beacon Hill/Jefferson Park,903,337,505,265,140,112,205,153,74,73,86,81,398,187,208,139,65,69,36,47,89,66
4.1,Rainier Beach,861,283,340,148,199,111,50,64,55,74,36,62,521,215,85,92,209,138,183,128,44,42
4.2,Columbia City,781,299,412,239,158,142,77,92,128,87,49,50,369,175,52,47,16,36,195,124,106,97
4.3,Seward Park,373,239,263,183,155,166,20,25,34,31,54,80,110,76,62,68,15,23,11,22,22,25
4.4,Mt. Baker/North Rainier,183,134,142,129,33,52,19,30,15,25,75,76,41,40,15,24,0,17,14,22,12,21
5.1,Madrona/Leschi,240,118,127,76,0,21,23,29,18,34,86,62,113,77,0,21,0,21,12,24,101,69
5.2,Judkins Park,156,172,122,172,30,47,37,56,55,70,0,12,34,37,0,12,18,20,0,12,16,26
5.3,Central Area/Squire Park,772,205,384,148,101,83,19,33,142,91,122,77,388,128,75,69,17,35,130,76,166,78
6.1,First Hill,669,234,524,225,129,68,112,94,121,73,162,143,145,74,59,53,0,24,0,24,86,64
6.2,Capitol Hill,991,350,569,243,130,142,122,150,177,124,140,83,422,181,0,29,18,40,303,173,101,72
6.3,North Capitol Hill,218,96,146,76,0,12,0,12,91,68,55,61,72,57,0,12,19,33,0,12,53,48
6.4,Miller Park,231,86,114,67,0,17,0,17,27,26,87,62,117,57,4,16,15,22,12,21,86,54
6.5,Madison Park,66,50,35,32,0,17,11,18,12,19,12,20,31,38,0,17,0,17,0,17,31,38
7.1,Montlake/Portage Bay,241,126,105,76,0,21,53,69,15,28,37,34,136,95,0,21,0,21,30,30,106,92
7.2,University District,128,96,82,87,0,29,0,29,65,85,17,36,46,46,0,29,0,29,10,28,36,47
7.3,Ravenna/Bryant,307,115,178,84,0,32,19,37,26,44,133,74,129,71,0,32,5,30,25,37,99,65
7.4,Wedgwood/View Ridge,277,100,109,56,13,30,0,27,8,27,88,50,168,72,15,33,24,27,36,34,93,47
7.5,Laurelhurst/Sand Point,184,122,76,62,0,21,0,21,10,24,66,61,108,88,1,12,0,21,31,73,76,52
8.1,Northgate/Maple Leaf,577,202,266,121,82,77,23,29,92,100,69,46,311,145,17,34,140,112,35,33,119,68
8.2,Olympic Hills/Victory Heights,670,231,253,103,18,37,77,67,81,59,77,55,417,181,15,31,174,163,62,47,166,83
8.3,Cedar Park/Meadowbrook,684,267,494,258,72,58,303,251,72,78,47,42,190,100,70,81,25,35,60,51,35,34
9.1,Broadview/Bitter Lake,417,176,184,105,58,67,77,73,3,26,46,52,233,129,48,47,16,34,66,86,103,66
9.2,Licton Springs,623,303,392,216,222,169,110,122,20,30,40,38,231,134,34,53,114,110,12,22,71,53
9.3,Greenwood/Phinney Ridge,795,259,404,165,116,89,21,35,137,82,130,83,391,143,51,61,36,38,167,102,137,75
9.4,Green Lake,510,190,235,134,0,24,13,29,0,24,222,133,275,124,18,34,0,24,75,60,182,108
9.5,Haller Lake,487,198,314,152,39,61,34,33,129,110,112,64,173,103,10,20,41,64,56,45,66,61
10.1,North Beach/Blue Ridge,498,185,234,108,45,74,31,40,72,61,86,56,264,106,44,71,26,36,66,55,128,75
10.2,Whittier Heights,427,197,143,97,11,25,55,65,36,44,41,39,284,145,33,55,40,50,106,101,105,81
10.3,Sunset Hill/Loyal Heights,250,108,98,59,14,28,0,24,10,23,74,53,152,98,0,24,0,24,68,66,84,71
10.4,Ballard,403,200,215,132,61,76,41,68,34,40,79,69,188,148,15,25,87,135,0,17,86,73
11.1,Fremont,550,156,328,122,17,34,22,31,39,46,250,111,222,98,12,28,13,30,0,24,197,97
11.2,Wallingford,273,111,156,93,0,27,2,21,50,48,104,81,117,60,0,27,0,27,0,27,117,60
11.3,Cascade/Eastlake,635,204,364,165,17,32,52,54,167,137,128,76,271,112,32,53,40,49,63,50,136,79
12.1,Magnolia,156,93,75,58,0,24,0,24,38,43,37,45,81,54,0,24,0,24,28,37,53,51
12.2,Interbay,339,153,136,79,13,30,0,21,14,27,109,72,203,97,0,21,18,22,17,32,168,90
12.3,Queen Anne,1177,300,631,224,41,93,97,72,148,110,345,160,546,192,16,44,31,54,153,103,346,146
13.1,Belltown,244,133,83,65,0,21,14,29,22,28,47,55,161,120,0,21,18,46,76,80,67,80
13.2,Downtown Commercial Core,172,114,67,44,5,12,16,17,31,27,15,25,105,104,0,12,13,29,13,30,79,91
