area_id,area_name,b25056001,b25056001_moe,b25056002,b25056002_moe,b25056003,b25056003_moe,b25056004,b25056004_moe,b25056005,b25056005_moe,b25056006,b25056006_moe,b25056007,b25056007_moe,b25056008,b25056008_moe,b25056009,b25056009_moe,b25056010,b25056010_moe,b25056011,b25056011_moe,b25056012,b25056012_moe,b25056013,b25056013_moe,b25056014,b25056014_moe,b25056015,b25056015_moe,b25056016,b25056016_moe,b25056017,b25056017_moe,b25056018,b25056018_moe,b25056019,b25056019_moe,b25056020,b25056020_moe,b25056021,b25056021_moe,b25056022,b25056022_moe,b25056023,b25056023_moe,b25056024,b25056024_moe
1.1,Arbor Heights,466,107,425,106,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,10,21,0,17,7,16,18,26,0,17,0,17,30,28,10,20,113,58,110,73,109,64,18,20,41,44
1.2,Fauntleroy/Seaview,1829,241,1818,240,42,70,0,24,29,38,0,24,0,24,19,34,0,24,17,33,79,51,104,102,13,27,13,27,89,70,87,58,16,30,90,66,321,113,491,147,237,116,113,69,58,48,11,25
1.3,West Seattle Junction/Genesee Hill,3428,333,3243,340,0,29,0,29,0,29,61,84,60,48,44,45,0,29,101,94,0,29,36,39,16,35,67,56,116,78,106,76,108,95,346,154,390,149,650,178,425,136,615,193,102,88,185,114
1.4,Alki/Admiral,2695,240,2671,243,14,30,38,62,0,24,0,24,0,24,0,24,0,24,0,24,0,24,7,23,0,24,90,56,103,59,180,96,53,45,423,149,422,149,398,135,295,120,458,169,190,73,24,40
2.1,North Delridge,1093,168,1042,162,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,26,0,12,16,26,0,12,54,81,29,34,73,53,15,24,193,90,152,82,316,155,118,84,41,42,19,24,51,46
2.2,High Point,1633,227,1567,221,100,83,15,25,248,136,64,59,98,72,41,46,17,30,91,99,0,17,13,25,85,107,26,32,23,28,62,62,84,87,70,50,125,97,206,119,69,55,87,58,43,52,66,52
2.3,Riverview,519,122,510,120,0,12,27,43,0,12,0,12,0,12,9,12,0,12,0,12,0,12,0,12,0,12,11,16,0,12,0,12,9,14,36,43,10,16,176,70,82,62,143,101,7,10,9,14
2.4,Roxhill/Westwood,2608,233,2544,229,14,29,0,21,61,47,81,85,118,84,0,21,17,34,40,39,56,68,58,65,14,28,218,123,140,101,259,125,141,101,231,115,353,125,418,152,148,72,112,80,65,69,64,42
2.5,Highland Park,1273,220,1244,224,0,21,0,21,0,21,0,21,21,35,0,21,0,21,0,21,0,21,36,42,18,31,42,42,97,89,182,95,104,77,148,116,238,123,192,87,127,81,39,37,0,21,29,37
3.1,South Park,713,122,700,122,0,17,0,17,0,17,11,22,29,39,7,16,0,17,26,43,24,41,18,23,7,16,107,66,26,34,63,65,16,22,87,59,60,49,56,53,163,89,0,17,0,17,13,19
3.2,Georgetown,435,76,435,76,0,12,0,12,0,12,0,12,3,6,12,15,8,10,25,31,67,53,0,12,28,23,39,42,40,32,55,40,11,19,53,56,63,67,3,9,7,11,21,30,0,12,0,12
3.3,Duwamish/SODO,450,116,401,114,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,19,6,10,66,65,11,18,87,60,15,17,71,38,119,81,0,12,0,12,49,66
3.4,South Beacon Hill/NewHolly,2128,233,1981,227,187,97,57,54,75,53,107,87,45,64,43,46,0,24,122,88,23,28,67,81,29,38,56,45,9,22,113,64,0,24,377,153,142,94,216,125,98,93,149,74,66,66,147,88
3.5,Beacon Hill,819,197,819,197,0,17,0,17,20,31,0,17,0,17,0,17,0,17,49,60,0,17,111,88,0,17,77,50,9,19,17,31,42,69,34,45,0,17,192,103,105,69,155,106,8,18,0,17
3.6,North Beacon Hill/Jefferson Park,3182,273,3056,278,60,43,12,26,166,97,82,82,50,44,69,63,71,65,65,66,16,34,161,104,151,149,244,143,268,146,162,96,164,114,250,113,260,133,275,139,293,122,182,87,55,71,126,77
4.1,Rainier Beach,2206,294,2165,297,0,27,92,92,46,59,29,50,23,44,50,59,60,68,0,27,9,26,17,34,151,136,103,68,137,103,105,92,185,105,371,173,252,148,158,107,74,84,280,146,23,41,41,40
4.2,Columbia City,3115,312,3065,310,0,27,41,44,20,38,121,77,72,53,27,34,11,31,39,41,70,70,67,73,68,83,190,94,384,161,200,99,326,158,353,165,217,128,293,146,373,145,166,108,27,32,50,47
4.3,Seward Park,730,135,712,134,9,19,0,17,44,57,7,17,12,21,0,17,0,17,0,17,10,19,23,33,0,17,42,33,83,76,156,85,77,73,38,47,27,33,81,55,56,34,18,24,29,28,18,24
4.4,Mt. Baker/North Rainier,700,146,675,144,41,43,25,23,78,40,13,22,0,17,13,21,0,17,50,82,50,54,29,32,15,25,12,23,15,27,0,17,63,65,14,21,74,81,29,32,97,82,57,46,0,17,25,30
5.1,Madrona/Leschi,1263,209,1233,213,0,21,0,21,0,21,0,21,18,34,0,21,17,30,0,21,20,35,36,45,0,21,93,91,0,21,0,21,52,56,191,126,104,71,316,148,199,95,101,69,86,60,30,38
5.2,Judkins Park,1136,129,1126,129,43,41,20,22,163,77,23,22,43,34,61,50,0,12,15,14,70,69,13,16,64,61,17,19,31,31,43,36,31,31,91,65,115,86,102,54,107,59,74,64,0,12,10,15
5.3,Central Area/Squire Park,4628,310,4517,309,0,24,16,33,74,50,133,87,28,35,68,68,106,123,143,90,50,58,44,38,167,122,149,111,128,82,253,114,205,98,372,125,318,123,974,230,622,162,475,146,192,97,111,76
6.1,First Hill,6419,309,6277,308,92,78,55,57,270,107,189,78,29,34,144,86,42,57,37,32,3,22,70,69,123,61,172,86,297,134,523,153,439,139,754,170,301,100,1000,215,785,205,594,172,358,124,142,75
6.2,Capitol Hill,11287,402,11096,408,11,31,56,92,206,113,124,103,42,45,58,50,99,62,218,149,12,32,73,61,246,133,483,179,273,117,549,173,586,219,1729,316,1920,377,2074,370,1081,235,982,287,274,150,191,130
6.3,North Capitol Hill,1182,192,1169,194,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,50,76,0,12,0,12,13,22,0,12,30,33,59,52,258,108,138,85,250,102,186,133,147,110,38,43,13,20
6.4,Miller Park,1641,131,1609,133,10,20,43,38,11,20,0,17,44,40,0,17,0,17,13,23,0,17,0,17,0,17,10,19,7,17,75,62,73,75,139,71,207,69,262,83,378,104,241,92,96,60,32,36
6.5,Madison Park,1164,153,1148,153,0,17,0,17,0,17,15,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,18,29,0,17,0,17,0,17,90,87,110,84,219,104,190,101,302,133,204,99,16,28
7.1,Montlake/Portage Bay,2149,176,2055,187,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,100,96,0,21,17,30,51,44,65,64,57,49,237,137,251,95,464,130,248,108,337,144,228,127,94,58
7.2,University District,4506,235,4475,237,12,31,0,29,135,111,30,46,15,33,53,84,0,29,34,48,125,103,126,104,139,73,369,145,313,121,359,173,259,120,517,168,484,180,467,157,363,149,384,157,291,127,31,44
7.3,Ravenna/Bryant,4003,299,3889,299,0,32,0,32,7,32,0,32,0,32,9,33,12,36,58,51,14,38,37,40,48,69,281,124,154,75,130,86,153,70,491,137,434,138,738,166,476,149,445,147,402,140,114,65
7.4,Wedgwood/View Ridge,1288,178,1226,177,0,27,0,27,0,27,0,27,0,27,0,27,0,27,57,59,0,27,0,27,0,27,56,65,80,78,22,34,30,36,185,75,146,66,241,84,132,67,221,85,56,43,62,48
7.5,Laurelhurst/Sand Point,1559,212,1479,214,51,73,14,25,0,21,22,39,0,21,0,21,0,21,27,45,20,34,24,29,11,24,8,21,15,21,57,45,21,24,124,66,90,55,335,123,277,122,282,124,101,54,80,63
8.1,Northgate/Maple Leaf,4253,238,4146,244,14,28,0,24,96,69,13,26,114,76,38,35,18,34,55,56,50,37,51,33,31,32,157,94,262,135,289,112,421,154,439,147,336,152,808,223,492,175,204,96,258,122,107,87
8.2,Olympic Hills/Victory Heights,3240,292,3005,281,0,24,0,24,26,34,73,69,58,56,12,28,0,24,23,41,27,38,57,66,69,76,129,81,137,80,177,122,340,144,709,185,378,139,352,114,194,90,151,93,93,68,235,141
8.3,Cedar Park/Meadowbrook,2894,245,2849,247,82,68,7,28,120,90,94,85,0,27,32,33,12,29,33,34,0,27,48,64,119,91,181,102,196,117,199,101,170,91,522,141,348,144,273,113,181,75,172,101,60,37,45,38
9.1,Broadview/Bitter Lake,3398,253,3398,253,0,27,141,111,195,130,51,49,64,55,31,41,40,64,50,51,68,55,171,117,31,32,0,27,76,70,166,96,390,167,559,175,372,162,505,163,145,71,205,103,138,75,0,27
9.2,Licton Springs,2620,254,2574,252,28,47,0,17,47,30,19,33,23,30,44,46,0,17,0,17,34,35,27,31,81,68,24,30,205,149,192,111,27,31,382,134,272,132,648,212,238,121,214,102,69,64,46,51
9.3,Greenwood/Phinney Ridge,4570,322,4438,324,77,72,55,88,31,35,10,31,20,33,55,58,29,54,83,58,41,51,57,50,23,31,53,47,176,82,190,99,162,73,803,194,475,158,714,171,599,171,606,169,179,103,132,71
9.4,Green Lake,3231,254,3195,251,16,31,0,24,119,88,47,38,38,34,26,32,0,24,19,34,0,24,17,35,9,25,14,29,52,45,46,39,25,32,343,133,472,160,715,185,342,132,475,143,420,154,36,40
9.5,Haller Lake,1780,238,1749,239,15,21,57,89,0,21,0,21,0,21,85,101,0,21,9,21,0,21,15,27,0,21,0,21,101,106,76,85,52,62,250,103,329,164,337,117,193,91,164,91,66,46,31,30
10.1,North Beach/Blue Ridge,1499,180,1474,178,0,21,0,21,0,21,13,27,9,25,0,21,0,21,0,21,0,21,54,70,11,25,10,23,58,59,94,63,22,30,308,100,172,82,302,116,123,65,230,102,68,41,25,27
10.2,Whittier Heights,2600,254,2582,252,0,24,0,24,0,24,17,29,0,24,0,24,12,25,0,24,0,24,13,28,0,24,101,68,214,108,84,90,132,74,296,102,308,113,410,152,526,168,353,141,116,92,18,33
10.3,Sunset Hill/Loyal Heights,2370,246,2358,245,16,30,14,29,15,29,46,40,63,78,59,48,0,24,0,24,0,24,11,24,0,24,46,45,17,32,70,44,139,93,413,137,278,107,468,141,276,121,283,129,144,87,12,25
10.4,Ballard,3165,293,3086,290,0,17,15,24,0,17,115,91,46,46,26,40,0,17,15,23,14,23,37,53,0,17,105,70,106,67,170,105,173,103,251,146,319,131,568,228,595,219,398,172,133,97,79,56
11.1,Fremont,5117,318,5117,318,7,23,0,24,0,24,0,24,39,40,8,23,0,24,37,47,48,47,15,29,130,88,98,86,111,66,284,141,125,70,985,249,469,143,1223,240,725,199,641,158,172,74,0,24
11.2,Wallingford,4411,250,4389,249,0,27,0,27,34,42,18,34,0,27,39,50,0,27,84,98,10,29,46,48,47,43,59,55,66,42,377,145,196,109,401,127,416,129,941,210,654,171,675,181,326,122,22,34
11.3,Cascade/Eastlake,7808,430,7681,422,51,60,62,67,209,120,167,102,113,96,67,72,13,26,101,84,61,56,95,75,95,70,170,94,284,113,233,99,508,211,886,230,587,181,1246,234,1055,266,878,236,800,198,127,97
12.1,Magnolia,1314,210,1213,200,0,24,0,24,0,24,12,26,0,24,12,26,0,24,0,24,0,24,0,24,0,24,35,39,42,67,48,46,0,24,232,95,109,89,115,71,125,88,169,91,314,142,101,69
12.2,Interbay,3021,259,2933,255,0,21,0,21,0,21,0,21,9,23,0,21,0,21,0,21,0,21,12,23,0,21,50,46,76,68,137,94,229,95,484,180,282,116,1133,220,219,109,254,129,48,43,88,78
12.3,Queen Anne,11547,494,11427,498,38,50,22,49,115,71,65,53,130,122,56,52,32,50,51,85,0,40,62,58,120,103,189,99,413,188,464,167,520,178,1381,276,1183,257,2556,382,1726,282,1135,247,1169,255,120,69
13.1,Belltown,4347,335,4242,334,152,145,11,24,136,84,218,111,115,94,106,94,44,55,110,126,112,80,152,102,110,89,86,88,82,48,109,73,175,119,283,74,208,104,403,155,556,173,644,189,430,192,105,87
13.2,Downtown Commercial Core,2008,197,1959,198,32,38,28,44,111,64,142,88,87,80,28,38,0,12,115,97,0,12,34,37,78,75,12,19,39,36,111,70,0,12,42,65,19,23,182,97,277,119,413,161,209,84,49,59
13.3,Pioneer Square/International District,2880,161,2828,165,28,27,116,62,300,106,381,108,168,79,61,41,117,78,172,79,108,65,75,56,27,28,122,74,31,40,20,21,182,98,248,85,184,90,170,74,149,81,83,45,86,57,52,54
