area_id,area_name,b23007001,b23007001_moe,b23007002,b23007002_moe,b23007003,b23007003_moe,b23007004,b23007004_moe,b23007005,b23007005_moe,b23007006,b23007006_moe,b23007007,b23007007_moe,b23007008,b23007008_moe,b23007009,b23007009_moe,b23007010,b23007010_moe,b23007011,b23007011_moe,b23007012,b23007012_moe,b23007013,b23007013_moe,b23007014,b23007014_moe,b23007015,b23007015_moe,b23007016,b23007016_moe,b23007017,b23007017_moe,b23007018,b23007018_moe,b23007019,b23007019_moe,b23007020,b23007020_moe,b23007021,b23007021_moe,b23007022,b23007022_moe,b23007023,b23007023_moe,b23007024,b23007024_moe,b23007025,b23007025_moe,b23007026,b23007026_moe,b23007027,b23007027_moe,b23007028,b23007028_moe,b23007029,b23007029_moe,b23007030,b23007030_moe,b23007031,b23007031_moe,b23007032,b23007032_moe,b23007033,b23007033_moe,b23007034,b23007034_moe,b23007035,b23007035_moe,b23007036,b23007036_moe,b23007037,b23007037_moe,b23007038,b23007038_moe,b23007039,b23007039_moe,b23007040,b23007040_moe,b23007041,b23007041_moe,b23007042,b23007042_moe,b23007043,b23007043_moe,b23007044,b23007044_moe,b23007045,b23007045_moe,b23007046,b23007046_moe,b23007047,b23007047_moe,b23007048,b23007048_moe,b23007049,b23007049_moe,b23007050,b23007050_moe,b23007051,b23007051_moe,b23007052,b23007052_moe,b23007053,b23007053_moe,b23007054,b23007054_moe,b23007055,b23007055_moe,b23007056,b23007056_moe,b23007057,b23007057_moe,b23007058,b23007058_moe,b23007059,b23007059_moe
1.1,Arbor Heights,1585,134,725,85,601,85,592,83,573,86,456,79,456,79,0,17,117,62,19,23,19,23,19,23,0,17,0,17,9,18,0,17,0,17,0,17,9,18,124,66,66,46,66,46,66,46,0,17,0,17,58,47,58,47,48,44,10,20,0,17,860,118,743,113,448,106,397,95,348,95,348,95,0,17,49,35,51,56,51,56,51,56,0,17,0,17,295,69,65,40,65,40,0,17,230,60,117,59,6,16,0,17,0,17,0,17,6,16,111,57,72,50,72,50,0,17,39,33
1.2,Fauntleroy/Seaview,3390,270,1475,165,1136,143,1112,144,1096,144,865,165,865,165,0,24,231,94,16,30,16,30,16,30,0,24,0,24,24,33,24,33,24,33,0,24,0,24,339,139,41,43,41,43,41,43,0,24,0,24,298,133,284,134,284,134,0,24,14,29,1915,251,1633,244,1313,231,1313,231,1182,229,1146,228,36,33,131,72,0,24,0,24,0,24,0,24,0,24,320,100,88,57,88,57,0,24,232,91,282,103,33,38,33,38,25,33,8,23,0,24,249,99,151,75,151,75,0,24,98,57
1.3,West Seattle Junction/Genesee Hill,4165,272,2002,209,1479,167,1416,168,1406,169,1140,167,1113,171,27,40,266,100,10,29,10,29,10,29,0,29,0,29,63,52,47,44,47,44,0,29,16,35,523,182,62,54,62,54,62,54,0,29,0,29,461,175,399,158,399,158,0,29,62,72,2163,228,1802,214,1345,215,1256,201,1084,186,1020,182,64,52,172,100,89,78,75,76,75,76,0,29,14,34,457,116,181,84,181,84,0,29,276,94,361,134,135,71,80,54,80,54,0,29,55,44,226,115,127,78,114,75,13,31,99,93
1.4,Alki/Admiral,2475,222,997,128,844,123,770,124,750,125,518,120,498,120,20,33,232,108,20,28,20,28,20,28,0,24,0,24,74,61,74,61,74,61,0,24,0,24,153,75,32,43,9,23,9,23,0,24,23,41,121,59,79,48,79,48,0,24,42,36,1478,223,1340,212,895,178,863,179,639,166,623,162,16,32,224,91,32,37,32,37,13,28,19,34,0,24,445,114,64,54,64,54,0,24,381,112,138,105,87,94,79,93,79,93,0,24,8,21,51,45,32,34,32,34,0,24,19,34
2.1,North Delridge,979,163,438,137,334,125,334,125,334,125,248,119,207,111,41,62,86,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,104,61,43,40,28,32,28,32,0,12,15,24,61,53,61,53,61,53,0,12,0,12,541,154,406,140,350,138,311,130,192,92,177,90,15,25,119,100,39,43,39,43,23,34,16,27,0,12,56,35,41,32,41,32,0,12,15,23,135,79,70,55,70,55,70,55,0,12,0,12,65,54,48,46,48,46,0,12,17,26
2.2,High Point,1514,206,840,178,381,114,349,108,349,108,249,105,249,105,0,17,100,74,0,17,0,17,0,17,0,17,0,17,32,36,32,36,26,35,6,18,0,17,459,169,32,31,32,31,32,31,0,17,0,17,427,164,343,162,333,161,10,21,84,57,674,161,437,109,357,105,342,104,287,99,287,99,0,17,55,43,15,28,15,28,15,28,0,17,0,17,80,52,31,30,31,30,0,17,49,45,237,131,10,19,10,19,10,19,0,17,0,17,227,132,96,64,88,62,8,18,131,103
2.3,Riverview,1096,109,538,119,302,82,302,82,270,87,225,70,225,70,0,12,45,49,32,38,32,38,32,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,236,97,52,37,52,37,52,37,0,12,0,12,184,84,139,73,130,73,9,14,45,54,558,100,336,78,263,82,234,76,199,72,190,71,9,15,35,28,29,26,29,26,29,26,0,12,0,12,73,38,34,29,34,29,0,12,39,26,222,94,94,86,87,88,37,52,50,70,7,12,128,49,50,34,50,34,0,12,78,40
2.4,Roxhill/Westwood,2961,229,1412,189,907,164,858,163,846,164,545,143,454,125,91,79,301,115,12,21,12,21,12,21,0,21,0,21,49,40,49,40,49,40,0,21,0,21,505,145,96,62,79,57,79,57,0,21,17,32,409,130,368,125,350,121,18,34,41,39,1549,240,1124,198,801,176,744,171,593,162,548,141,45,71,151,74,57,54,57,54,57,54,0,21,0,21,323,105,182,87,155,76,27,48,141,72,425,166,260,154,256,153,256,153,0,21,4,19,165,75,100,59,85,53,15,31,65,43
2.5,Highland Park,1348,186,562,145,269,92,269,92,269,92,225,87,225,87,0,21,44,44,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,293,129,101,67,101,67,101,67,0,21,0,21,192,107,157,106,140,103,17,30,35,46,786,174,710,181,506,150,458,146,360,150,360,150,0,21,98,60,48,58,48,58,48,58,0,21,0,21,204,84,100,58,100,58,0,21,104,55,76,46,0,21,0,21,0,21,0,21,0,21,76,46,76,46,76,46,0,21,0,21
3.1,South Park,823,106,486,88,330,103,294,100,270,94,218,76,209,74,9,21,52,53,24,33,24,33,24,33,0,17,0,17,36,44,36,44,29,43,7,16,0,17,156,87,16,22,16,22,16,22,0,17,0,17,140,82,126,78,81,64,45,60,14,26,337,85,164,67,159,67,159,67,103,50,103,50,0,17,56,51,0,17,0,17,0,17,0,17,0,17,5,14,0,17,0,17,0,17,5,14,173,66,82,62,37,38,37,38,0,17,45,51,91,53,68,47,68,47,0,17,23,30
