area_id,area_name,b25014c001,b25014c001_moe,b25014c002,b25014c002_moe,b25014c003,b25014c003_moe
1.1,Arbor Heights,33,39,33,39,0,17
1.2,Fauntleroy/Seaview,24,28,24,28,0,24
1.3,West Seattle Junction/Genesee Hill,46,45,46,45,0,29
1.4,Alki/Admiral,0,24,0,24,0,24
2.1,North Delridge,42,49,42,49,0,12
2.2,High Point,0,17,0,17,0,17
2.3,Riverview,21,34,21,34,0,12
2.4,Roxhill/Westwood,39,44,39,44,0,21
2.5,Highland Park,37,47,37,47,0,21
3.1,South Park,0,17,0,17,0,17
3.2,Georgetown,25,26,25,26,0,12
3.3,Duwamish/SODO,12,22,12,22,0,12
3.4,South Beacon Hill/NewHolly,65,47,65,47,0,24
3.5,Beacon Hill,7,17,7,17,0,17
3.6,North Beacon Hill/Jefferson Park,13,25,13,25,0,24
4.1,Rainier Beach,31,42,31,42,0,27
4.2,Columbia City,11,28,11,28,0,27
4.3,Seward Park,23,28,23,28,0,17
4.4,Mt. Baker/North Rainier,42,42,27,34,15,24
5.1,Madrona/Leschi,32,37,32,37,0,21
5.2,Judkins Park,10,15,10,15,0,12
5.3,Central Area/Squire Park,52,53,52,53,0,24
6.1,First Hill,152,85,152,85,0,24
6.2,Capitol Hill,227,125,227,125,0,29
6.3,North Capitol Hill,42,62,42,62,0,12
6.4,Miller Park,28,27,28,27,0,17
6.5,Madison Park,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,27,36,0,21
7.2,University District,22,42,22,42,0,29
7.3,Ravenna/Bryant,31,38,31,38,0,32
7.4,Wedgwood/View Ridge,11,29,11,29,0,27
7.5,Laurelhurst/Sand Point,23,23,23,23,0,21
8.1,Northgate/Maple Leaf,92,67,71,55,21,40
8.2,Olympic Hills/Victory Heights,10,24,10,24,0,24
8.3,Cedar Park/Meadowbrook,75,56,75,56,0,27
9.1,Broadview/Bitter Lake,67,56,67,56,0,27
9.2,Licton Springs,23,29,23,29,0,17
9.3,Greenwood/Phinney Ridge,75,60,75,60,0,29
9.4,Green Lake,0,24,0,24,0,24
9.5,Haller Lake,84,60,84,60,0,21
10.1,North Beach/Blue Ridge,31,33,31,33,0,21
10.2,Whittier Heights,20,35,20,35,0,24
10.3,Sunset Hill/Loyal Heights,14,29,14,29,0,24
10.4,Ballard,0,17,0,17,0,17
11.1,Fremont,33,40,33,40,0,24
11.2,Wallingford,40,43,40,43,0,27
11.3,Cascade/Eastlake,285,154,237,140,48,77
12.1,Magnolia,25,34,25,34,0,24
12.2,Interbay,25,32,25,32,0,21
12.3,Queen Anne,155,106,155,106,0,40
13.1,Belltown,120,94,120,94,0,21
13.2,Downtown Commercial Core,20,29,20,29,0,12
13.3,Pioneer Square/International District,0,17,0,17,0,17
