area_id,area_name,b99252001,b99252001_moe,b99252002,b99252002_moe,b99252003,b99252003_moe
1.1,Arbor Heights,2639,-1,13,-1,2626,-1
1.2,Fauntleroy/Seaview,6410,-1,29,-1,6381,-1
1.3,West Seattle Junction/Genesee Hill,8391,-1,24,-1,8367,-1
1.4,Alki/Admiral,5786,-1,39,-1,5747,-1
2.1,North Delridge,2387,-1,0,-1,2387,-1
2.2,High Point,2731,-1,0,-1,2731,-1
2.3,Riverview,1680,-1,0,-1,1680,-1
2.4,Roxhill/Westwood,5489,-1,16,-1,5473,-1
2.5,Highland Park,2563,-1,0,-1,2563,-1
3.1,South Park,1323,-1,0,-1,1323,-1
3.2,Georgetown,630,-1,0,-1,630,-1
3.3,Duwamish/SODO,944,-1,5,-1,939,-1
3.4,South Beacon Hill/NewHolly,4531,-1,57,-1,4474,-1
3.5,Beacon Hill,2893,-1,73,-1,2820,-1
3.6,North Beacon Hill/Jefferson Park,5765,-1,8,-1,5757,-1
4.1,Rainier Beach,5403,-1,10,-1,5393,-1
4.2,Columbia City,6493,-1,35,-1,6458,-1
4.3,Seward Park,3376,-1,24,-1,3352,-1
4.4,Mt. Baker/North Rainier,2340,-1,0,-1,2340,-1
5.1,Madrona/Leschi,4262,-1,15,-1,4247,-1
5.2,Judkins Park,1553,-1,46,-1,1507,-1
5.3,Central Area/Squire Park,8106,-1,54,-1,8052,-1
6.1,First Hill,7537,-1,125,-1,7412,-1
6.2,Capitol Hill,13942,-1,24,-1,13918,-1
6.3,North Capitol Hill,2363,-1,0,-1,2363,-1
6.4,Miller Park,3180,-1,14,-1,3166,-1
6.5,Madison Park,2679,-1,31,-1,2648,-1
7.1,Montlake/Portage Bay,4576,-1,18,-1,4558,-1
7.2,University District,5280,-1,15,-1,5265,-1
7.3,Ravenna/Bryant,9895,-1,68,-1,9827,-1
7.4,Wedgwood/View Ridge,6148,-1,22,-1,6126,-1
7.5,Laurelhurst/Sand Point,4412,-1,24,-1,4388,-1
8.1,Northgate/Maple Leaf,6976,-1,50,-1,6926,-1
8.2,Olympic Hills/Victory Heights,6737,-1,25,-1,6712,-1
8.3,Cedar Park/Meadowbrook,5748,-1,0,-1,5748,-1
9.1,Broadview/Bitter Lake,6683,-1,13,-1,6670,-1
9.2,Licton Springs,4422,-1,11,-1,4411,-1
9.3,Greenwood/Phinney Ridge,10923,-1,64,-1,10859,-1
9.4,Green Lake,6673,-1,14,-1,6659,-1
9.5,Haller Lake,4467,-1,10,-1,4457,-1
10.1,North Beach/Blue Ridge,5103,-1,12,-1,5091,-1
10.2,Whittier Heights,5610,-1,26,-1,5584,-1
10.3,Sunset Hill/Loyal Heights,6432,-1,0,-1,6432,-1
10.4,Ballard,4091,-1,88,-1,4003,-1
11.1,Fremont,8389,-1,25,-1,8364,-1
11.2,Wallingford,7409,-1,39,-1,7370,-1
11.3,Cascade/Eastlake,8722,-1,15,-1,8707,-1
12.1,Magnolia,5548,-1,67,-1,5481,-1
12.2,Interbay,5251,-1,14,-1,5237,-1
12.3,Queen Anne,19175,-1,55,-1,19120,-1
13.1,Belltown,5934,-1,66,-1,5868,-1
13.2,Downtown Commercial Core,2452,-1,0,-1,2452,-1
13.3,Pioneer Square/International District,3024,-1,46,-1,2978,-1
