area_id,area_name,c27001c001,c27001c001_moe,c27001c002,c27001c002_moe,c27001c003,c27001c003_moe,c27001c004,c27001c004_moe,c27001c005,c27001c005_moe,c27001c006,c27001c006_moe,c27001c007,c27001c007_moe,c27001c008,c27001c008_moe,c27001c009,c27001c009_moe,c27001c010,c27001c010_moe
1.1,Arbor Heights,111,127,78,99,78,99,0,17,14,22,14,22,0,17,19,31,19,31,0,17
1.2,Fauntleroy/Seaview,50,40,0,24,0,24,0,24,50,40,38,35,12,25,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,147,116,14,33,14,33,0,29,132,102,82,72,50,79,1,27,1,27,0,29
1.4,Alki/Admiral,49,50,10,23,10,23,0,24,39,47,18,34,21,35,0,24,0,24,0,24
2.1,North Delridge,42,49,0,12,0,12,0,12,42,49,42,49,0,12,0,12,0,12,0,12
2.2,High Point,8,20,0,17,0,17,0,17,8,20,8,20,0,17,0,17,0,17,0,17
2.3,Riverview,44,67,23,34,23,34,0,12,21,34,0,12,21,34,0,12,0,12,0,12
2.4,Roxhill/Westwood,101,128,22,38,0,21,22,38,79,97,39,44,40,65,0,21,0,21,0,21
2.5,Highland Park,37,47,0,21,0,21,0,21,37,47,37,47,0,21,0,21,0,21,0,21
3.1,South Park,28,47,28,47,28,47,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,0,12,0,12,0,12,25,26,25,26,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,66,103,33,58,33,58,0,12,19,28,19,28,0,12,14,22,14,22,0,12
3.4,South Beacon Hill/NewHolly,249,199,116,122,116,122,0,24,111,93,111,93,0,24,22,29,22,29,0,24
3.5,Beacon Hill,36,39,0,17,0,17,0,17,36,39,36,39,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,60,73,0,24,0,24,0,24,60,73,23,39,37,66,0,24,0,24,0,24
4.1,Rainier Beach,131,108,100,99,100,99,0,27,14,33,0,27,14,33,17,34,17,34,0,27
4.2,Columbia City,56,47,20,37,20,37,0,27,36,37,26,36,10,29,0,27,0,27,0,27
4.3,Seward Park,48,60,25,42,25,42,0,17,23,28,23,28,0,17,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,139,127,0,17,0,17,0,17,139,127,79,73,60,69,0,17,0,17,0,17
5.1,Madrona/Leschi,87,94,42,68,42,68,0,21,45,42,45,42,0,21,0,21,0,21,0,21
5.2,Judkins Park,10,15,0,12,0,12,0,12,10,15,0,12,10,15,0,12,0,12,0,12
5.3,Central Area/Squire Park,64,55,0,24,0,24,0,24,64,55,64,55,0,24,0,24,0,24,0,24
6.1,First Hill,320,184,74,89,74,89,0,24,246,139,195,94,51,77,0,24,0,24,0,24
6.2,Capitol Hill,303,128,0,29,0,29,0,29,272,131,257,129,15,27,31,35,31,35,0,29
6.3,North Capitol Hill,89,130,0,12,0,12,0,12,89,130,0,12,89,130,0,12,0,12,0,12
6.4,Miller Park,36,28,0,17,0,17,0,17,36,28,18,22,18,25,0,17,0,17,0,17
