area_id,area_name,b12002c001,b12002c001_moe,b12002c002,b12002c002_moe,b12002c003,b12002c003_moe,b12002c004,b12002c004_moe,b12002c005,b12002c005_moe,b12002c006,b12002c006_moe,b12002c007,b12002c007_moe,b12002c008,b12002c008_moe,b12002c009,b12002c009_moe,b12002c010,b12002c010_moe,b12002c011,b12002c011_moe,b12002c012,b12002c012_moe,b12002c013,b12002c013_moe
1.1,Arbor Heights,69,74,33,39,0,17,33,39,0,17,0,17,0,17,36,46,36,46,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,50,40,26,29,2,18,10,23,0,24,0,24,14,29,24,28,12,25,12,26,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,137,105,55,76,54,77,1,27,0,29,0,29,0,29,82,72,59,58,8,23,0,29,0,29,15,34
1.4,Alki/Admiral,49,50,31,41,31,41,0,24,0,24,0,24,0,24,18,34,0,24,18,34,0,24,0,24,0,24
2.1,North Delridge,42,49,18,29,18,29,0,12,0,12,0,12,0,12,24,39,0,12,0,12,0,12,0,12,24,39
2.2,High Point,8,20,0,17,0,17,0,17,0,17,0,17,0,17,8,20,8,20,0,17,0,17,0,17,0,17
2.3,Riverview,21,34,21,34,0,12,21,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,79,97,40,65,40,65,0,21,0,21,0,21,0,21,39,44,0,21,3,19,18,34,0,21,18,34
2.5,Highland Park,37,47,9,18,0,21,9,18,0,21,0,21,0,21,28,45,0,21,0,21,0,21,0,21,28,45
3.1,South Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,18,24,18,24,0,12,0,12,0,12,0,12,7,12,0,12,0,12,0,12,0,12,7,12
3.3,Duwamish/SODO,66,103,22,31,22,31,0,12,0,12,0,12,0,12,44,76,30,54,0,12,0,12,14,22,0,12
3.4,South Beacon Hill/NewHolly,167,130,78,82,34,52,44,43,0,24,0,24,0,24,89,65,17,33,59,46,0,24,9,25,4,19
3.5,Beacon Hill,36,39,35,39,28,39,0,17,0,17,7,17,0,17,1,12,1,12,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,60,73,13,25,0,24,13,25,0,24,0,24,0,24,47,66,0,24,10,23,0,24,0,24,37,66
4.1,Rainier Beach,66,60,49,52,49,52,0,27,0,27,0,27,0,27,17,34,0,27,0,27,0,27,0,27,17,34
4.2,Columbia City,36,37,11,28,0,27,0,27,0,27,0,27,11,28,25,36,15,35,10,29,0,27,0,27,0,27
4.3,Seward Park,26,29,15,23,3,13,12,22,0,17,0,17,0,17,11,22,0,17,0,17,0,17,0,17,11,22
4.4,Mt. Baker/North Rainier,139,127,94,113,64,85,30,35,0,17,0,17,0,17,45,52,18,28,12,20,15,24,0,17,0,17
5.1,Madrona/Leschi,45,42,32,40,32,40,0,21,0,21,0,21,0,21,13,24,13,24,0,21,0,21,0,21,0,21
5.2,Judkins Park,10,15,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,10,15,0,12,0,12,0,12
5.3,Central Area/Squire Park,73,57,27,34,12,24,0,24,0,24,0,24,15,32,46,49,9,27,9,25,0,24,0,24,28,45
6.1,First Hill,271,140,186,103,131,87,17,33,8,26,0,24,30,53,85,59,12,26,29,41,20,36,0,24,24,42
6.2,Capitol Hill,303,128,154,87,87,77,0,29,0,29,0,29,67,50,149,102,120,92,21,42,0,29,0,29,8,30
6.3,North Capitol Hill,89,130,47,68,47,68,0,12,0,12,0,12,0,12,42,62,42,62,0,12,0,12,0,12,0,12
6.4,Miller Park,36,28,18,25,0,17,0,17,0,17,0,17,18,25,18,22,18,22,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,15,28,0,21,15,28,0,21,0,21,0,21,12,24,0,21,0,21,0,21,0,21,12,24
7.2,University District,159,117,86,85,64,78,22,42,0,29,0,29,0,29,73,71,38,55,16,34,0,29,0,29,19,49
7.3,Ravenna/Bryant,76,58,53,49,14,32,39,49,0,32,0,32,0,32,23,38,15,37,8,33,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,23,35,12,31,0,27,12,31,0,27,0,27,0,27,11,29,0,27,0,27,0,27,0,27,11,29
7.5,Laurelhurst/Sand Point,30,31,23,23,18,21,5,20,0,21,0,21,0,21,7,21,0,21,7,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,121,92,29,40,0,24,29,40,0,24,0,24,0,24,92,67,29,37,21,40,0,24,15,29,27,39
8.2,Olympic Hills/Victory Heights,10,24,10,24,0,24,10,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,136,112,64,61,44,62,14,26,0,27,0,27,6,26,72,57,23,30,9,27,0,27,0,27,40,55
9.1,Broadview/Bitter Lake,179,121,50,65,22,41,17,35,0,27,0,27,11,29,129,90,39,47,45,45,0,27,0,27,45,70
9.2,Licton Springs,23,29,11,22,11,22,0,17,0,17,0,17,0,17,12,22,0,17,12,22,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,177,114,93,61,59,48,4,27,1,27,0,29,29,44,84,85,35,52,0,29,7,29,0,29,42,53
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,124,79,49,42,16,28,17,28,0,21,0,21,16,28,75,58,15,27,24,29,0,21,12,22,24,43
10.1,North Beach/Blue Ridge,71,48,43,40,37,39,0,21,0,21,0,21,6,19,28,35,0,21,14,27,0,21,0,21,14,29
10.2,Whittier Heights,20,35,20,35,0,24,0,24,0,24,0,24,20,35,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,45,57,14,29,14,29,0,24,0,24,0,24,0,24,31,51,0,24,0,24,0,24,0,24,31,51
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,44,45,30,41,0,24,19,35,11,32,0,24,0,24,14,30,0,24,0,24,0,24,0,24,14,30
11.2,Wallingford,107,68,55,47,53,47,0,27,0,27,2,21,0,27,52,46,11,27,7,26,0,27,0,27,34,41
11.3,Cascade/Eastlake,296,155,234,145,193,136,0,21,0,21,0,21,41,52,62,49,0,21,22,31,0,21,14,29,26,33
12.1,Magnolia,52,59,27,36,15,31,12,26,0,24,0,24,0,24,25,48,0,24,0,24,0,24,0,24,25,48
12.2,Interbay,82,70,38,37,38,37,0,21,0,21,0,21,0,21,44,60,31,41,0,21,0,21,13,25,0,21
12.3,Queen Anne,251,140,70,61,23,51,47,52,0,40,0,40,0,40,181,105,113,96,28,48,0,40,0,40,40,61
13.1,Belltown,120,94,106,91,81,83,0,21,0,21,0,21,25,41,14,28,0,21,0,21,0,21,14,28,0,21
13.2,Downtown Commercial Core,44,50,31,39,31,39,0,12,0,12,0,12,0,12,13,29,0,12,0,12,0,12,0,12,13,29
13.3,Pioneer Square/International District,14,21,0,17,0,17,0,17,0,17,0,17,0,17,14,21,12,23,0,17,0,17,0,17,2,13
