area_id,area_name,c15002d001,c15002d001_moe,c15002d002,c15002d002_moe,c15002d003,c15002d003_moe,c15002d004,c15002d004_moe,c15002d005,c15002d005_moe,c15002d006,c15002d006_moe,c15002d007,c15002d007_moe,c15002d008,c15002d008_moe,c15002d009,c15002d009_moe,c15002d010,c15002d010_moe,c15002d011,c15002d011_moe
1.1,Arbor Heights,311,121,102,57,0,17,0,17,48,44,54,33,209,94,0,17,55,63,10,19,144,77
1.2,Fauntleroy/Seaview,464,138,128,62,0,24,0,24,15,29,113,57,336,106,0,24,4,20,142,76,190,80
1.3,West Seattle Junction/Genesee Hill,517,146,161,69,4,26,8,21,21,29,128,65,356,124,64,69,14,33,44,42,234,90
1.4,Alki/Admiral,403,147,137,98,18,32,0,24,0,24,119,94,266,100,5,20,0,24,100,69,161,78
2.1,North Delridge,387,179,152,94,0,12,10,20,59,54,83,69,235,123,35,38,26,36,26,34,148,104
2.2,High Point,966,218,363,120,69,53,112,82,121,81,61,82,603,160,312,151,97,59,82,60,112,67
2.3,Riverview,688,153,317,77,50,32,36,43,152,62,79,36,371,91,46,42,75,53,154,72,96,47
2.4,Roxhill/Westwood,1133,267,450,140,27,29,200,108,135,78,88,47,683,154,40,41,93,71,254,118,296,101
2.5,Highland Park,685,223,317,126,19,40,137,109,118,74,43,32,368,118,84,73,35,40,69,53,180,82
3.1,South Park,531,165,243,117,63,45,80,55,45,34,55,56,288,93,130,57,45,47,29,36,84,65
3.2,Georgetown,80,51,39,26,0,12,14,10,25,20,0,12,41,26,27,18,0,12,0,12,14,17
3.3,Duwamish/SODO,403,125,173,57,48,35,25,26,49,32,51,34,230,86,52,50,42,27,76,62,60,48
3.4,South Beacon Hill/NewHolly,4933,549,2297,301,880,189,540,183,325,122,552,155,2636,332,954,204,618,176,343,117,721,200
3.5,Beacon Hill,4432,630,2185,397,648,224,445,158,641,236,451,170,2247,304,867,259,434,163,441,177,505,172
3.6,North Beacon Hill/Jefferson Park,4308,385,2109,283,578,179,625,173,571,184,335,139,2199,221,802,204,521,146,469,148,407,141
4.1,Rainier Beach,3038,475,1458,241,309,117,312,127,401,145,436,133,1580,291,527,202,335,114,297,122,421,139
4.2,Columbia City,3231,418,1498,237,553,182,305,121,353,117,287,119,1733,266,552,140,479,149,236,100,466,150
4.3,Seward Park,1289,171,650,105,108,60,240,72,103,56,199,77,639,115,147,60,200,80,153,66,139,60
4.4,Mt. Baker/North Rainier,566,115,205,82,41,41,57,49,31,49,76,57,361,90,79,57,84,55,76,68,122,79
