area_id,area_name,b19013i001,b19013i001_moe
1.1,Arbor Heights,219072,105840
1.2,Fauntleroy/Seaview,221500,52152
1.3,West Seattle Junction/Genesee Hill,271284,270512
1.4,Alki/Admiral,93994,136048
2.1,North Delridge,50724,43638
2.2,High Point,85156,90245
2.3,Riverview,85903,35989
2.4,Roxhill/Westwood,175121,53973
2.5,Highland Park,36750,39223
3.1,South Park,42721,28473
3.2,Georgetown,47917,10659
3.3,Duwamish/SODO,33705,31065
3.4,South Beacon Hill/NewHolly,63328,79650
3.5,Beacon Hill,91458,380674
3.6,North Beacon Hill/Jefferson Park,140338,47511
4.1,Rainier Beach,68570,72595
4.2,Columbia City,179360,103231
4.3,Seward Park,91130,64681
4.4,Mt. Baker/North Rainier,158929,112129
5.1,Madrona/Leschi,79063,60295
5.2,Judkins Park,82542,66576
5.3,Central Area/Squire Park,274924,76962
6.1,First Hill,282160,191317
6.2,Capitol Hill,112936,123232
6.3,North Capitol Hill,63264,16169
6.4,Miller Park,252916,112881
7.1,Montlake/Portage Bay,139300,93272
7.2,University District,49611,60854
7.3,Ravenna/Bryant,465721,272986
7.4,Wedgwood/View Ridge,424534,184483
7.5,Laurelhurst/Sand Point,135920,134911
8.1,Northgate/Maple Leaf,200688,140351
8.2,Olympic Hills/Victory Heights,199795,148472
8.3,Cedar Park/Meadowbrook,225752,121212
9.1,Broadview/Bitter Lake,59539,96827
9.2,Licton Springs,79352,33746
9.3,Greenwood/Phinney Ridge,314407,259870
9.4,Green Lake,156151,191587
9.5,Haller Lake,135446,56295
10.1,North Beach/Blue Ridge,140526,66282
10.2,Whittier Heights,119512,108953
10.3,Sunset Hill/Loyal Heights,60823,184947
10.4,Ballard,50913,69351
11.1,Fremont,160851,38237
11.2,Wallingford,141205,114409
11.3,Cascade/Eastlake,121082,139233
12.1,Magnolia,44808,519288
12.2,Interbay,156993,61593
12.3,Queen Anne,413970,134548
13.1,Belltown,50780,29216
13.2,Downtown Commercial Core,36810,31974
13.3,Pioneer Square/International District,22813,57476
