area_id,area_name,b14007c001,b14007c001_moe,b14007c002,b14007c002_moe,b14007c003,b14007c003_moe,b14007c004,b14007c004_moe,b14007c005,b14007c005_moe,b14007c006,b14007c006_moe,b14007c007,b14007c007_moe,b14007c008,b14007c008_moe,b14007c009,b14007c009_moe,b14007c010,b14007c010_moe,b14007c011,b14007c011_moe,b14007c012,b14007c012_moe,b14007c013,b14007c013_moe,b14007c014,b14007c014_moe,b14007c015,b14007c015_moe,b14007c016,b14007c016_moe,b14007c017,b14007c017_moe,b14007c018,b14007c018_moe,b14007c019,b14007c019_moe
1.1,Arbor Heights,111,127,78,99,0,17,0,17,0,17,0,17,0,17,14,22,0,17,14,22,0,17,14,22,18,25,18,25,0,17,0,17,0,17,0,17,33,39
1.2,Fauntleroy/Seaview,50,40,12,25,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,12,25,0,24,38,35
1.3,West Seattle Junction/Genesee Hill,137,105,27,48,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,27,48,0,29,110,97
1.4,Alki/Admiral,49,50,10,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,10,23,0,24,0,24,0,24,39,47
2.1,North Delridge,42,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,42,49
2.2,High Point,8,20,8,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,20,0,17,0,17
2.3,Riverview,44,67,23,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,34
2.4,Roxhill/Westwood,101,128,62,97,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,22,38,0,21,0,21,0,21,40,65,0,21,0,21,39,44
2.5,Highland Park,37,47,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,37,47
3.1,South Park,28,47,28,47,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,26,14,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,26
3.3,Duwamish/SODO,66,103,33,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,32,0,12,15,26,0,12,0,12,0,12,33,47
3.4,South Beacon Hill/NewHolly,226,176,110,100,23,38,0,24,16,33,0,24,0,24,0,24,0,24,0,24,20,34,0,24,0,24,17,32,0,24,17,32,0,24,17,33,116,83
3.5,Beacon Hill,36,39,7,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,17,0,17,29,37
3.6,North Beacon Hill/Jefferson Park,60,73,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,60,73
4.1,Rainier Beach,115,95,84,87,17,34,11,28,10,26,0,27,0,27,0,27,0,27,0,27,11,28,10,26,0,27,0,27,25,44,0,27,0,27,0,27,31,42
4.2,Columbia City,56,47,35,45,20,37,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,15,35,0,27,21,30
4.3,Seward Park,51,61,25,42,0,17,0,17,0,17,0,17,0,17,0,17,0,17,13,23,0,17,0,17,12,23,0,17,0,17,0,17,0,17,0,17,26,29
4.4,Mt. Baker/North Rainier,139,127,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,139,127
5.1,Madrona/Leschi,45,42,13,24,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,13,24,0,21,32,40
5.2,Judkins Park,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15
5.3,Central Area/Squire Park,73,57,9,27,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,9,27,64,55
6.1,First Hill,293,151,114,68,22,41,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,76,51,16,33,179,128
6.2,Capitol Hill,303,128,28,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,28,38,0,29,275,124
6.3,North Capitol Hill,89,130,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,89,130
6.4,Miller Park,36,28,8,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,17,0,17,28,27
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,27,36
7.2,University District,178,133,75,78,0,29,0,29,0,29,0,29,0,29,0,29,19,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,56,60,0,29,103,93
7.3,Ravenna/Bryant,76,58,14,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,5,31,0,32,0,32,0,32,9,33,0,32,62,58
7.4,Wedgwood/View Ridge,44,59,21,42,0,27,11,29,0,27,0,27,0,27,0,27,0,27,0,27,0,27,10,29,0,27,0,27,0,27,0,27,0,27,0,27,23,35
7.5,Laurelhurst/Sand Point,30,31,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,30,31
8.1,Northgate/Maple Leaf,201,187,113,144,41,53,0,24,20,37,0,24,0,24,0,24,19,35,0,24,0,24,0,24,0,24,0,24,0,24,0,24,19,35,14,28,88,63
8.2,Olympic Hills/Victory Heights,19,35,9,22,0,24,0,24,9,22,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,10,24
8.3,Cedar Park/Meadowbrook,136,112,2,24,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,2,24,0,27,0,27,0,27,0,27,134,112
9.1,Broadview/Bitter Lake,213,161,34,57,0,27,17,35,0,27,0,27,0,27,0,27,0,27,0,27,0,27,17,35,0,27,0,27,0,27,0,27,0,27,0,27,179,121
9.2,Licton Springs,23,29,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,29
9.3,Greenwood/Phinney Ridge,193,117,16,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,177,114
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,124,79,31,37,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,16,28,15,27,93,71
10.1,North Beach/Blue Ridge,82,58,11,25,0,21,11,25,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,71,48
10.2,Whittier Heights,20,35,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,20,35
10.3,Sunset Hill/Loyal Heights,45,57,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,45,57
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,44,45,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,44,45
11.2,Wallingford,107,68,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,107,68
11.3,Cascade/Eastlake,296,155,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,296,155
12.1,Magnolia,52,59,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,52,59
12.2,Interbay,82,70,11,23,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,11,23,0,21,0,21,0,21,0,21,71,65
12.3,Queen Anne,310,170,59,69,32,53,0,40,0,40,0,40,13,42,14,43,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,251,140
13.1,Belltown,120,94,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,120,94
13.2,Downtown Commercial Core,44,50,20,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,29,0,12,24,39
13.3,Pioneer Square/International District,14,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,21
