area_id,area_name,b19313f001,b19313f001_moe
1.1,Arbor Heights,934200,1063357
1.2,Fauntleroy/Seaview,1891500,2274585
1.3,West Seattle Junction/Genesee Hill,1888500,2508607
2.1,North Delridge,3437100,2484514
2.4,Roxhill/Westwood,8198300,5019526
2.5,Highland Park,2677200,2911706
3.1,South Park,1461100,1993994
3.2,Georgetown,868400,1217834
3.3,Duwamish/SODO,911500,1483004
3.4,South Beacon Hill/NewHolly,1126500,1395490
3.5,Beacon Hill,3655200,5481832
3.6,North Beacon Hill/Jefferson Park,2619800,2720142
4.1,Rainier Beach,6434100,6695145
4.2,Columbia City,4224200,4101277
4.3,Seward Park,1007100,1407628
5.1,Madrona/Leschi,35100900,49033059
5.3,Central Area/Squire Park,3094100,2971598
6.1,First Hill,6044600,3385548
6.2,Capitol Hill,8696500,8091530
6.4,Miller Park,650100,970623
7.2,University District,2595900,1582652
7.3,Ravenna/Bryant,2801800,1965702
8.1,Northgate/Maple Leaf,5346400,3503371
8.2,Olympic Hills/Victory Heights,8365000,6009141
8.3,Cedar Park/Meadowbrook,11633300,6813037
9.1,Broadview/Bitter Lake,2319800,2164275
9.2,Licton Springs,3346300,2350427
9.3,Greenwood/Phinney Ridge,12058900,6581890
9.4,Green Lake,7933900,6489039
9.5,Haller Lake,4472500,4528247
10.3,Sunset Hill/Loyal Heights,1421900,1583770
11.1,Fremont,691500,834184
11.2,Wallingford,3993100,3904886
11.3,Cascade/Eastlake,8169500,7653299
12.2,Interbay,1497800,1341932
12.3,Queen Anne,9391700,5299867
13.1,Belltown,796300,852442
13.2,Downtown Commercial Core,4395000,3911381
13.3,Pioneer Square/International District,707500,873903
