area_id,area_name,b11003001,b11003001_moe,b11003002,b11003002_moe,b11003003,b11003003_moe,b11003004,b11003004_moe,b11003005,b11003005_moe,b11003006,b11003006_moe,b11003007,b11003007_moe,b11003008,b11003008_moe,b11003009,b11003009_moe,b11003010,b11003010_moe,b11003011,b11003011_moe,b11003012,b11003012_moe,b11003013,b11003013_moe,b11003014,b11003014_moe,b11003015,b11003015_moe,b11003016,b11003016_moe,b11003017,b11003017_moe,b11003018,b11003018_moe,b11003019,b11003019_moe,b11003020,b11003020_moe
1.1,Arbor Heights,1585,134,1344,146,601,85,240,83,125,56,236,72,743,113,241,88,72,47,66,46,21,36,10,19,35,28,6,16,169,72,58,47,0,17,22,35,36,30,111,57
1.2,Fauntleroy/Seaview,3390,270,2769,271,1136,143,406,144,116,62,614,164,1633,244,621,167,74,52,41,43,20,36,0,24,21,29,33,38,547,165,298,133,142,98,17,34,139,87,249,99
1.3,West Seattle Junction/Genesee Hill,4165,272,3281,247,1479,167,595,156,242,92,642,122,1802,214,884,217,197,89,62,54,0,29,10,30,52,52,135,71,687,196,461,175,163,118,70,73,228,111,226,115
1.4,Alki/Admiral,2475,222,2184,215,844,123,231,97,124,107,489,118,1340,212,291,128,119,102,32,43,23,41,0,24,9,23,87,94,172,75,121,59,59,53,0,24,62,45,51,45
2.1,North Delridge,979,163,740,153,334,125,224,120,73,49,37,44,406,140,239,102,113,72,43,40,15,24,0,12,28,32,70,55,126,73,61,53,14,22,14,23,33,40,65,54
2.2,High Point,1514,206,818,135,381,114,162,93,136,65,83,60,437,109,696,197,42,38,32,31,0,17,0,17,32,31,10,19,654,194,427,164,99,109,54,46,274,131,227,132
2.3,Riverview,1096,109,638,110,302,82,73,36,44,36,185,80,336,78,458,101,146,82,52,37,9,15,0,12,43,35,94,86,312,99,184,84,47,50,47,55,90,63,128,49
2.4,Roxhill/Westwood,2961,229,2031,239,907,164,327,107,225,99,355,106,1124,198,930,206,356,157,96,62,17,32,22,37,57,49,260,154,574,148,409,130,75,47,26,37,308,115,165,75
2.5,Highland Park,1348,186,979,190,269,92,125,76,88,59,56,49,710,181,369,133,101,67,101,67,0,21,0,21,101,67,0,21,268,112,192,107,80,77,34,40,78,58,76,46
3.1,South Park,823,106,494,116,330,103,90,45,75,61,165,82,164,67,329,100,98,65,16,22,9,18,0,17,7,18,82,62,231,102,140,82,0,17,87,68,53,53,91,53
3.2,Georgetown,190,74,162,67,56,51,34,44,0,12,22,23,106,39,28,30,28,30,10,17,10,17,0,12,0,12,18,24,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,317,99,236,86,101,58,6,11,0,12,95,55,135,51,81,55,0,12,0,12,0,12,0,12,0,12,0,12,81,55,23,27,0,12,5,10,18,24,58,53
3.4,South Beacon Hill/NewHolly,3415,239,2124,218,1130,184,204,105,413,132,513,140,994,161,1291,243,399,140,192,104,72,69,0,24,120,77,207,100,892,221,492,159,58,52,95,77,339,139,400,135
3.5,Beacon Hill,1954,193,1437,189,677,124,312,127,140,79,225,84,760,143,517,142,187,91,49,44,12,24,6,22,31,33,138,81,330,122,122,69,8,18,19,33,95,62,208,105
3.6,North Beacon Hill/Jefferson Park,3324,252,2172,265,976,225,445,157,137,118,394,146,1196,216,1152,239,353,134,124,82,87,70,0,24,37,38,229,106,799,223,416,177,64,70,228,148,124,95,383,134
4.1,Rainier Beach,3431,277,1843,253,761,227,174,96,221,154,366,140,1082,179,1588,299,404,165,142,96,0,27,42,53,100,88,262,131,1184,264,608,200,130,99,99,104,379,171,576,176
