area_id,area_name,b21002001,b21002001_moe,b21002002,b21002002_moe,b21002003,b21002003_moe,b21002004,b21002004_moe,b21002005,b21002005_moe,b21002006,b21002006_moe,b21002007,b21002007_moe,b21002008,b21002008_moe,b21002009,b21002009_moe,b21002010,b21002010_moe,b21002011,b21002011_moe,b21002012,b21002012_moe,b21002013,b21002013_moe,b21002014,b21002014_moe,b21002015,b21002015_moe,b21002016,b21002016_moe
1.1,Arbor Heights,479,117,44,45,0,17,0,17,86,53,0,17,232,92,0,17,0,17,12,16,0,17,25,22,56,46,24,21,0,17,0,17
1.2,Fauntleroy/Seaview,1036,221,0,24,27,34,0,24,156,100,4,19,367,130,17,31,0,24,59,47,16,31,159,86,144,74,72,50,15,29,0,24
1.3,West Seattle Junction/Genesee Hill,1352,267,142,147,111,97,0,29,211,109,0,29,284,100,16,29,0,29,99,60,0,29,136,63,184,106,169,76,0,29,0,29
1.4,Alki/Admiral,924,192,37,59,43,51,16,32,108,63,5,20,264,91,0,24,0,24,118,65,7,21,74,52,99,73,138,100,0,24,15,29
2.1,North Delridge,345,123,29,34,46,43,0,12,11,20,13,20,122,89,0,12,1,4,0,12,0,12,2,4,105,92,16,25,0,12,0,12
2.2,High Point,221,128,5,16,0,17,0,17,56,78,0,17,60,75,0,17,0,17,9,20,0,17,0,17,75,80,16,30,0,17,0,17
2.3,Riverview,174,75,0,12,0,12,0,12,39,31,10,17,63,37,0,12,0,12,14,17,0,12,0,12,37,50,11,17,0,12,0,12
2.4,Roxhill/Westwood,721,159,57,50,0,21,0,21,94,62,52,67,263,91,14,27,0,21,43,32,7,21,73,49,87,53,31,33,0,21,0,21
2.5,Highland Park,517,156,17,31,0,21,0,21,54,50,22,30,182,89,0,21,0,21,47,48,0,21,78,83,57,52,60,49,0,21,0,21
3.1,South Park,180,74,14,21,0,17,0,17,0,17,0,17,92,64,0,17,0,17,17,27,0,17,0,17,42,44,15,27,0,17,0,17
3.2,Georgetown,96,58,9,18,0,12,0,12,15,19,0,12,45,43,0,12,0,12,4,7,0,12,0,12,20,20,3,6,0,12,0,12
3.3,Duwamish/SODO,177,97,5,8,0,12,0,12,32,36,0,12,68,55,0,12,0,12,27,31,0,12,0,12,27,32,7,16,11,16,0,12
3.4,South Beacon Hill/NewHolly,499,117,81,68,0,24,0,24,39,43,6,20,146,76,8,22,0,24,30,31,0,24,94,45,46,39,49,50,0,24,0,24
3.5,Beacon Hill,574,200,94,60,0,17,21,35,43,46,0,17,152,104,0,17,0,17,9,18,0,17,56,53,129,116,70,45,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,582,183,59,77,33,43,0,24,97,59,0,24,238,131,0,24,10,31,16,33,0,24,87,60,21,32,21,39,0,24,0,24
4.1,Rainier Beach,676,175,0,27,14,30,0,27,110,89,0,27,251,110,0,27,0,27,84,58,9,26,68,50,85,62,55,39,0,27,0,27
4.2,Columbia City,818,204,49,53,0,27,0,27,87,79,0,27,378,134,11,22,0,27,71,48,0,27,62,41,49,44,99,63,9,28,3,22
4.3,Seward Park,566,135,30,35,13,20,0,17,69,49,0,17,218,85,0,17,0,17,38,32,0,17,82,49,28,35,80,48,8,18,0,17
4.4,Mt. Baker/North Rainier,190,109,0,17,0,17,0,17,24,40,0,17,43,38,0,17,0,17,36,35,0,17,17,27,70,74,0,17,0,17,0,17
5.1,Madrona/Leschi,490,175,13,28,0,21,0,21,26,27,12,23,162,80,6,21,11,26,27,38,0,21,66,39,92,103,75,52,0,21,0,21
5.2,Judkins Park,106,56,11,17,0,12,0,12,9,15,0,12,33,31,4,9,0,12,0,12,0,12,18,20,12,13,19,22,0,12,0,12
5.3,Central Area/Squire Park,821,191,80,77,14,30,0,24,146,95,0,24,175,81,16,32,0,24,81,53,5,23,91,73,139,67,74,55,0,24,0,24
