area_id,area_name,c21007001,c21007001_moe,c21007002,c21007002_moe,c21007003,c21007003_moe,c21007004,c21007004_moe,c21007005,c21007005_moe,c21007006,c21007006_moe,c21007007,c21007007_moe,c21007008,c21007008_moe,c21007009,c21007009_moe,c21007010,c21007010_moe,c21007011,c21007011_moe,c21007012,c21007012_moe,c21007013,c21007013_moe,c21007014,c21007014_moe,c21007015,c21007015_moe,c21007016,c21007016_moe,c21007017,c21007017_moe,c21007018,c21007018_moe,c21007019,c21007019_moe,c21007020,c21007020_moe,c21007021,c21007021_moe,c21007022,c21007022_moe,c21007023,c21007023_moe,c21007024,c21007024_moe,c21007025,c21007025_moe,c21007026,c21007026_moe,c21007027,c21007027_moe,c21007028,c21007028_moe,c21007029,c21007029_moe,c21007030,c21007030_moe,c21007031,c21007031_moe
1.1,Arbor Heights,4937,206,4112,202,302,103,0,17,0,17,0,17,302,103,44,36,258,92,3810,221,157,72,17,24,140,67,3653,222,161,69,3492,215,825,102,177,62,0,17,0,17,0,17,177,62,48,36,129,64,648,83,4,14,4,14,0,17,644,82,106,39,538,80
1.2,Fauntleroy/Seaview,11138,465,9446,474,604,178,27,32,16,31,11,25,577,179,29,31,548,175,8842,462,618,219,227,139,391,163,8224,471,289,107,7935,480,1692,151,402,113,17,33,17,33,0,24,385,109,149,82,236,86,1290,137,18,34,18,34,0,24,1272,137,330,100,942,150
1.3,West Seattle Junction/Genesee Hill,14053,488,11997,476,796,240,78,95,0,29,78,95,718,217,70,52,648,211,11201,499,814,249,200,129,614,203,10387,521,384,174,10003,516,2056,201,494,118,15,35,15,35,0,29,479,117,224,87,255,96,1562,218,106,64,49,49,57,49,1456,223,578,158,878,163
1.4,Alki/Admiral,9373,440,7528,424,435,132,16,31,0,24,16,31,419,129,14,29,405,131,7093,441,585,199,17,29,568,199,6508,399,360,149,6148,378,1845,245,479,130,11,31,11,31,0,24,468,127,119,65,349,119,1366,194,116,74,45,48,71,52,1250,191,270,99,980,202
2.1,North Delridge,4074,254,3735,260,311,116,43,66,0,12,43,66,268,110,24,30,244,106,3424,255,318,156,86,55,232,130,3106,250,72,55,3034,247,339,59,34,35,0,12,0,12,0,12,34,35,19,25,15,25,305,58,35,31,2,4,33,32,270,69,70,59,200,68
2.2,High Point,4778,387,4316,390,187,125,55,76,0,17,55,76,132,107,46,73,86,83,4129,411,1113,317,364,183,749,266,3016,368,260,146,2756,324,462,136,29,34,0,17,0,17,0,17,29,34,25,32,4,16,433,136,198,115,109,97,89,72,235,110,65,49,170,87
2.3,Riverview,3645,225,3293,223,138,67,21,23,13,19,8,12,117,62,21,23,96,59,3155,239,273,126,36,34,237,117,2882,253,93,48,2789,258,352,60,36,25,0,12,0,12,0,12,36,25,7,11,29,23,316,58,0,12,0,12,0,12,316,58,45,32,271,56
2.4,Roxhill/Westwood,10001,567,8819,558,449,137,46,49,19,38,27,32,403,129,63,45,340,124,8370,554,1020,305,159,88,861,301,7350,556,467,193,6883,500,1182,158,272,86,25,33,25,33,0,21,247,82,172,75,75,46,910,137,109,76,44,39,65,57,801,129,305,102,496,122
2.5,Highland Park,4741,339,3923,317,276,121,81,67,15,28,66,53,195,105,26,38,169,96,3647,335,313,142,65,63,248,116,3334,344,160,92,3174,329,818,162,241,103,45,71,45,71,0,21,196,91,111,76,85,53,577,131,123,69,94,58,29,38,454,119,97,65,357,101
3.1,South Park,2989,436,2763,438,104,68,26,43,26,43,0,17,78,58,0,17,78,58,2659,450,460,191,50,38,410,184,2199,440,149,84,2050,420,226,62,58,46,35,40,0,17,35,40,23,29,8,17,15,27,168,62,29,39,29,39,0,17,139,60,60,38,79,61
3.2,Georgetown,1051,136,965,152,89,56,11,19,0,12,11,19,78,47,22,30,56,34,876,161,126,89,78,80,48,32,750,140,114,69,636,154,86,49,7,9,3,6,3,6,0,12,4,7,0,12,4,7,79,48,4,9,4,9,0,12,75,48,15,13,60,49
3.3,Duwamish/SODO,2145,375,1839,308,95,76,29,42,15,27,14,22,66,46,0,12,66,46,1744,305,507,198,235,82,272,153,1237,189,62,46,1175,177,306,127,77,59,18,30,11,26,7,16,59,44,22,24,37,38,229,89,37,38,30,32,7,11,192,84,98,56,94,55
3.4,South Beacon Hill/NewHolly,10891,687,9245,668,313,106,34,42,34,42,0,24,279,102,49,43,230,94,8932,671,1508,413,302,161,1206,322,7424,655,438,147,6986,657,1646,207,186,66,20,29,0,24,20,29,166,63,124,53,42,38,1460,203,332,120,228,115,104,56,1128,168,467,141,661,137
3.5,Beacon Hill,7698,598,6307,559,421,180,0,17,0,17,0,17,421,180,26,27,395,179,5886,551,529,230,133,102,396,211,5357,554,251,118,5106,542,1391,178,153,74,10,19,0,17,10,19,143,72,44,36,99,65,1238,174,118,74,46,52,72,59,1120,163,269,116,851,166
3.6,North Beacon Hill/Jefferson Park,11390,576,9559,616,348,146,114,77,7,26,107,75,234,117,37,48,197,106,9211,607,948,279,222,123,726,260,8263,588,268,120,7995,570,1831,203,234,117,0,24,0,24,0,24,234,117,135,76,99,88,1597,180,555,179,291,124,264,138,1042,178,366,128,676,162
4.1,Rainier Beach,11330,677,9582,635,379,154,45,73,0,27,45,73,334,136,21,27,313,136,9203,655,1493,421,322,133,1171,388,7710,650,780,237,6930,619,1748,228,297,92,36,40,0,27,36,40,261,88,93,54,168,76,1451,229,246,123,117,96,129,81,1205,218,517,174,688,168
4.2,Columbia City,12939,637,11161,625,413,148,121,90,60,55,61,75,292,105,69,48,223,103,10748,643,1505,365,237,138,1268,345,9243,722,551,183,8692,711,1778,205,356,118,0,27,0,27,0,27,356,118,75,46,281,115,1422,190,292,132,223,117,69,51,1130,168,436,135,694,143
4.3,Seward Park,6831,421,5645,375,268,100,42,52,11,22,31,49,226,98,22,30,204,89,5377,374,586,286,125,85,461,255,4791,319,167,80,4624,305,1186,193,284,82,10,18,0,17,10,18,274,78,68,36,206,73,902,182,146,101,88,73,58,53,756,148,207,93,549,130
4.4,Mt. Baker/North Rainier,4291,413,3694,397,107,84,0,17,0,17,0,17,107,84,41,66,66,55,3587,383,563,260,112,71,451,255,3024,318,245,123,2779,315,597,143,83,76,8,17,8,17,0,17,75,74,17,27,58,53,514,136,61,50,37,38,24,30,453,121,217,83,236,92
