area_id,area_name,b06007001,b06007001_moe,b06007002,b06007002_moe,b06007003,b06007003_moe,b06007004,b06007004_moe,b06007005,b06007005_moe,b06007006,b06007006_moe,b06007007,b06007007_moe,b06007008,b06007008_moe,b06007009,b06007009_moe,b06007010,b06007010_moe,b06007011,b06007011_moe,b06007012,b06007012_moe,b06007013,b06007013_moe,b06007014,b06007014_moe,b06007015,b06007015_moe,b06007016,b06007016_moe,b06007017,b06007017_moe,b06007018,b06007018_moe,b06007019,b06007019_moe,b06007020,b06007020_moe,b06007021,b06007021_moe,b06007022,b06007022_moe,b06007023,b06007023_moe,b06007024,b06007024_moe,b06007025,b06007025_moe,b06007026,b06007026_moe,b06007027,b06007027_moe,b06007028,b06007028_moe,b06007029,b06007029_moe,b06007030,b06007030_moe,b06007031,b06007031_moe,b06007032,b06007032_moe,b06007033,b06007033_moe,b06007034,b06007034_moe,b06007035,b06007035_moe,b06007036,b06007036_moe,b06007037,b06007037_moe,b06007038,b06007038_moe,b06007039,b06007039_moe,b06007040,b06007040_moe
1.1,Arbor Heights,5810,258,5193,313,242,137,213,121,29,40,375,158,218,93,157,114,3282,309,3098,325,116,103,94,90,22,38,68,69,28,34,40,60,1933,195,1769,182,70,43,63,44,7,17,94,59,74,55,20,32,81,56,81,56,0,17,0,17,0,17,0,17,0,17,0,17,514,123,245,91,56,54,56,54,0,17,213,93,116,63,97,77
1.2,Fauntleroy/Seaview,12872,589,11701,614,304,168,228,127,76,67,867,241,703,228,164,77,6066,574,5751,572,134,88,76,68,58,60,181,103,144,94,37,35,5585,513,5403,513,67,59,67,59,0,24,115,63,91,57,24,34,298,139,261,134,20,36,20,36,0,24,17,32,17,32,0,24,923,218,286,122,83,89,65,84,18,34,554,172,451,162,103,60
1.3,West Seattle Junction/Genesee Hill,17051,622,15028,662,392,193,261,163,131,78,1631,358,1154,292,477,193,7539,588,7131,591,86,70,68,65,18,36,322,136,235,111,87,83,7695,576,7119,559,214,154,168,143,46,45,362,154,339,145,23,35,260,116,158,81,27,50,0,29,27,50,75,81,71,81,4,25,1557,300,620,189,65,52,25,37,40,47,872,243,509,147,363,176
1.4,Alki/Admiral,10630,475,9297,515,385,254,339,250,46,42,948,344,747,303,201,168,4265,411,3900,398,135,119,101,114,34,37,230,140,230,140,0,24,5212,418,4892,421,205,170,193,169,12,25,115,86,115,86,0,24,229,110,209,107,20,36,20,36,0,24,0,24,0,24,0,24,924,264,296,112,25,40,25,40,0,24,603,241,402,173,201,168
2.1,North Delridge,4387,280,3389,406,207,167,36,39,171,160,791,334,561,256,230,137,1621,266,1443,290,0,12,0,12,0,12,178,113,164,110,14,23,1966,278,1845,271,25,27,25,27,0,12,96,79,96,79,0,12,45,45,35,42,0,12,0,12,0,12,10,17,10,17,0,12,755,309,66,68,182,162,11,18,171,160,507,255,291,194,216,135
2.2,High Point,5917,439,3838,465,87,85,17,25,70,74,1992,335,1012,317,980,272,2423,401,2023,373,37,59,0,17,37,59,363,134,223,133,140,100,1883,271,1634,281,22,40,0,17,22,40,227,116,180,129,47,59,48,45,13,23,0,17,0,17,0,17,35,41,4,14,31,40,1563,295,168,120,28,33,17,25,11,28,1367,264,605,220,762,211
2.3,Riverview,4430,272,3499,275,114,92,69,65,45,34,817,272,445,194,372,134,2157,303,1939,312,59,44,51,42,8,13,159,107,159,107,0,12,1309,215,1276,213,0,12,0,12,0,12,33,34,33,34,0,12,63,39,53,39,0,12,0,12,0,12,10,18,10,18,0,12,901,200,231,137,55,50,18,25,37,27,615,212,243,117,372,134
2.4,Roxhill/Westwood,11695,653,7583,543,2122,616,1030,336,1092,386,1990,419,1025,282,965,286,3825,446,3076,430,469,243,448,246,21,36,280,137,219,122,61,50,4559,497,4018,388,410,251,358,237,52,41,131,81,100,70,31,45,244,131,92,54,51,74,0,21,51,74,101,97,89,89,12,29,3067,503,397,139,1192,389,224,116,968,365,1478,362,617,245,861,281
2.5,Highland Park,5490,406,3734,399,479,250,286,160,193,123,1277,310,758,252,519,205,2148,297,1895,288,83,72,30,36,53,51,170,114,132,115,38,57,1791,313,1548,304,230,194,161,122,69,87,13,24,13,24,0,21,137,108,96,98,41,46,41,46,0,21,0,21,0,21,0,21,1414,294,195,100,125,101,54,75,71,59,1094,267,613,194,481,178
3.1,South Park,4021,516,1664,235,1462,552,600,268,862,398,895,251,378,190,517,164,1165,225,858,231,147,94,141,94,6,16,160,67,88,51,72,60,970,207,711,152,259,154,235,126,24,41,0,17,0,17,0,17,258,168,51,54,75,76,46,67,29,39,132,140,132,140,0,17,1628,508,44,53,981,501,178,165,803,401,603,162,158,73,445,126
3.2,Georgetown,1160,143,770,154,176,157,34,30,142,143,214,110,101,61,113,70,374,117,302,109,52,52,20,24,32,47,20,23,20,23,0,12,455,131,425,130,4,7,4,7,0,12,26,40,26,40,0,12,33,39,33,39,0,12,0,12,0,12,0,12,0,12,0,12,298,101,10,19,120,107,10,17,110,103,168,93,55,33,113,70
3.3,Duwamish/SODO,2371,376,1764,299,180,161,79,71,101,119,427,154,166,88,261,97,782,183,654,181,14,20,7,13,7,16,114,75,104,74,10,13,934,245,896,215,25,33,21,32,4,8,13,30,13,30,0,12,8,17,0,12,0,12,0,12,0,12,8,17,0,12,8,17,647,243,214,145,141,139,51,43,90,121,292,113,49,38,243,101
3.4,South Beacon Hill/NewHolly,14310,1112,4629,585,218,109,205,100,13,27,9463,1165,3135,596,6328,929,4351,514,2656,474,93,62,93,62,0,24,1602,350,967,286,635,253,1869,308,1513,289,47,38,47,38,0,24,309,131,136,73,173,111,256,130,113,92,0,24,0,24,0,24,143,102,68,58,75,63,7834,971,347,129,78,52,65,39,13,27,7409,954,1964,456,5445,798
3.5,Beacon Hill,8677,661,3192,482,360,312,264,197,96,133,5125,678,2186,367,2939,525,2167,405,1357,328,80,93,80,93,0,17,730,208,648,195,82,71,1723,355,1409,316,83,97,83,97,0,17,231,140,228,140,3,14,148,108,56,46,58,92,58,92,0,17,34,35,24,31,10,21,4639,637,370,181,139,169,43,61,96,133,4130,622,1286,305,2844,517
3.6,North Beacon Hill/Jefferson Park,13052,659,6269,626,1063,421,514,272,549,325,5720,601,2090,459,3630,527,3477,495,2070,414,322,205,283,191,39,55,1085,311,859,306,226,133,4178,507,3812,486,121,105,60,51,61,79,245,136,203,122,42,44,220,102,85,78,0,24,0,24,0,24,135,86,30,41,105,81,5177,524,302,135,620,294,171,117,449,263,4255,474,998,302,3257,496
4.1,Rainier Beach,14176,977,8491,837,1011,419,555,295,456,233,4674,746,2330,493,2344,457,5691,793,4652,802,255,213,255,213,0,27,784,416,627,359,157,95,3917,537,3478,487,235,173,159,125,76,66,204,108,188,104,16,33,266,183,103,108,18,37,0,27,18,37,145,117,145,117,0,27,4302,581,258,151,503,270,141,121,362,204,3541,529,1370,333,2171,428
4.2,Columbia City,15434,778,8770,723,914,358,530,204,384,252,5750,723,2003,377,3747,631,4852,590,3967,569,177,107,163,104,14,30,708,233,478,186,230,118,4719,506,4181,473,247,125,240,124,7,33,291,146,232,123,59,66,533,188,284,110,0,27,0,27,0,27,249,170,143,131,106,97,5330,665,338,133,490,296,127,101,363,244,4502,663,1150,271,3352,578
4.3,Seward Park,8158,537,5551,406,678,416,443,250,235,223,1929,301,957,221,972,209,2813,335,2345,278,219,156,219,156,0,17,249,103,218,98,31,28,3028,296,2750,305,88,59,88,59,0,17,190,103,182,103,8,20,144,72,93,56,0,17,0,17,0,17,51,47,51,47,0,17,2173,401,363,133,371,280,136,137,235,223,1439,247,506,141,933,210
4.4,Mt. Baker/North Rainier,5202,458,3956,491,208,136,109,84,99,90,1038,268,537,217,501,204,1689,345,1351,349,86,78,73,75,13,20,252,135,238,139,14,23,2376,290,2268,304,47,36,36,37,11,17,61,54,61,54,0,17,121,76,108,72,0,17,0,17,0,17,13,21,0,17,13,21,1016,254,229,111,75,82,0,17,75,82,712,237,238,115,474,199
5.1,Madrona/Leschi,9385,499,8296,565,350,185,286,163,64,52,739,221,617,201,122,103,3008,439,2778,464,94,63,76,56,18,31,136,109,136,109,0,21,5100,554,4744,520,174,135,146,119,28,34,182,94,166,90,16,32,290,163,263,162,0,21,0,21,0,21,27,29,27,29,0,21,987,249,511,213,82,66,64,59,18,31,394,153,288,125,106,83
5.2,Judkins Park,2772,286,1467,249,149,172,38,41,111,171,1156,260,492,165,664,162,727,213,611,212,0,12,0,12,0,12,116,61,74,45,42,34,870,147,705,144,22,27,22,27,0,12,143,76,111,68,32,33,82,63,49,62,16,26,16,26,0,12,17,21,0,12,17,21,1093,247,102,60,111,171,0,12,111,171,880,193,307,130,573,143
5.3,Central Area/Squire Park,15813,730,13235,724,686,249,440,166,246,150,1892,489,1179,284,713,363,4889,565,4463,570,172,97,127,77,45,43,254,143,212,135,42,44,8318,524,7971,534,103,68,98,67,5,22,244,105,244,105,0,24,181,69,147,65,11,23,0,24,11,23,23,29,14,25,9,26,2425,480,654,181,400,173,215,110,185,141,1371,440,709,242,662,358
6.1,First Hill,14487,744,10744,729,892,267,594,195,298,153,2851,427,1562,306,1289,273,3938,412,3594,425,148,66,104,58,44,45,196,100,135,86,61,50,7275,563,6546,524,291,145,283,144,8,27,438,144,387,137,51,44,251,93,114,67,9,28,9,28,0,24,128,89,105,81,23,42,3023,422,490,146,444,238,198,159,246,144,2089,345,935,217,1154,249
6.2,Capitol Hill,19665,701,16363,754,857,359,572,228,285,287,2445,504,1680,397,765,304,4699,534,4353,526,82,83,70,81,12,34,264,152,206,139,58,58,11549,748,10628,743,411,178,359,165,52,69,510,202,465,196,45,48,394,169,309,158,0,29,0,29,0,29,85,59,70,56,15,36,3023,539,1073,286,364,297,143,137,221,278,1586,380,939,279,647,298
6.3,North Capitol Hill,3798,196,3475,240,64,51,64,51,0,12,259,130,232,124,27,30,946,191,888,202,0,12,0,12,0,12,58,52,58,52,0,12,2316,247,2208,258,31,37,31,37,0,12,77,47,67,46,10,18,142,93,122,91,20,31,20,31,0,12,0,12,0,12,0,12,394,142,257,126,13,20,13,20,0,12,124,74,107,71,17,26
6.4,Miller Park,6894,407,6272,415,119,67,88,56,31,40,503,145,328,116,175,82,2187,286,2152,278,28,37,5,16,23,38,7,17,7,17,0,17,3874,292,3695,303,75,55,75,55,0,17,104,57,79,43,25,39,230,92,225,91,0,17,0,17,0,17,5,14,0,17,5,14,603,144,200,72,16,22,8,18,8,18,387,126,242,99,145,73
6.5,Madison Park,4943,328,4292,348,76,54,52,38,24,39,575,210,476,198,99,76,2225,300,2095,301,23,26,11,17,12,20,107,67,107,67,0,17,2042,314,1974,310,42,34,30,28,12,20,26,29,26,29,0,17,217,101,139,91,0,17,0,17,0,17,78,62,78,62,0,17,459,180,84,54,11,18,11,18,0,17,364,169,265,137,99,76
7.1,Montlake/Portage Bay,9065,471,8206,478,225,134,214,126,11,23,634,189,432,145,202,96,3144,326,2937,306,107,86,107,86,0,21,100,69,90,68,10,23,4875,461,4763,463,18,27,18,27,0,21,94,57,79,57,15,28,157,78,157,78,0,21,0,21,0,21,0,21,0,21,0,21,889,214,349,136,100,89,89,85,11,23,440,157,263,102,177,90
7.2,University District,19198,1379,13973,1327,668,264,623,259,45,41,4557,619,2947,404,1610,392,7425,1000,6365,988,218,119,211,118,7,27,842,222,765,204,77,58,7987,686,6755,616,327,180,289,174,38,38,905,270,714,236,191,103,480,157,275,128,6,25,6,25,0,29,199,108,187,104,12,25,3306,479,578,213,117,100,117,100,0,29,2611,462,1281,242,1330,356
7.3,Ravenna/Bryant,23083,819,19427,768,620,176,579,171,41,41,3036,631,2071,435,965,307,9298,615,8544,617,209,113,199,111,10,33,545,176,480,172,65,55,10100,599,9433,579,258,103,253,102,5,30,409,148,348,126,61,60,527,158,349,105,37,44,28,43,9,33,141,104,69,56,72,90,3158,548,1101,293,116,80,99,77,17,34,1941,511,1174,355,767,263
7.4,Wedgwood/View Ridge,14184,443,11612,480,379,144,272,125,107,60,2193,358,1606,269,587,198,6019,438,5495,456,129,64,67,44,62,48,395,150,381,153,14,29,5900,456,5503,440,166,82,166,82,0,27,231,79,222,78,9,28,264,104,159,79,0,27,0,27,0,27,105,64,90,61,15,33,2001,330,455,118,84,62,39,49,45,39,1462,308,913,225,549,198
7.5,Laurelhurst/Sand Point,10139,551,8245,574,293,186,239,144,54,71,1601,388,1199,325,402,158,4333,476,3940,441,64,56,64,56,0,21,329,172,290,159,39,40,3998,451,3798,452,71,73,61,71,10,24,129,74,129,74,0,21,151,80,127,74,10,14,9,22,1,12,14,26,14,26,0,21,1657,364,380,144,148,150,105,92,43,70,1129,311,766,236,363,151
8.1,Northgate/Maple Leaf,12617,560,9156,548,661,278,361,179,300,215,2800,426,1644,390,1156,330,4781,442,4285,411,214,153,193,152,21,33,282,129,240,113,42,38,4373,430,4076,415,108,75,88,73,20,25,189,111,179,110,10,26,324,127,138,82,47,55,36,47,11,27,139,84,94,63,45,68,3139,425,657,220,292,227,44,51,248,211,2190,376,1131,337,1059,320
8.2,Olympic Hills/Victory Heights,13808,625,10492,629,797,316,410,153,387,263,2519,535,1049,257,1470,405,5477,455,5079,458,188,109,145,91,43,58,210,84,194,84,16,23,5144,491,4673,474,296,120,194,102,102,71,175,96,115,60,60,55,232,123,131,69,12,28,12,28,0,24,89,100,40,59,49,80,2955,574,609,187,301,257,59,49,242,247,2045,490,700,220,1345,392
8.3,Cedar Park/Meadowbrook,11514,593,9025,539,803,344,279,128,524,303,1686,372,922,293,764,235,4382,431,4126,417,89,74,36,34,53,69,167,89,150,85,17,26,4830,432,4434,413,215,166,169,111,46,77,181,103,176,103,5,25,152,101,74,44,10,27,0,27,10,27,68,95,66,95,2,25,2150,423,391,114,489,281,74,61,415,276,1270,325,530,209,740,235
9.1,Broadview/Bitter Lake,13154,757,10369,729,415,186,258,121,157,148,2370,506,1439,374,931,297,5811,623,5233,600,159,89,120,83,39,45,419,214,343,200,76,74,4957,485,4704,481,80,58,73,57,7,27,173,85,156,81,17,30,178,82,107,59,0,27,0,27,0,27,71,62,70,63,1,24,2208,442,325,115,176,131,65,58,111,120,1707,379,870,307,837,268
9.2,Licton Springs,8315,423,6373,477,769,314,456,211,313,185,1173,314,509,184,664,224,2896,367,2536,382,142,130,142,130,0,17,218,115,169,101,49,58,3562,407,3277,358,160,125,126,124,34,30,125,89,87,75,38,47,295,126,261,118,9,19,9,19,0,17,25,41,12,22,13,23,1562,347,299,136,458,220,179,141,279,184,805,245,241,119,564,214
9.3,Greenwood/Phinney Ridge,22196,705,19637,703,684,304,490,234,194,122,1875,313,1285,248,590,176,8405,592,7877,582,185,105,185,105,0,29,343,107,307,111,36,46,10999,676,10556,667,178,118,131,110,47,51,265,127,242,126,23,38,465,141,352,109,0,29,0,29,0,29,113,91,101,81,12,61,2327,364,852,212,321,191,174,139,147,113,1154,239,635,157,519,139
9.4,Green Lake,13131,597,11225,618,445,193,343,178,102,71,1461,294,1124,264,337,135,5017,473,4541,472,187,112,146,105,41,39,289,108,262,104,27,36,6402,559,5998,567,114,87,75,78,39,40,290,114,269,113,21,30,220,136,176,116,44,73,44,73,0,24,0,24,0,24,0,24,1492,266,510,178,100,72,78,64,22,37,882,204,593,160,289,131
9.5,Haller Lake,9202,414,6797,490,423,277,204,129,219,185,1982,423,1316,384,666,196,3475,443,3081,413,120,119,44,67,76,100,274,133,227,128,47,43,3479,376,3279,369,47,42,47,42,0,21,153,109,153,109,0,21,75,55,75,55,0,21,0,21,0,21,0,21,0,21,0,21,2173,403,362,138,256,247,113,109,143,145,1555,312,936,287,619,178
10.1,North Beach/Blue Ridge,10959,453,9569,412,578,299,420,180,158,149,812,197,533,170,279,108,4982,432,4715,424,102,80,89,76,13,29,165,100,127,96,38,32,4498,380,4304,371,121,73,108,71,13,25,73,49,73,49,0,21,234,100,178,86,17,32,0,21,17,32,39,48,12,25,27,46,1245,375,372,119,338,288,223,150,115,146,535,156,321,128,214,99
10.2,Whittier Heights,10903,426,9777,453,373,190,288,132,85,112,753,213,523,162,230,130,4142,451,3888,431,102,82,102,82,0,24,152,91,75,66,77,62,5831,457,5428,438,212,155,144,93,68,108,191,100,178,97,13,28,167,73,109,57,22,27,22,27,0,24,36,43,36,43,0,24,763,189,352,116,37,59,20,35,17,32,374,143,234,112,140,117
10.3,Sunset Hill/Loyal Heights,12999,565,11704,563,259,134,210,125,49,45,1036,285,771,262,265,128,5705,588,5353,560,67,55,51,51,16,32,285,136,253,131,32,38,5949,496,5745,469,112,97,112,97,0,24,92,53,59,43,33,33,132,78,83,54,35,58,35,58,0,24,14,26,14,26,0,24,1213,250,523,162,45,41,12,25,33,40,645,189,445,153,200,120
10.4,Ballard,6909,509,5746,493,225,185,133,144,92,106,938,431,786,397,152,118,2229,378,2083,368,0,17,0,17,0,17,146,110,91,99,55,68,3563,419,3312,414,152,149,133,144,19,30,99,76,91,78,8,17,173,106,173,106,0,17,0,17,0,17,0,17,0,17,0,17,944,401,178,114,73,99,0,17,73,99,693,377,604,351,89,87
11.1,Fremont,14884,517,13209,522,448,153,378,137,70,64,1227,286,1014,259,213,106,4967,534,4721,516,20,31,20,31,0,24,226,123,195,113,31,54,7985,565,7617,561,252,95,221,95,31,39,116,71,79,59,37,42,457,160,350,138,51,70,51,70,0,24,56,47,56,47,0,24,1475,296,521,177,125,77,86,66,39,42,829,219,684,200,145,87
11.2,Wallingford,15650,891,13503,875,414,187,361,178,53,45,1733,324,1266,251,467,184,5623,567,5279,565,73,64,45,48,28,39,271,123,246,123,25,33,8041,637,7344,597,202,116,179,113,23,34,495,150,405,136,90,61,338,174,275,112,0,27,0,27,0,27,63,85,63,85,0,27,1648,295,605,174,139,97,137,96,2,21,904,243,552,162,352,168
11.3,Cascade/Eastlake,12163,778,10014,789,389,151,313,138,76,67,1760,359,1225,303,535,197,3048,500,2801,483,73,99,73,99,0,21,174,79,149,83,25,42,6577,629,6220,615,141,85,97,69,44,51,216,104,198,100,18,33,296,124,250,114,46,44,46,44,0,21,0,21,0,21,0,21,2242,536,743,441,129,86,97,75,32,46,1370,334,878,279,492,189
12.1,Magnolia,11782,591,10226,564,360,207,306,191,54,69,1196,301,991,274,205,100,4808,484,4446,491,95,75,95,75,0,24,267,139,221,117,46,58,5177,475,4838,411,147,146,147,146,0,24,192,114,171,110,21,36,295,130,243,121,0,24,0,24,0,24,52,49,52,49,0,24,1502,277,699,202,118,101,64,68,54,69,685,170,547,160,138,77
12.2,Interbay,9607,481,8082,489,331,163,254,144,77,63,1194,389,774,249,420,220,2950,394,2813,402,43,36,32,32,11,22,94,90,94,90,0,21,5104,420,4737,423,131,86,121,85,10,20,236,114,225,112,11,28,193,106,142,91,15,32,15,32,0,21,36,43,36,43,0,21,1360,384,390,149,142,93,86,71,56,59,828,346,419,186,409,219
12.3,Queen Anne,35366,1110,31242,1131,918,300,684,251,234,151,3206,443,2575,396,631,183,12110,945,11522,926,182,106,155,103,27,43,406,148,332,132,74,73,18725,938,17679,914,438,158,418,152,20,41,608,158,517,148,91,62,844,212,679,190,13,42,13,42,0,40,152,84,139,82,13,41,3687,469,1362,261,285,175,98,100,187,146,2040,382,1587,332,453,161
13.1,Belltown,8101,564,6598,478,289,154,225,136,64,73,1214,377,865,266,349,264,1754,354,1603,357,41,41,27,33,14,29,110,79,88,70,22,38,4597,442,4334,432,136,92,124,89,12,22,127,80,127,80,0,21,205,115,120,82,28,39,28,39,0,21,57,67,57,67,0,21,1545,384,541,171,84,97,46,73,38,66,920,341,593,222,327,261
