area_id,area_name,b01001e001,b01001e001_moe,b01001e002,b01001e002_moe,b01001e003,b01001e003_moe,b01001e004,b01001e004_moe,b01001e005,b01001e005_moe,b01001e006,b01001e006_moe,b01001e007,b01001e007_moe,b01001e008,b01001e008_moe,b01001e009,b01001e009_moe,b01001e010,b01001e010_moe,b01001e011,b01001e011_moe,b01001e012,b01001e012_moe,b01001e013,b01001e013_moe,b01001e014,b01001e014_moe,b01001e015,b01001e015_moe,b01001e016,b01001e016_moe,b01001e017,b01001e017_moe,b01001e018,b01001e018_moe,b01001e019,b01001e019_moe,b01001e020,b01001e020_moe,b01001e021,b01001e021_moe,b01001e022,b01001e022_moe,b01001e023,b01001e023_moe,b01001e024,b01001e024_moe,b01001e025,b01001e025_moe,b01001e026,b01001e026_moe,b01001e027,b01001e027_moe,b01001e028,b01001e028_moe,b01001e029,b01001e029_moe,b01001e030,b01001e030_moe,b01001e031,b01001e031_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,22,56,15,41,0,24,0,24,0,24,0,24,0,24,0,24,0,24,8,26,0,24,0,24,7,24,0,24,0,24,0,24,7,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,7,23,0,24,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17
2.3,Riverview,59,53,32,28,0,12,11,18,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,0,12,11,16,0,12,0,12,27,45,0,12,0,12,11,18,16,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,134,117,99,98,0,21,12,29,0,21,0,21,0,21,0,21,12,25,54,84,0,21,0,21,21,33,0,21,0,21,0,21,35,44,0,21,0,21,0,21,0,21,0,21,0,21,0,21,13,26,0,21,11,27,11,24,0,21,0,21,0,21
2.5,Highland Park,60,123,33,79,0,21,0,21,7,21,0,21,0,21,10,26,0,21,8,22,0,21,0,21,8,23,0,21,0,21,0,21,27,48,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,10,25,0,21,17,30,0,21,0,21,0,21
3.1,South Park,214,219,95,109,0,17,32,55,13,27,0,17,8,21,0,17,0,17,18,33,0,17,0,17,15,28,9,21,0,17,0,17,119,114,0,17,17,30,24,34,21,40,0,17,0,17,0,17,19,32,0,17,28,42,10,21,0,17,0,17,0,17
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,140,149,54,81,0,24,0,24,0,24,0,24,0,24,54,81,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,86,98,0,24,0,24,0,24,0,24,0,24,0,24,32,50,0,24,0,24,23,40,0,24,0,24,31,57,0,24
3.5,Beacon Hill,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,143,153,94,98,0,24,0,24,0,24,0,24,22,37,0,24,0,24,0,24,44,71,28,43,0,24,0,24,0,24,0,24,49,72,0,24,0,24,0,24,0,24,0,24,25,42,0,24,0,24,0,24,24,40,0,24,0,24,0,24,0,24
4.1,Rainier Beach,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,334,353,120,130,10,33,0,27,0,27,0,27,0,27,0,27,0,27,13,37,0,27,0,27,28,48,69,84,0,27,0,27,214,236,24,63,24,64,0,27,0,27,35,59,0,27,42,69,13,39,0,27,34,57,42,65,0,27,0,27,0,27
4.3,Seward Park,19,35,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,19,35,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,19,0,17,0,17,0,17,11,22,0,17,0,17
4.4,Mt. Baker/North Rainier,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
