area_id,area_name,b18101d001,b18101d001_moe,b18101d002,b18101d002_moe,b18101d003,b18101d003_moe,b18101d004,b18101d004_moe,b18101d005,b18101d005_moe,b18101d006,b18101d006_moe,b18101d007,b18101d007_moe,b18101d008,b18101d008_moe,b18101d009,b18101d009_moe,b18101d010,b18101d010_moe
1.1,Arbor Heights,424,142,77,63,0,17,77,63,225,103,0,17,225,103,122,74,0,17,122,74
1.2,Fauntleroy/Seaview,558,167,60,54,0,24,60,54,434,140,26,45,408,123,64,53,28,34,36,42
1.3,West Seattle Junction/Genesee Hill,808,235,221,118,0,29,221,118,550,165,0,29,550,165,37,34,17,28,20,35
1.4,Alki/Admiral,481,168,24,32,0,24,24,32,379,139,0,24,379,139,78,72,22,33,56,51
2.1,North Delridge,524,281,96,99,0,12,96,99,344,170,24,33,320,172,84,64,40,51,44,43
2.2,High Point,1332,293,232,127,0,17,232,127,935,237,247,157,688,173,165,93,48,47,117,75
2.3,Riverview,997,224,215,94,13,22,202,87,665,144,13,19,652,141,117,54,28,25,89,49
2.4,Roxhill/Westwood,1455,347,257,121,0,21,257,121,993,267,27,30,966,267,205,118,25,29,180,114
2.5,Highland Park,1238,373,414,198,0,21,414,198,731,237,19,40,712,219,93,62,37,43,56,49
3.1,South Park,738,225,183,93,10,20,173,87,469,136,16,28,453,134,86,51,36,34,50,53
3.2,Georgetown,156,100,63,38,0,12,63,38,70,56,0,12,70,56,23,16,0,12,23,16
3.3,Duwamish/SODO,522,140,74,69,0,12,74,69,313,84,6,12,307,82,135,68,69,48,66,38
3.4,South Beacon Hill/NewHolly,7652,972,1874,380,5,20,1869,380,4942,670,380,159,4562,646,836,182,348,116,488,130
3.5,Beacon Hill,5919,780,976,253,11,22,965,253,3919,595,208,108,3711,572,1024,184,325,124,699,166
3.6,North Beacon Hill/Jefferson Park,5731,591,898,248,32,35,866,243,3527,478,204,111,3323,469,1306,207,582,148,724,192
4.1,Rainier Beach,4281,737,863,307,0,27,863,307,2737,473,250,146,2487,442,681,183,327,114,354,127
4.2,Columbia City,4530,586,850,222,74,51,776,219,3190,468,218,118,2972,467,490,146,198,86,292,114
4.3,Seward Park,1707,232,272,96,9,18,263,95,1093,185,66,51,1027,172,342,90,138,67,204,80
4.4,Mt. Baker/North Rainier,842,155,189,134,0,17,189,134,510,93,20,27,490,92,143,78,106,69,37,32
5.1,Madrona/Leschi,704,163,129,81,15,25,114,74,500,130,0,21,500,130,75,53,31,40,44,39
5.2,Judkins Park,989,231,65,57,0,12,65,57,555,165,20,18,535,168,369,81,174,81,195,56
5.3,Central Area/Squire Park,1107,306,51,53,0,24,51,53,970,269,31,51,939,257,86,77,24,35,62,64
6.1,First Hill,2055,359,89,68,0,24,89,68,1638,321,84,54,1554,322,328,95,169,67,159,68
6.2,Capitol Hill,1563,396,73,99,0,29,73,99,1358,318,112,85,1246,310,132,108,22,36,110,103
6.3,North Capitol Hill,250,119,16,25,0,12,16,25,234,117,0,12,234,117,0,12,0,12,0,12
6.4,Miller Park,429,122,34,29,0,17,34,29,347,104,19,25,328,98,48,47,5,14,43,46
6.5,Madison Park,237,140,10,16,0,17,10,16,163,94,0,17,163,94,64,90,0,17,64,90
7.1,Montlake/Portage Bay,504,145,53,48,0,21,53,48,422,138,0,21,422,138,29,28,21,25,8,21
7.2,University District,4703,623,37,57,0,29,37,57,4644,618,153,104,4491,626,22,31,14,33,8,27
7.3,Ravenna/Bryant,2613,555,213,95,0,32,213,95,2218,530,8,33,2210,531,182,86,43,55,139,72
7.4,Wedgwood/View Ridge,1817,287,350,116,0,27,350,116,1288,231,8,28,1280,231,179,100,0,27,179,100
7.5,Laurelhurst/Sand Point,1356,386,209,117,0,21,209,117,982,295,0,21,982,295,165,89,39,39,126,72
8.1,Northgate/Maple Leaf,2216,412,211,142,0,24,211,142,1807,328,108,69,1699,324,198,74,63,49,135,86
8.2,Olympic Hills/Victory Heights,2410,516,233,114,0,24,233,114,1847,434,29,32,1818,428,330,128,118,94,212,104
8.3,Cedar Park/Meadowbrook,1289,273,200,119,3,25,197,118,973,213,86,52,887,206,116,75,41,38,75,60
9.1,Broadview/Bitter Lake,1208,331,137,81,0,27,137,81,884,272,26,38,858,265,187,89,51,56,136,73
9.2,Licton Springs,1403,316,62,61,0,17,62,61,1159,272,38,33,1121,266,182,75,99,52,83,62
9.3,Greenwood/Phinney Ridge,1686,279,166,94,0,29,166,94,1353,240,93,73,1260,251,167,93,78,59,89,74
9.4,Green Lake,1054,250,66,44,0,24,66,44,859,220,24,41,835,217,129,84,42,55,87,67
9.5,Haller Lake,1416,279,238,108,0,21,238,108,1021,194,45,43,976,198,157,73,38,33,119,64
10.1,North Beach/Blue Ridge,510,157,57,42,0,21,57,42,362,108,24,36,338,108,91,64,0,21,91,64
10.2,Whittier Heights,469,146,61,59,0,24,61,59,358,111,26,32,332,112,50,44,20,33,30,34
10.3,Sunset Hill/Loyal Heights,563,146,30,38,0,24,30,38,502,139,0,24,502,139,31,52,0,24,31,52
10.4,Ballard,579,254,17,26,0,17,17,26,505,227,0,17,505,227,57,53,0,17,57,53
11.1,Fremont,834,216,35,55,0,24,35,55,740,196,0,24,740,196,59,37,18,28,41,30
11.2,Wallingford,1725,357,74,55,0,27,74,55,1591,330,17,34,1574,322,60,54,27,33,33,42
11.3,Cascade/Eastlake,2006,497,21,39,0,21,21,39,1859,490,119,148,1740,401,126,79,26,34,100,88
12.1,Magnolia,713,217,153,127,0,24,153,127,440,166,0,24,440,166,120,69,43,57,77,57
12.2,Interbay,592,241,73,80,0,21,73,80,438,214,77,67,361,214,81,95,17,33,64,89
12.3,Queen Anne,2924,438,221,128,0,40,221,128,2508,417,105,123,2403,404,195,123,67,75,128,109
13.1,Belltown,895,330,0,21,0,21,0,21,831,328,38,48,793,325,64,45,0,21,64,45
13.2,Downtown Commercial Core,336,172,7,16,0,12,7,16,236,138,44,50,192,129,93,89,38,60,55,76
13.3,Pioneer Square/International District,2431,375,319,226,0,17,319,226,1235,192,60,39,1175,192,877,186,514,144,363,127
