area_id,area_name,b17016001,b17016001_moe,b17016002,b17016002_moe,b17016003,b17016003_moe,b17016004,b17016004_moe,b17016005,b17016005_moe,b17016006,b17016006_moe,b17016007,b17016007_moe,b17016008,b17016008_moe,b17016009,b17016009_moe,b17016010,b17016010_moe,b17016011,b17016011_moe,b17016012,b17016012_moe,b17016013,b17016013_moe,b17016014,b17016014_moe,b17016015,b17016015_moe,b17016016,b17016016_moe,b17016017,b17016017_moe,b17016018,b17016018_moe,b17016019,b17016019_moe,b17016020,b17016020_moe,b17016021,b17016021_moe,b17016022,b17016022_moe,b17016023,b17016023_moe,b17016024,b17016024_moe,b17016025,b17016025_moe,b17016026,b17016026_moe,b17016027,b17016027_moe,b17016028,b17016028_moe,b17016029,b17016029_moe,b17016030,b17016030_moe,b17016031,b17016031_moe,b17016032,b17016032_moe,b17016033,b17016033_moe,b17016034,b17016034_moe,b17016035,b17016035_moe,b17016036,b17016036_moe,b17016037,b17016037_moe,b17016038,b17016038_moe,b17016039,b17016039_moe,b17016040,b17016040_moe,b17016041,b17016041_moe,b17016042,b17016042_moe,b17016043,b17016043_moe,b17016044,b17016044_moe,b17016045,b17016045_moe,b17016046,b17016046_moe,b17016047,b17016047_moe
1.1,Arbor Heights,1585,134,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1585,134,1344,146,754,126,410,105,305,98,39,33,245,80,131,56,72,47,42,43,345,84,97,60,16,17,232,60,241,88,72,47,56,44,10,18,6,16,169,72,65,47,73,47,31,32
1.2,Fauntleroy/Seaview,3390,270,66,53,66,53,27,36,14,29,0,24,13,27,39,38,11,25,0,24,28,37,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,3324,271,2703,271,1679,242,1098,228,431,111,150,85,585,158,422,142,163,80,0,24,439,121,207,93,15,29,217,86,621,167,74,52,34,31,40,40,0,24,547,165,249,130,200,85,98,57
1.3,West Seattle Junction/Genesee Hill,4165,272,149,92,68,50,28,41,28,41,0,29,0,29,0,29,0,29,0,29,0,29,40,39,0,29,0,29,40,39,81,80,19,39,19,39,0,29,0,29,62,72,0,29,11,30,51,72,4016,285,3213,254,2085,241,1115,193,705,170,265,100,640,153,299,103,216,81,125,85,488,131,232,95,31,38,225,94,803,204,178,84,123,69,0,29,55,44,625,184,389,150,152,81,84,90
1.4,Alki/Admiral,2475,222,87,64,68,52,16,31,0,24,16,31,0,24,41,46,41,46,0,24,0,24,11,23,0,24,0,24,11,23,19,34,0,24,0,24,0,24,0,24,19,34,0,24,0,24,19,34,2388,226,2116,214,1153,189,634,166,309,108,210,105,487,149,165,91,207,91,115,68,476,129,99,69,57,48,320,109,272,124,119,102,88,94,0,24,31,43,153,69,80,47,54,53,19,33
2.1,North Delridge,979,163,32,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,35,15,24,0,12,0,12,15,24,17,26,0,12,0,12,17,26,947,159,740,153,311,133,175,89,91,87,45,50,347,135,218,134,110,75,19,33,82,51,51,41,16,27,15,23,207,97,98,68,98,68,0,12,0,12,109,67,76,57,33,40,0,12
2.2,High Point,1514,206,394,139,75,71,9,22,0,17,0,17,9,22,58,70,52,65,0,17,6,18,8,18,8,18,0,17,0,17,319,143,0,17,0,17,0,17,0,17,319,143,37,45,103,106,179,96,1120,183,743,143,452,123,219,105,146,76,87,49,216,104,70,48,111,89,35,35,75,53,26,35,6,17,43,41,377,145,42,38,35,38,7,17,0,17,335,139,150,79,131,116,54,45
2.3,Riverview,1096,109,81,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,81,70,0,12,0,12,0,12,0,12,81,70,0,12,56,61,25,29,1015,101,638,110,421,96,195,69,185,73,41,31,127,64,77,52,50,36,0,12,90,59,43,51,8,15,39,26,377,95,146,82,89,61,0,12,57,72,231,84,129,67,43,38,59,41
2.4,Roxhill/Westwood,2961,229,354,129,239,108,116,77,0,21,0,21,116,77,30,38,0,21,11,27,19,34,93,75,0,21,37,46,56,59,115,77,17,32,0,21,0,21,17,32,98,73,20,36,40,52,38,48,2607,251,1792,240,1051,162,563,133,257,101,231,79,383,118,233,96,108,61,42,43,358,129,144,90,123,89,91,57,815,195,339,155,297,150,38,42,4,19,476,129,264,108,135,88,77,47
2.5,Highland Park,1348,186,31,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,31,28,14,26,0,21,14,26,0,21,17,30,0,21,17,30,0,21,1317,189,979,190,445,145,176,79,209,116,60,50,308,108,217,105,72,56,19,31,226,91,71,55,65,49,90,51,338,132,87,65,68,59,19,31,0,21,251,111,147,74,86,77,18,31
3.1,South Park,823,106,144,83,22,30,0,17,0,17,0,17,0,17,7,16,0,17,0,17,7,16,15,29,0,17,15,29,0,17,122,78,19,30,0,17,0,17,19,30,103,75,0,17,59,56,44,48,679,122,472,117,248,97,125,67,47,32,76,60,190,77,124,58,16,22,50,46,34,44,29,43,0,17,5,14,207,86,79,58,25,28,28,35,26,44,128,76,74,62,40,43,14,26
3.2,Georgetown,190,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,190,74,162,67,82,43,61,39,21,26,0,12,41,31,41,31,0,12,0,12,39,45,30,44,0,12,9,12,28,30,28,30,10,17,18,24,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,317,99,13,16,7,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,7,11,6,10,0,12,0,12,0,12,0,12,6,10,0,12,0,12,6,10,304,96,229,83,189,85,98,47,85,83,6,12,16,21,9,15,7,14,0,12,24,22,5,8,0,12,19,20,75,53,0,12,0,12,0,12,0,12,75,53,62,52,0,12,13,24
3.4,South Beacon Hill/NewHolly,3415,239,684,192,343,131,74,71,0,24,38,60,36,44,127,93,39,40,27,46,61,78,142,85,8,26,10,25,124,83,341,138,84,69,53,65,21,26,10,23,257,127,37,62,157,107,63,47,2731,227,1781,211,940,196,550,150,182,97,208,93,495,144,221,101,179,99,95,51,346,104,165,80,78,45,103,54,950,212,315,124,172,84,128,93,15,27,635,182,386,149,128,86,121,59
3.5,Beacon Hill,1954,193,54,50,7,21,0,17,0,17,0,17,0,17,6,16,0,17,0,17,6,16,1,18,1,18,0,17,0,17,47,48,0,17,0,17,0,17,0,17,47,48,0,17,19,33,28,36,1900,191,1430,189,900,177,423,154,213,104,264,111,246,107,95,74,104,64,47,42,284,113,101,86,6,16,177,71,470,142,187,91,97,57,54,75,36,36,283,118,155,96,32,43,96,75
3.6,North Beacon Hill/Jefferson Park,3324,252,335,134,105,67,15,29,0,24,0,24,15,29,0,24,0,24,0,24,0,24,90,63,0,24,14,27,76,60,230,111,27,35,0,24,15,30,12,30,203,104,64,54,49,64,90,83,2989,263,2067,265,1124,206,611,157,349,138,164,90,585,195,347,148,218,126,20,27,358,142,107,88,28,37,223,115,922,239,326,133,177,104,145,82,4,25,596,223,271,137,246,175,79,61
4.1,Rainier Beach,3431,277,470,175,193,120,54,64,0,27,0,27,54,64,47,65,0,27,36,61,11,29,92,86,0,27,0,27,92,86,277,137,50,48,18,36,32,39,0,27,227,133,37,64,33,53,157,101,2961,291,1650,259,850,189,581,170,142,77,127,75,404,137,164,98,130,78,110,72,396,152,67,65,127,107,202,71,1311,279,354,159,103,75,169,138,82,70,957,234,588,207,182,113,187,92
4.2,Columbia City,3753,316,499,182,190,130,15,34,0,27,0,27,15,34,106,109,0,27,29,37,77,105,69,70,12,30,0,27,57,68,309,129,90,74,19,37,53,64,18,27,219,110,80,78,37,35,102,74,3254,318,2428,304,1340,233,721,186,402,145,217,89,606,190,365,158,157,74,84,79,482,155,163,114,61,53,258,96,826,204,130,67,61,45,46,47,23,32,696,191,362,143,89,64,245,122
4.3,Seward Park,2162,160,143,89,100,77,0,17,0,17,0,17,0,17,17,21,0,17,11,21,6,18,83,74,0,17,62,67,21,35,43,48,10,19,0,17,0,17,10,19,33,45,0,17,0,17,33,45,2019,156,1552,149,934,142,449,117,298,114,187,76,333,93,144,63,115,55,74,51,285,70,92,49,45,41,148,54,467,119,186,87,126,71,54,57,6,16,281,97,182,78,67,54,32,25
