area_id,area_name,c21001d001,c21001d001_moe,c21001d002,c21001d002_moe,c21001d003,c21001d003_moe,c21001d004,c21001d004_moe,c21001d005,c21001d005_moe,c21001d006,c21001d006_moe,c21001d007,c21001d007_moe,c21001d008,c21001d008_moe,c21001d009,c21001d009_moe,c21001d010,c21001d010_moe,c21001d011,c21001d011_moe,c21001d012,c21001d012_moe,c21001d013,c21001d013_moe,c21001d014,c21001d014_moe,c21001d015,c21001d015_moe
1.1,Arbor Heights,347,121,102,57,66,48,29,40,37,31,36,28,0,17,36,28,245,101,159,80,0,17,159,80,86,66,0,17,86,66
1.2,Fauntleroy/Seaview,498,141,128,62,94,59,8,23,86,58,34,31,24,27,10,23,370,108,340,109,0,24,340,109,30,27,0,24,30,27
1.3,West Seattle Junction/Genesee Hill,625,171,219,95,194,95,12,31,182,92,25,27,13,24,12,21,406,134,360,125,0,29,360,125,46,35,0,29,46,35
1.4,Alki/Admiral,462,154,148,99,130,96,0,24,130,96,18,32,0,24,18,32,314,105,249,94,0,24,249,94,65,52,0,24,65,52
2.1,North Delridge,428,206,162,98,129,90,46,46,83,68,33,38,0,12,33,38,266,138,215,109,16,27,199,96,51,54,0,12,51,54
2.2,High Point,1100,250,435,137,373,132,46,73,327,122,62,52,0,17,62,52,665,198,562,182,0,17,562,182,103,73,0,17,103,73
2.3,Riverview,782,160,385,92,313,91,0,12,313,91,72,41,0,12,72,41,397,89,352,85,0,12,352,85,45,25,0,12,45,25
2.4,Roxhill/Westwood,1198,287,503,153,377,141,0,21,377,141,126,73,0,21,126,73,695,155,616,154,0,21,616,154,79,60,0,21,79,60
2.5,Highland Park,824,235,423,134,381,135,7,18,374,133,42,35,0,21,42,35,401,130,350,126,0,21,350,126,51,49,0,21,51,49
3.1,South Park,574,173,249,120,190,77,9,18,181,75,59,57,0,17,59,57,325,98,279,79,0,17,279,79,46,40,0,17,46,40
3.2,Georgetown,93,64,39,26,29,22,15,19,14,10,10,7,0,12,10,7,54,39,41,35,0,12,41,35,13,9,0,12,13,9
3.3,Duwamish/SODO,448,116,179,55,111,37,0,12,111,37,68,40,28,26,40,37,269,83,202,63,0,12,202,63,67,43,0,12,67,43
3.4,South Beacon Hill/NewHolly,5778,699,2815,388,2455,382,81,52,2374,392,360,109,52,41,308,106,2963,401,2487,375,14,32,2473,374,476,116,0,24,476,116
