area_id,area_name,b10051a001,b10051a001_moe,b10051a002,b10051a002_moe,b10051a003,b10051a003_moe,b10051a004,b10051a004_moe,b10051a005,b10051a005_moe,b10051a006,b10051a006_moe,b10051a007,b10051a007_moe
1.1,Arbor Heights,38,37,17,30,17,30,0,17,21,28,0,17,21,28
1.2,Fauntleroy/Seaview,167,112,65,57,31,43,34,43,102,76,60,47,42,39
1.3,West Seattle Junction/Genesee Hill,60,56,0,29,0,29,0,29,60,56,0,29,60,56
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,56,84,0,12,0,12,0,12,56,84,0,12,56,84
2.2,High Point,14,28,0,17,0,17,0,17,14,28,0,17,14,28
2.3,Riverview,39,33,12,18,12,18,0,12,27,29,0,12,27,29
2.4,Roxhill/Westwood,137,79,57,55,26,31,31,35,80,66,65,54,15,28
2.5,Highland Park,13,50,4,43,4,43,0,21,9,26,9,26,0,21
3.1,South Park,19,30,19,30,0,17,19,30,0,17,0,17,0,17
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,50,40,25,31,25,31,0,24,25,31,0,24,25,31
3.5,Beacon Hill,11,22,0,17,0,17,0,17,11,22,0,17,11,22
3.6,North Beacon Hill/Jefferson Park,11,25,11,25,0,24,11,25,0,24,0,24,0,24
4.1,Rainier Beach,17,35,0,27,0,27,0,27,17,35,0,27,17,35
4.2,Columbia City,37,41,25,44,0,27,25,44,12,28,0,27,12,28
4.3,Seward Park,36,32,14,23,14,23,0,17,22,25,0,17,22,25
4.4,Mt. Baker/North Rainier,47,58,31,52,31,52,0,17,16,25,0,17,16,25
5.1,Madrona/Leschi,0,21,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,11,27,8,26,8,26,0,24,3,22,3,22,0,24
6.1,First Hill,34,45,23,43,23,43,0,24,11,26,0,24,11,26
6.2,Capitol Hill,0,29,0,29,0,29,0,29,0,29,0,29,0,29
6.3,North Capitol Hill,17,26,17,26,0,12,17,26,0,12,0,12,0,12
6.4,Miller Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,18,34,18,34,0,21,18,34,0,21,0,21,0,21
7.2,University District,0,29,0,29,0,29,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,33,38,0,32,0,32,0,32,33,38,13,33,20,37
7.4,Wedgwood/View Ridge,100,88,19,35,19,35,0,27,81,75,55,65,26,46
7.5,Laurelhurst/Sand Point,71,69,10,22,10,22,0,21,61,65,0,21,61,65
8.1,Northgate/Maple Leaf,74,61,31,46,27,47,4,22,43,44,4,19,39,46
8.2,Olympic Hills/Victory Heights,152,113,12,29,0,24,12,29,140,111,87,98,53,48
8.3,Cedar Park/Meadowbrook,95,91,16,34,0,27,16,34,79,89,46,77,33,53
9.1,Broadview/Bitter Lake,31,44,0,27,0,27,0,27,31,44,0,27,31,44
9.2,Licton Springs,0,17,0,17,0,17,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,120,79,25,47,13,33,12,33,95,71,60,61,35,38
9.4,Green Lake,55,51,14,30,14,30,0,24,41,51,0,24,41,51
9.5,Haller Lake,124,133,16,33,0,21,16,33,108,130,84,128,24,28
10.1,North Beach/Blue Ridge,61,69,61,69,0,21,61,69,0,21,0,21,0,21
10.2,Whittier Heights,25,45,25,45,25,45,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,121,79,13,27,0,24,13,27,108,76,48,57,60,50
10.4,Ballard,15,25,15,25,0,17,15,25,0,17,0,17,0,17
11.1,Fremont,0,24,0,24,0,24,0,24,0,24,0,24,0,24
11.2,Wallingford,0,27,0,27,0,27,0,27,0,27,0,27,0,27
11.3,Cascade/Eastlake,8,21,0,21,0,21,0,21,8,21,0,21,8,21
12.1,Magnolia,26,43,0,24,0,24,0,24,26,43,0,24,26,43
12.2,Interbay,94,124,43,63,0,21,43,63,51,63,0,21,51,63
12.3,Queen Anne,91,70,12,43,0,40,12,43,79,67,0,40,79,67
13.1,Belltown,0,21,0,21,0,21,0,21,0,21,0,21,0,21
13.2,Downtown Commercial Core,0,12,0,12,0,12,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,0,17,0,17,0,17,0,17,0,17,0,17,0,17
