area_id,area_name,b07013001,b07013001_moe,b07013002,b07013002_moe,b07013003,b07013003_moe,b07013004,b07013004_moe,b07013005,b07013005_moe,b07013006,b07013006_moe,b07013007,b07013007_moe,b07013008,b07013008_moe,b07013009,b07013009_moe,b07013010,b07013010_moe,b07013011,b07013011_moe,b07013012,b07013012_moe,b07013013,b07013013_moe,b07013014,b07013014_moe,b07013015,b07013015_moe,b07013016,b07013016_moe,b07013017,b07013017_moe,b07013018,b07013018_moe
10.3,Sunset Hill/Loyal Heights,13652,593,9450,555,4202,561,11530,541,8731,549,2799,392,1749,483,541,204,1208,435,144,102,39,42,105,97,128,93,68,77,60,52,101,86,71,78,30,38
10.4,Ballard,6947,521,1667,336,5280,647,4699,438,1371,290,3328,510,1466,450,237,183,1229,436,234,178,10,17,224,179,441,143,49,60,392,137,107,128,0,17,107,128
11.1,Fremont,15202,537,6639,577,8563,620,11346,553,6010,509,5336,538,2463,391,446,213,2017,354,300,132,59,71,241,115,839,282,26,32,813,281,254,117,98,72,156,98
11.2,Wallingford,15931,888,6802,476,9129,934,10926,608,6324,447,4602,560,3804,668,349,166,3455,673,374,146,45,44,329,145,756,298,66,46,690,294,71,57,18,29,53,56
11.3,Cascade/Eastlake,11876,784,1503,301,10373,773,7145,678,1240,277,5905,649,2480,497,203,98,2277,495,242,143,0,21,242,143,1861,508,60,64,1801,502,148,101,0,21,148,101
12.1,Magnolia,12347,608,9721,607,2626,617,10480,626,8941,582,1539,584,1172,329,732,325,440,172,42,71,0,24,42,71,602,385,14,29,588,384,51,52,34,44,17,31
12.2,Interbay,9633,509,4497,418,5136,600,7135,549,4124,399,3011,524,1668,415,360,195,1308,355,106,101,0,21,106,101,681,338,13,29,668,337,43,61,0,21,43,61
12.3,Queen Anne,34345,1041,15771,823,18574,1120,25352,1067,14638,803,10714,919,5580,777,829,237,4751,746,802,284,159,134,643,254,2234,451,133,83,2101,444,377,167,12,42,365,166
13.1,Belltown,7984,560,2197,406,5787,546,5275,579,1955,402,3320,533,1156,308,149,109,1007,296,253,162,23,39,230,159,1178,259,44,54,1134,259,122,109,26,43,96,101
13.2,Downtown Commercial Core,3086,268,673,171,2413,257,2107,229,642,170,1465,222,459,209,31,36,428,207,35,40,0,12,35,40,361,216,0,12,361,216,124,93,0,12,124,93
13.3,Pioneer Square/International District,4853,516,233,136,4620,498,3852,521,173,120,3679,505,686,193,60,59,626,180,89,71,0,17,89,71,185,90,0,17,185,90,41,35,0,17,41,35
