area_id,area_name,b19301e001,b19301e001_moe
1.4,Alki/Admiral,44232,18395
2.3,Riverview,22825,25819
2.4,Roxhill/Westwood,25535,17209
2.5,Highland Park,30495,9399
3.1,South Park,13936,6474
3.4,South Beacon Hill/NewHolly,15065,437
3.6,North Beacon Hill/Jefferson Park,33286,3894
4.2,Columbia City,35409,15734
6.1,First Hill,6791,6071
8.2,Olympic Hills/Victory Heights,2981,902
9.5,Haller Lake,36373,18886
10.1,North Beach/Blue Ridge,3357,531
13.2,Downtown Commercial Core,5982,6396
