area_id,area_name,c27001i001,c27001i001_moe,c27001i002,c27001i002_moe,c27001i003,c27001i003_moe,c27001i004,c27001i004_moe,c27001i005,c27001i005_moe,c27001i006,c27001i006_moe,c27001i007,c27001i007_moe,c27001i008,c27001i008_moe,c27001i009,c27001i009_moe,c27001i010,c27001i010_moe
1.1,Arbor Heights,340,185,94,72,94,72,0,17,246,140,162,110,84,96,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,684,297,274,177,163,100,111,149,392,149,254,101,138,104,18,34,18,34,0,24
1.3,West Seattle Junction/Genesee Hill,623,253,94,81,94,81,0,29,498,216,466,215,32,55,31,38,31,38,0,29
1.4,Alki/Admiral,551,325,198,176,198,176,0,24,329,223,248,145,81,103,24,40,24,40,0,24
2.1,North Delridge,343,145,15,26,15,26,0,12,289,155,138,79,151,162,39,45,39,45,0,12
2.2,High Point,228,122,81,79,81,79,0,17,147,86,90,59,57,64,0,17,0,17,0,17
2.3,Riverview,284,176,72,68,41,45,31,50,204,118,140,73,64,67,8,13,8,13,0,12
2.4,Roxhill/Westwood,2831,666,975,343,888,324,87,65,1779,490,918,289,861,390,77,65,51,53,26,43
2.5,Highland Park,800,318,125,96,125,96,0,21,649,267,478,232,171,103,26,34,26,34,0,21
3.1,South Park,1929,592,774,318,685,330,89,72,1107,438,444,227,663,347,48,44,48,44,0,17
3.2,Georgetown,214,173,42,51,10,18,32,47,172,133,70,61,102,93,0,12,0,12,0,12
3.3,Duwamish/SODO,206,152,33,58,33,58,0,12,155,125,57,43,98,118,18,31,18,31,0,12
3.4,South Beacon Hill/NewHolly,467,220,232,146,232,146,0,24,221,115,195,106,26,31,14,29,14,29,0,24
3.5,Beacon Hill,386,337,116,122,116,122,0,17,254,197,165,105,89,118,16,58,16,58,0,17
3.6,North Beacon Hill/Jefferson Park,1448,569,457,248,350,214,107,145,945,395,199,162,746,346,46,62,46,62,0,24
4.1,Rainier Beach,1670,561,625,288,503,279,122,113,1033,355,574,246,459,318,12,32,12,32,0,27
4.2,Columbia City,1146,448,280,192,280,192,0,27,811,339,490,241,321,231,55,61,55,61,0,27
4.3,Seward Park,631,459,150,182,150,182,0,17,432,321,150,98,282,244,49,48,49,48,0,17
4.4,Mt. Baker/North Rainier,257,170,74,83,74,83,0,17,183,134,153,102,30,47,0,17,0,17,0,17
5.1,Madrona/Leschi,331,183,97,91,97,91,0,21,234,117,199,108,35,40,0,21,0,21,0,21
5.2,Judkins Park,156,172,0,12,0,12,0,12,156,172,29,27,127,171,0,12,0,12,0,12
5.3,Central Area/Squire Park,1113,315,290,145,270,140,20,41,801,210,562,149,239,116,22,40,22,40,0,24
6.1,First Hill,860,284,51,83,51,83,0,24,809,250,458,182,351,162,0,24,0,24,0,24
