area_id,area_name,b19013h001,b19013h001_moe
1.1,Arbor Heights,174310,28634
1.2,Fauntleroy/Seaview,187000,11077
1.3,West Seattle Junction/Genesee Hill,219184,16292
1.4,Alki/Admiral,149611,14796
2.1,North Delridge,77838,12766
2.2,High Point,142943,28279
2.3,Riverview,65231,10897
2.4,Roxhill/Westwood,188635,24185
2.5,Highland Park,52764,17875
3.1,South Park,42586,7875
3.2,Georgetown,29825,10988
3.3,Duwamish/SODO,60769,7316
3.4,South Beacon Hill/NewHolly,180398,32020
3.5,Beacon Hill,185856,60267
3.6,North Beacon Hill/Jefferson Park,222246,52079
4.1,Rainier Beach,143943,28169
4.2,Columbia City,233496,33070
4.3,Seward Park,196987,30695
4.4,Mt. Baker/North Rainier,123125,34474
5.1,Madrona/Leschi,261144,28967
5.2,Judkins Park,49583,18034
5.3,Central Area/Squire Park,298697,25000
6.1,First Hill,164304,17690
6.2,Capitol Hill,193552,21218
6.3,North Capitol Hill,86031,12894
6.4,Miller Park,189134,13190
6.5,Madison Park,108203,20138
7.1,Montlake/Portage Bay,191221,17871
7.2,University District,84771,55617
7.3,Ravenna/Bryant,482993,36381
7.4,Wedgwood/View Ridge,361264,33067
7.5,Laurelhurst/Sand Point,192841,31130
8.1,Northgate/Maple Leaf,185248,18364
8.2,Olympic Hills/Victory Heights,196637,34870
8.3,Cedar Park/Meadowbrook,278617,29247
9.1,Broadview/Bitter Lake,195346,19537
9.2,Licton Springs,135978,11875
9.3,Greenwood/Phinney Ridge,474283,38029
9.4,Green Lake,277619,29085
9.5,Haller Lake,128815,19242
10.1,North Beach/Blue Ridge,263044,23044
10.2,Whittier Heights,164572,9212
10.3,Sunset Hill/Loyal Heights,160656,25200
10.4,Ballard,63927,5670
11.1,Fremont,214662,16546
11.2,Wallingford,317580,38368
11.3,Cascade/Eastlake,167147,20075
12.1,Magnolia,228102,14668
12.2,Interbay,127511,12014
12.3,Queen Anne,558020,37044
13.1,Belltown,145025,23834
13.2,Downtown Commercial Core,52260,23315
13.3,Pioneer Square/International District,63514,9858
