area_id,area_name,b19025f001,b19025f001_moe
2.1,North Delridge,3403100,2439764
2.4,Roxhill/Westwood,4226400,3606049
3.1,South Park,1665300,2031732
3.5,Beacon Hill,3598800,5172135
4.2,Columbia City,2487200,3700640
6.1,First Hill,3140900,2476456
7.3,Ravenna/Bryant,368600,413148
8.1,Northgate/Maple Leaf,2794100,2758998
8.3,Cedar Park/Meadowbrook,10146200,6099326
9.1,Broadview/Bitter Lake,2060000,2118987
9.2,Licton Springs,3936200,3355018
9.3,Greenwood/Phinney Ridge,1576100,1484081
9.4,Green Lake,5677700,5321088
9.5,Haller Lake,6814100,6023681
11.3,Cascade/Eastlake,8097400,7772481
12.3,Queen Anne,5470300,4258971
13.2,Downtown Commercial Core,4017100,3971300
