area_id,area_name,b18101a001,b18101a001_moe,b18101a002,b18101a002_moe,b18101a003,b18101a003_moe,b18101a004,b18101a004_moe,b18101a005,b18101a005_moe,b18101a006,b18101a006_moe,b18101a007,b18101a007_moe,b18101a008,b18101a008_moe,b18101a009,b18101a009_moe,b18101a010,b18101a010_moe
1.1,Arbor Heights,5147,327,916,161,34,43,882,163,3547,222,208,81,3339,217,684,84,139,48,545,82
1.2,Fauntleroy/Seaview,12173,639,2071,311,0,24,2071,311,8498,505,499,159,7999,502,1604,156,472,140,1132,156
1.3,West Seattle Junction/Genesee Hill,15255,606,2712,319,34,37,2678,321,10525,468,572,205,9953,472,2018,200,848,174,1170,173
1.4,Alki/Admiral,9818,579,1463,289,48,49,1415,296,6610,424,358,153,6252,412,1745,250,423,145,1322,258
2.1,North Delridge,3356,446,444,177,0,12,444,177,2657,322,124,68,2533,316,255,66,51,40,204,67
2.2,High Point,2668,373,336,139,16,28,320,135,2152,349,139,80,2013,335,180,80,69,47,111,63
2.3,Riverview,2648,290,319,118,0,12,319,118,2121,239,134,70,1987,247,208,62,24,23,184,58
2.4,Roxhill/Westwood,8348,763,1426,403,44,38,1382,405,6099,573,454,179,5645,502,823,162,482,129,341,98
2.5,Highland Park,3555,424,498,176,0,21,498,176,2392,345,211,102,2181,329,665,173,291,138,374,116
3.1,South Park,2701,610,815,334,56,67,759,302,1786,453,143,77,1643,434,100,48,52,45,48,36
3.2,Georgetown,838,211,59,59,0,12,59,59,731,182,160,91,571,174,48,42,18,14,30,41
3.3,Duwamish/SODO,1219,264,10,13,0,12,10,13,1077,247,186,106,891,207,132,107,78,68,54,52
3.4,South Beacon Hill/NewHolly,2098,403,417,212,9,22,408,212,1299,248,117,59,1182,242,382,128,213,91,169,81
3.5,Beacon Hill,1845,367,156,85,0,17,156,85,1489,324,153,107,1336,283,200,104,6,18,194,105
3.6,North Beacon Hill/Jefferson Park,5123,638,827,294,46,59,781,268,4062,453,110,76,3952,454,234,116,78,58,156,105
4.1,Rainier Beach,4289,608,598,220,0,27,598,220,3136,467,380,145,2756,445,555,165,229,102,326,138
4.2,Columbia City,5933,662,1102,258,15,31,1087,258,4318,550,260,127,4058,521,513,133,248,101,265,101
4.3,Seward Park,4997,524,1071,244,12,22,1059,244,3420,360,134,85,3286,351,506,173,191,133,315,88
