area_id,area_name,b19313001,b19313001_moe
1.1,Arbor Heights,285921200,28794133
1.2,Fauntleroy/Seaview,743771300,65433507
1.3,West Seattle Junction/Genesee Hill,749874300,40354244
1.4,Alki/Admiral,655264600,68120967
2.1,North Delridge,209975900,22586426
2.2,High Point,170159400,23424237
2.3,Riverview,153496200,15116681
2.4,Roxhill/Westwood,382990000,21876665
2.5,Highland Park,161123100,17748612
3.1,South Park,78614500,16669051
3.2,Georgetown,29923800,6138809
3.3,Duwamish/SODO,72674500,9808485
3.4,South Beacon Hill/NewHolly,272548900,22247581
3.5,Beacon Hill,265789000,31204306
3.6,North Beacon Hill/Jefferson Park,367989400,24246867
4.1,Rainier Beach,366396900,34062013
4.2,Columbia City,473078100,46562881
4.3,Seward Park,353156700,27975370
4.4,Mt. Baker/North Rainier,291923900,32431070
5.1,Madrona/Leschi,706465000,112150030
5.2,Judkins Park,68980600,8578844
5.3,Central Area/Squire Park,666437700,47840310
6.1,First Hill,449829300,46812389
6.2,Capitol Hill,867396900,53081366
6.3,North Capitol Hill,299097000,52558464
6.4,Miller Park,394807400,37301646
6.5,Madison Park,463741700,80041022
7.1,Montlake/Portage Bay,566860900,44319310
7.2,University District,306387200,33622291
7.3,Ravenna/Bryant,1077030800,57865770
7.4,Wedgwood/View Ridge,728123000,50829196
7.5,Laurelhurst/Sand Point,701102400,97218331
8.1,Northgate/Maple Leaf,472044700,36254969
8.2,Olympic Hills/Victory Heights,492282000,32180755
8.3,Cedar Park/Meadowbrook,473874000,34213282
9.1,Broadview/Bitter Lake,524807700,52033974
9.2,Licton Springs,326649300,28077963
9.3,Greenwood/Phinney Ridge,976604200,46067179
9.4,Green Lake,725803700,55196231
9.5,Haller Lake,339378300,25506444
10.1,North Beach/Blue Ridge,534001800,39523220
10.2,Whittier Heights,510924400,32621342
10.3,Sunset Hill/Loyal Heights,589629800,32632717
10.4,Ballard,322276400,35900335
11.1,Fremont,722215800,40256216
11.2,Wallingford,688214500,44297027
11.3,Cascade/Eastlake,641618700,89647102
12.1,Magnolia,800471000,58662020
12.2,Interbay,491787400,66091935
12.3,Queen Anne,1989897400,112041127
13.1,Belltown,592600200,84720202
13.2,Downtown Commercial Core,245660100,53779793
13.3,Pioneer Square/International District,126971200,19260309
