area_id,area_name,b992515001,b992515001_moe,b992515002,b992515002_moe,b992515003,b992515003_moe
1.1,Arbor Heights,466,-1,0,-1,466,-1
1.2,Fauntleroy/Seaview,1829,-1,34,-1,1795,-1
1.3,West Seattle Junction/Genesee Hill,3428,-1,189,-1,3239,-1
1.4,Alki/Admiral,2695,-1,98,-1,2597,-1
2.1,North Delridge,1093,-1,0,-1,1093,-1
2.2,High Point,1633,-1,91,-1,1542,-1
2.3,Riverview,519,-1,0,-1,519,-1
2.4,Roxhill/Westwood,2608,-1,159,-1,2449,-1
2.5,Highland Park,1273,-1,109,-1,1164,-1
3.1,South Park,713,-1,39,-1,674,-1
3.2,Georgetown,435,-1,18,-1,417,-1
3.3,Duwamish/SODO,450,-1,15,-1,435,-1
3.4,South Beacon Hill/NewHolly,2128,-1,61,-1,2067,-1
3.5,Beacon Hill,819,-1,6,-1,813,-1
3.6,North Beacon Hill/Jefferson Park,3182,-1,69,-1,3113,-1
4.1,Rainier Beach,2206,-1,132,-1,2074,-1
4.2,Columbia City,3115,-1,61,-1,3054,-1
4.3,Seward Park,730,-1,4,-1,726,-1
4.4,Mt. Baker/North Rainier,700,-1,14,-1,686,-1
5.1,Madrona/Leschi,1263,-1,103,-1,1160,-1
5.2,Judkins Park,1136,-1,64,-1,1072,-1
5.3,Central Area/Squire Park,4628,-1,156,-1,4472,-1
6.1,First Hill,6419,-1,509,-1,5910,-1
6.2,Capitol Hill,11287,-1,297,-1,10990,-1
6.3,North Capitol Hill,1182,-1,0,-1,1182,-1
6.4,Miller Park,1641,-1,47,-1,1594,-1
6.5,Madison Park,1164,-1,49,-1,1115,-1
7.1,Montlake/Portage Bay,2149,-1,71,-1,2078,-1
7.2,University District,4506,-1,260,-1,4246,-1
7.3,Ravenna/Bryant,4003,-1,440,-1,3563,-1
7.4,Wedgwood/View Ridge,1288,-1,47,-1,1241,-1
7.5,Laurelhurst/Sand Point,1559,-1,32,-1,1527,-1
8.1,Northgate/Maple Leaf,4253,-1,249,-1,4004,-1
8.2,Olympic Hills/Victory Heights,3240,-1,151,-1,3089,-1
8.3,Cedar Park/Meadowbrook,2894,-1,94,-1,2800,-1
9.1,Broadview/Bitter Lake,3398,-1,624,-1,2774,-1
9.2,Licton Springs,2620,-1,70,-1,2550,-1
9.3,Greenwood/Phinney Ridge,4570,-1,201,-1,4369,-1
9.4,Green Lake,3231,-1,96,-1,3135,-1
9.5,Haller Lake,1780,-1,10,-1,1770,-1
10.1,North Beach/Blue Ridge,1499,-1,0,-1,1499,-1
10.2,Whittier Heights,2600,-1,42,-1,2558,-1
10.3,Sunset Hill/Loyal Heights,2370,-1,92,-1,2278,-1
10.4,Ballard,3165,-1,151,-1,3014,-1
11.1,Fremont,5117,-1,99,-1,5018,-1
11.2,Wallingford,4411,-1,375,-1,4036,-1
11.3,Cascade/Eastlake,7808,-1,298,-1,7510,-1
12.1,Magnolia,1314,-1,46,-1,1268,-1
12.2,Interbay,3021,-1,132,-1,2889,-1
12.3,Queen Anne,11547,-1,563,-1,10984,-1
13.1,Belltown,4347,-1,143,-1,4204,-1
13.2,Downtown Commercial Core,2008,-1,116,-1,1892,-1
13.3,Pioneer Square/International District,2880,-1,161,-1,2719,-1
