area_id,area_name,b25014a001,b25014a001_moe,b25014a002,b25014a002_moe,b25014a003,b25014a003_moe
1.1,Arbor Heights,2333,129,2324,127,9,18
1.2,Fauntleroy/Seaview,5908,239,5908,239,0,24
1.3,West Seattle Junction/Genesee Hill,7684,277,7684,277,0,29
1.4,Alki/Admiral,5148,253,5095,252,53,61
2.1,North Delridge,1838,170,1838,170,0,12
2.2,High Point,1340,196,1292,199,48,45
2.3,Riverview,1134,108,1134,108,0,12
2.4,Roxhill/Westwood,3933,227,3806,235,127,95
2.5,Highland Park,1917,191,1902,194,15,27
3.1,South Park,884,126,723,137,161,82
3.2,Georgetown,527,62,517,60,10,17
3.3,Duwamish/SODO,536,109,528,107,8,13
3.4,South Beacon Hill/NewHolly,927,162,914,162,13,30
3.5,Beacon Hill,876,166,876,166,0,17
3.6,North Beacon Hill/Jefferson Park,2179,252,2048,238,131,97
4.1,Rainier Beach,2088,229,1994,244,94,89
4.2,Columbia City,2627,289,2564,286,63,70
4.3,Seward Park,1976,146,1907,145,69,68
4.4,Mt. Baker/North Rainier,1388,137,1388,137,0,17
5.1,Madrona/Leschi,2846,222,2806,223,40,38
5.2,Judkins Park,435,101,418,98,17,19
5.3,Central Area/Squire Park,5565,296,5517,304,48,63
6.1,First Hill,5278,346,5197,348,81,77
6.2,Capitol Hill,11199,492,10919,497,280,147
6.3,North Capitol Hill,2018,165,1974,176,44,71
6.4,Miller Park,2558,146,2549,145,9,19
6.5,Madison Park,2482,171,2482,171,0,17
7.1,Montlake/Portage Bay,4072,171,4072,171,0,21
7.2,University District,3313,295,3273,286,40,67
7.3,Ravenna/Bryant,8229,290,8216,291,13,35
7.4,Wedgwood/View Ridge,5200,186,5191,185,9,28
7.5,Laurelhurst/Sand Point,3623,211,3548,220,75,61
8.1,Northgate/Maple Leaf,5069,247,5019,250,50,51
8.2,Olympic Hills/Victory Heights,4962,243,4946,242,16,33
8.3,Cedar Park/Meadowbrook,4470,263,4459,264,11,27
9.1,Broadview/Bitter Lake,5290,276,5242,274,48,76
9.2,Licton Springs,3147,212,3131,212,16,29
9.3,Greenwood/Phinney Ridge,9468,281,9452,280,16,31
9.4,Green Lake,5867,273,5809,273,58,80
9.5,Haller Lake,3321,180,3243,192,78,70
10.1,North Beach/Blue Ridge,4624,161,4589,160,35,33
10.2,Whittier Heights,5092,161,5059,163,33,39
10.3,Sunset Hill/Loyal Heights,5961,201,5937,196,24,28
10.4,Ballard,3549,237,3524,230,25,41
11.1,Fremont,7522,284,7475,292,47,61
11.2,Wallingford,5943,280,5899,278,44,34
11.3,Cascade/Eastlake,6103,433,5756,423,347,169
12.1,Magnolia,5208,192,5195,194,13,27
12.2,Interbay,4505,256,4505,256,0,21
12.3,Queen Anne,16100,490,15954,486,146,102
13.1,Belltown,4350,343,4253,342,97,80
13.2,Downtown Commercial Core,1864,218,1842,218,22,18
13.3,Pioneer Square/International District,1220,160,1187,162,33,30
