area_id,area_name,c23023001,c23023001_moe,c23023002,c23023002_moe,c23023003,c23023003_moe,c23023004,c23023004_moe,c23023005,c23023005_moe,c23023006,c23023006_moe,c23023007,c23023007_moe,c23023008,c23023008_moe,c23023009,c23023009_moe,c23023010,c23023010_moe,c23023011,c23023011_moe,c23023012,c23023012_moe,c23023013,c23023013_moe,c23023014,c23023014_moe,c23023015,c23023015_moe,c23023016,c23023016_moe,c23023017,c23023017_moe,c23023018,c23023018_moe,c23023019,c23023019_moe,c23023020,c23023020_moe,c23023021,c23023021_moe,c23023022,c23023022_moe,c23023023,c23023023_moe
1.1,Arbor Heights,4207,213,2102,135,139,66,102,59,39,34,63,42,37,33,1963,136,1825,137,1417,151,408,99,138,67,2105,161,86,51,59,44,42,41,17,16,27,26,2019,164,1737,146,1021,125,716,143,282,92
1.2,Fauntleroy/Seaview,9613,488,4570,367,385,169,122,77,44,44,78,66,263,143,4185,341,3854,307,3154,329,700,177,331,131,5043,265,179,78,72,47,38,37,34,39,107,65,4864,278,4284,288,2452,248,1832,260,580,156
1.3,West Seattle Junction/Genesee Hill,12527,506,5977,385,429,153,61,73,61,73,0,29,368,142,5548,372,4948,367,3445,295,1503,287,600,161,6550,380,290,159,103,68,44,48,59,52,187,140,6260,362,5471,369,3489,354,1982,244,789,188
1.4,Alki/Admiral,7769,413,3679,276,229,103,176,92,135,81,41,47,53,44,3450,280,3090,265,2210,249,880,209,360,122,4090,337,181,101,139,92,45,41,94,82,42,42,3909,337,3152,278,1924,243,1228,228,757,201
2.1,North Delridge,3799,267,1886,192,93,66,55,46,23,26,32,36,38,40,1793,188,1680,181,1201,190,479,181,113,70,1913,194,89,66,0,12,0,12,0,12,89,66,1824,208,1673,208,937,224,736,174,151,84
2.2,High Point,4505,400,2060,270,288,144,112,78,20,23,92,73,176,118,1772,248,1456,187,984,196,472,147,316,157,2445,300,416,194,85,65,0,17,85,65,331,166,2029,244,1587,235,882,172,705,203,442,126
2.3,Riverview,3467,230,1883,224,85,54,51,40,27,28,24,25,34,31,1798,230,1480,212,904,155,576,162,318,116,1584,145,82,45,27,24,0,12,27,24,55,39,1502,139,1371,131,913,128,458,96,131,64
2.4,Roxhill/Westwood,9169,563,4449,392,337,143,217,128,124,101,93,78,120,70,4112,389,3654,383,2689,325,965,221,458,141,4720,406,371,133,243,105,64,51,179,93,128,87,4349,370,3337,294,2049,260,1288,215,1012,271
2.5,Highland Park,4156,335,2284,251,112,72,25,37,8,23,17,31,87,65,2172,245,1807,207,1085,188,722,148,365,174,1872,195,154,89,45,46,25,33,20,36,109,77,1718,200,1566,196,764,152,802,218,152,79
3.1,South Park,2869,433,1535,382,123,72,50,50,28,46,22,29,73,62,1412,373,1199,362,621,176,578,250,213,91,1334,194,120,68,69,57,50,50,19,26,51,38,1214,202,885,186,450,117,435,146,329,98
3.2,Georgetown,980,150,569,99,146,69,118,71,22,30,96,64,28,46,423,103,395,106,272,73,123,70,28,25,411,90,68,44,11,18,0,12,11,18,57,42,343,76,280,54,193,53,87,50,63,52
3.3,Duwamish/SODO,1920,303,1179,280,272,76,82,66,5,8,77,66,190,79,907,240,760,181,587,149,173,89,147,109,741,146,60,80,30,42,9,12,21,38,30,44,681,99,636,94,363,111,273,107,45,36
