area_id,area_name,c18121001,c18121001_moe,c18121002,c18121002_moe,c18121003,c18121003_moe,c18121004,c18121004_moe,c18121005,c18121005_moe,c18121006,c18121006_moe,c18121007,c18121007_moe,c18121008,c18121008_moe,c18121009,c18121009_moe,c18121010,c18121010_moe
1.1,Arbor Heights,4112,202,2519,210,81,52,2438,204,1179,176,78,45,1101,171,414,116,63,41,351,105
1.2,Fauntleroy/Seaview,9446,474,5672,446,82,55,5590,447,2599,330,112,77,2487,325,1175,251,367,156,808,187
1.3,West Seattle Junction/Genesee Hill,11997,476,6941,460,105,83,6836,456,3422,397,55,55,3367,397,1634,281,494,203,1140,219
1.4,Alki/Admiral,7528,424,4289,352,180,89,4109,350,2168,332,135,91,2033,322,1071,217,76,51,995,213
2.1,North Delridge,3735,260,2150,250,23,26,2127,252,1235,233,32,36,1203,235,350,121,127,69,223,103
2.2,High Point,4316,390,1886,243,20,23,1866,244,1303,262,172,110,1131,256,1127,278,478,199,649,186
2.3,Riverview,3293,223,1833,182,27,28,1806,181,1015,183,51,35,964,176,445,109,85,58,360,108
2.4,Roxhill/Westwood,8819,558,4895,383,188,123,4707,397,2401,314,272,124,2129,298,1523,361,248,115,1275,297
2.5,Highland Park,3923,317,1874,227,33,39,1841,231,1416,235,37,46,1379,233,633,212,196,104,437,165
3.1,South Park,2763,438,1149,248,78,68,1071,233,1036,305,41,37,995,301,578,134,106,66,472,133
3.2,Georgetown,965,152,487,96,22,30,465,98,302,81,107,70,195,79,176,97,85,80,91,53
3.3,Duwamish/SODO,1839,308,944,153,9,12,935,153,500,149,83,65,417,134,395,162,220,76,175,116
3.4,South Beacon Hill/NewHolly,9245,668,4179,418,159,88,4020,411,3039,415,202,106,2837,394,2027,360,462,168,1565,305
3.5,Beacon Hill,6307,559,3745,518,67,50,3678,523,1452,268,112,94,1340,248,1110,265,231,111,879,229
3.6,North Beacon Hill/Jefferson Park,9559,616,4845,466,50,39,4795,468,3476,451,146,94,3330,456,1238,282,338,138,900,237
4.1,Rainier Beach,9582,635,4523,485,245,143,4278,468,2715,436,137,85,2578,421,2344,439,741,231,1603,409
4.2,Columbia City,11161,625,5511,547,237,124,5274,541,3329,433,66,46,3263,425,2321,334,614,187,1707,298
4.3,Seward Park,5645,375,3046,278,74,51,2972,275,1612,209,86,47,1526,207,987,249,165,94,822,223
4.4,Mt. Baker/North Rainier,3694,397,1872,238,160,99,1712,227,1133,245,77,86,1056,190,689,170,161,82,528,165
5.1,Madrona/Leschi,6860,456,3756,304,67,47,3689,302,2036,348,161,92,1875,339,1068,316,158,129,910,245
5.2,Judkins Park,1822,222,962,235,13,19,949,236,509,123,95,79,414,102,351,122,72,45,279,111
5.3,Central Area/Squire Park,12760,617,7088,497,304,124,6784,501,3747,474,176,110,3571,463,1925,328,632,205,1293,284
6.1,First Hill,10637,702,4234,368,133,80,4101,369,4502,526,128,80,4374,517,1901,335,597,233,1304,247
6.2,Capitol Hill,18117,721,9805,675,179,123,9626,661,6659,670,397,151,6262,657,1653,296,552,169,1101,255
6.3,North Capitol Hill,3131,219,1766,235,0,12,1766,235,984,189,85,83,899,182,381,137,0,12,381,137
6.4,Miller Park,5318,280,2896,214,102,61,2794,218,1692,220,68,52,1624,216,730,182,188,117,542,141
6.5,Madison Park,3117,240,1686,249,71,79,1615,274,796,160,66,67,730,174,635,147,49,40,586,147
7.1,Montlake/Portage Bay,7142,455,3926,303,118,66,3808,304,2620,365,37,37,2583,362,596,146,74,51,522,131
7.2,University District,18131,1387,2725,403,66,54,2659,394,11347,1173,386,179,10961,1129,4059,502,319,134,3740,486
7.3,Ravenna/Bryant,18272,789,8178,439,208,117,7970,425,7757,653,245,116,7512,643,2337,410,276,116,2061,388
7.4,Wedgwood/View Ridge,9818,345,4995,307,149,80,4846,309,3313,319,130,78,3183,312,1510,225,168,88,1342,208
7.5,Laurelhurst/Sand Point,6900,373,3653,308,64,51,3589,302,2045,311,27,29,2018,309,1202,253,150,110,1052,236
8.1,Northgate/Maple Leaf,9550,497,4543,363,126,73,4417,362,3445,401,262,107,3183,388,1562,279,282,104,1280,258
