area_id,area_name,b19013c001,b19013c001_moe
1.1,Arbor Heights,19671,171470
1.2,Fauntleroy/Seaview,165938,77857
1.3,West Seattle Junction/Genesee Hill,29926,130084
2.1,North Delridge,34688,31797
2.4,Roxhill/Westwood,18958,5100
2.5,Highland Park,9152,131058
3.2,Georgetown,25764,16318
3.4,South Beacon Hill/NewHolly,77778,52549
4.1,Rainier Beach,14779,91502
4.3,Seward Park,107604,124320
4.4,Mt. Baker/North Rainier,28750,168969
5.3,Central Area/Squire Park,53080,82200
6.1,First Hill,103941,8222
6.2,Capitol Hill,77945,36531
7.1,Montlake/Portage Bay,102750,157971
7.5,Laurelhurst/Sand Point,27292,340681
8.1,Northgate/Maple Leaf,37738,30899
8.3,Cedar Park/Meadowbrook,140927,54428
9.1,Broadview/Bitter Lake,60875,16818
9.2,Licton Springs,172604,340394
9.3,Greenwood/Phinney Ridge,207068,115447
9.5,Haller Lake,23516,33876
10.1,North Beach/Blue Ridge,72768,84234
11.2,Wallingford,61591,50301
11.3,Cascade/Eastlake,22346,2951
12.1,Magnolia,79904,130458
12.2,Interbay,77596,76297
12.3,Queen Anne,189263,278807
13.1,Belltown,64708,62825
