area_id,area_name,b19037b001,b19037b001_moe,b19037b002,b19037b002_moe,b19037b003,b19037b003_moe,b19037b004,b19037b004_moe,b19037b005,b19037b005_moe,b19037b006,b19037b006_moe,b19037b007,b19037b007_moe,b19037b008,b19037b008_moe,b19037b009,b19037b009_moe,b19037b010,b19037b010_moe,b19037b011,b19037b011_moe,b19037b012,b19037b012_moe,b19037b013,b19037b013_moe,b19037b014,b19037b014_moe,b19037b015,b19037b015_moe,b19037b016,b19037b016_moe,b19037b017,b19037b017_moe,b19037b018,b19037b018_moe,b19037b019,b19037b019_moe,b19037b020,b19037b020_moe,b19037b021,b19037b021_moe,b19037b022,b19037b022_moe,b19037b023,b19037b023_moe,b19037b024,b19037b024_moe,b19037b025,b19037b025_moe,b19037b026,b19037b026_moe,b19037b027,b19037b027_moe,b19037b028,b19037b028_moe,b19037b029,b19037b029_moe,b19037b030,b19037b030_moe,b19037b031,b19037b031_moe,b19037b032,b19037b032_moe,b19037b033,b19037b033_moe,b19037b034,b19037b034_moe,b19037b035,b19037b035_moe,b19037b036,b19037b036_moe,b19037b037,b19037b037_moe,b19037b038,b19037b038_moe,b19037b039,b19037b039_moe,b19037b040,b19037b040_moe,b19037b041,b19037b041_moe,b19037b042,b19037b042_moe,b19037b043,b19037b043_moe,b19037b044,b19037b044_moe,b19037b045,b19037b045_moe,b19037b046,b19037b046_moe,b19037b047,b19037b047_moe,b19037b048,b19037b048_moe,b19037b049,b19037b049_moe,b19037b050,b19037b050_moe,b19037b051,b19037b051_moe,b19037b052,b19037b052_moe,b19037b053,b19037b053_moe,b19037b054,b19037b054_moe,b19037b055,b19037b055_moe,b19037b056,b19037b056_moe,b19037b057,b19037b057_moe,b19037b058,b19037b058_moe,b19037b059,b19037b059_moe,b19037b060,b19037b060_moe,b19037b061,b19037b061_moe,b19037b062,b19037b062_moe,b19037b063,b19037b063_moe,b19037b064,b19037b064_moe,b19037b065,b19037b065_moe,b19037b066,b19037b066_moe,b19037b067,b19037b067_moe,b19037b068,b19037b068_moe,b19037b069,b19037b069_moe
1.1,Arbor Heights,54,53,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,40,50,0,17,0,17,0,17,28,47,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,23,0,17,0,17,14,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,79,85,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,37,47,0,24,0,24,0,24,14,29,0,24,0,24,0,24,0,24,0,24,0,24,23,42,0,24,0,24,0,24,0,24,0,24,42,70,42,70,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,192,136,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,46,47,33,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,33,0,29,0,29,0,29,0,29,0,29,146,131,0,29,79,100,54,88,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,156,107,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,132,100,0,24,0,24,41,46,0,24,0,24,0,24,43,69,0,24,0,24,0,24,23,41,0,24,25,45,0,24,0,24,0,24,24,42,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,42,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,97,81,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,74,86,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,55,80,0,12,19,33,0,12,0,12,23,26,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,688,177,65,79,50,76,0,17,0,17,15,27,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,412,168,100,104,0,17,146,128,56,51,8,19,0,17,0,17,25,41,29,49,20,33,0,17,28,51,0,17,0,17,0,17,0,17,147,75,28,28,27,38,4,16,16,30,0,17,0,17,7,19,0,17,0,17,0,17,39,44,26,34,0,17,0,17,0,17,0,17,64,87,51,86,5,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,18,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,151,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,66,62,0,12,43,52,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,34,0,12,0,12,0,12,0,12,0,12,85,74,0,12,0,12,0,12,25,33,0,12,0,12,0,12,10,16,0,12,0,12,0,12,0,12,0,12,50,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,532,159,27,32,27,32,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,258,147,0,21,0,21,0,21,88,79,15,30,26,46,0,21,0,21,0,21,0,21,72,88,57,72,0,21,0,21,0,21,0,21,161,86,0,21,10,24,13,27,17,34,0,21,0,21,0,21,30,50,0,21,41,53,0,21,41,65,0,21,0,21,0,21,9,22,86,54,22,28,11,25,13,28,0,21,0,21,0,21,13,27,0,21,13,25,0,21,0,21,0,21,0,21,0,21,14,28,0,21
2.5,Highland Park,177,71,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,96,59,0,21,0,21,0,21,6,20,0,21,18,32,0,21,29,50,0,21,0,21,0,21,18,30,0,21,25,29,0,21,0,21,50,48,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,12,25,20,35,0,21,0,21,18,30,0,21,0,21,31,36,17,30,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,14,26,0,21,0,21,0,21,0,21
3.1,South Park,95,53,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,24,0,17,0,17,0,17,5,15,0,17,10,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,65,46,0,17,0,17,9,18,15,29,0,17,0,17,0,17,0,17,24,33,8,18,9,18,0,17,0,17,0,17,0,17,0,17,15,27,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,27,0,17,0,17,0,17,0,17
