area_id,area_name,c27001g001,c27001g001_moe,c27001g002,c27001g002_moe,c27001g003,c27001g003_moe,c27001g004,c27001g004_moe,c27001g005,c27001g005_moe,c27001g006,c27001g006_moe,c27001g007,c27001g007_moe,c27001g008,c27001g008_moe,c27001g009,c27001g009_moe,c27001g010,c27001g010_moe
1.1,Arbor Heights,459,239,243,135,243,135,0,17,216,127,185,109,31,39,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,498,206,307,147,288,144,19,35,167,93,167,93,0,24,24,26,24,26,0,24
1.3,West Seattle Junction/Genesee Hill,834,243,483,181,483,181,0,29,351,123,341,123,10,29,0,29,0,29,0,29
1.4,Alki/Admiral,460,216,192,129,192,129,0,24,246,109,232,107,14,28,22,38,22,38,0,24
2.1,North Delridge,245,125,27,42,27,42,0,12,218,108,159,96,59,52,0,12,0,12,0,12
2.2,High Point,240,120,119,98,119,98,0,17,106,57,91,54,15,27,15,27,15,27,0,17
2.3,Riverview,389,174,211,129,203,129,8,14,170,78,153,75,17,19,8,13,8,13,0,12
2.4,Roxhill/Westwood,694,219,300,124,245,111,55,55,380,157,326,141,54,51,14,27,14,27,0,21
2.5,Highland Park,348,197,128,117,128,117,0,21,220,135,132,102,88,65,0,21,0,21,0,21
3.1,South Park,288,257,41,38,41,38,0,17,231,236,66,72,165,220,16,29,16,29,0,17
3.2,Georgetown,80,84,11,18,11,18,0,12,54,57,54,57,0,12,15,16,15,16,0,12
3.3,Duwamish/SODO,73,55,0,12,0,12,0,12,73,55,35,29,38,43,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,488,218,209,121,209,121,0,24,244,114,172,90,72,71,35,44,35,44,0,24
3.5,Beacon Hill,391,227,171,105,171,105,0,17,188,128,156,103,32,38,32,49,32,49,0,17
3.6,North Beacon Hill/Jefferson Park,759,274,261,157,154,102,107,145,459,173,313,147,146,101,39,49,39,49,0,24
4.1,Rainier Beach,813,410,305,207,305,207,0,27,508,243,427,204,81,83,0,27,0,27,0,27
4.2,Columbia City,764,263,330,180,330,180,0,27,386,145,343,141,43,43,48,48,48,48,0,27
4.3,Seward Park,443,172,148,72,148,72,0,17,245,120,198,107,47,45,50,38,50,38,0,17
4.4,Mt. Baker/North Rainier,358,173,159,98,159,98,0,17,177,100,177,100,0,17,22,29,22,29,0,17
5.1,Madrona/Leschi,577,348,232,137,164,91,68,104,316,234,237,153,79,102,29,35,29,35,0,21
5.2,Judkins Park,243,155,106,85,95,78,11,20,137,119,137,119,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,974,346,268,160,246,157,22,42,631,209,543,198,88,56,75,80,75,80,0,24
6.1,First Hill,456,156,55,80,46,80,9,25,396,111,345,111,51,45,5,23,5,23,0,24
6.2,Capitol Hill,819,271,70,94,70,94,0,29,738,251,632,209,106,91,11,30,11,30,0,29
6.3,North Capitol Hill,90,86,0,12,0,12,0,12,90,86,62,76,28,33,0,12,0,12,0,12
6.4,Miller Park,275,144,107,84,107,84,0,17,168,85,126,68,42,49,0,17,0,17,0,17
6.5,Madison Park,117,80,67,67,67,67,0,17,50,42,50,42,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,403,138,99,72,99,72,0,21,293,121,265,109,28,45,11,24,11,24,0,21
7.2,University District,974,240,74,76,74,76,0,29,900,224,796,210,104,69,0,29,0,29,0,29
7.3,Ravenna/Bryant,1414,292,612,175,612,175,0,32,736,190,643,165,93,80,66,51,66,51,0,32
