area_id,area_name,b14007g001,b14007g001_moe,b14007g002,b14007g002_moe,b14007g003,b14007g003_moe,b14007g004,b14007g004_moe,b14007g005,b14007g005_moe,b14007g006,b14007g006_moe,b14007g007,b14007g007_moe,b14007g008,b14007g008_moe,b14007g009,b14007g009_moe,b14007g010,b14007g010_moe,b14007g011,b14007g011_moe,b14007g012,b14007g012_moe,b14007g013,b14007g013_moe,b14007g014,b14007g014_moe,b14007g015,b14007g015_moe,b14007g016,b14007g016_moe,b14007g017,b14007g017_moe,b14007g018,b14007g018_moe,b14007g019,b14007g019_moe
1.1,Arbor Heights,380,195,184,116,21,36,39,45,0,17,27,43,20,32,0,17,0,17,21,28,10,20,0,17,13,22,0,17,11,20,0,17,22,35,0,17,196,111
1.2,Fauntleroy/Seaview,474,203,272,145,62,51,0,24,22,30,17,31,17,31,47,55,0,24,43,58,17,34,16,31,0,24,0,24,18,34,2,24,11,25,0,24,202,97
1.3,West Seattle Junction/Genesee Hill,746,224,410,169,79,66,91,92,0,29,0,29,30,36,24,36,48,42,24,36,0,29,18,38,12,33,7,27,40,48,0,29,19,38,18,38,336,118
1.4,Alki/Admiral,405,196,136,105,23,40,0,24,0,24,0,24,0,24,24,40,0,24,0,24,23,40,21,35,0,24,21,35,0,24,0,24,0,24,24,34,269,124
2.1,North Delridge,245,125,122,108,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,42,0,12,24,36,71,71,0,12,123,94
2.2,High Point,232,116,116,94,15,27,0,17,0,17,0,17,0,17,17,30,0,17,0,17,0,17,7,17,0,17,29,45,30,44,0,17,18,25,0,17,116,63
2.3,Riverview,346,160,116,69,0,12,9,14,10,18,0,12,36,51,0,12,28,43,33,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,230,109
2.4,Roxhill/Westwood,626,204,324,134,23,30,22,32,17,27,7,21,7,21,37,33,0,21,18,32,0,21,23,41,17,30,16,30,19,34,29,42,71,65,18,34,302,125
2.5,Highland Park,308,166,211,123,0,21,20,27,15,28,0,21,0,21,9,25,0,21,0,21,12,24,0,21,0,21,0,21,8,23,26,43,98,81,23,37,97,86
3.1,South Park,276,248,64,69,0,17,0,17,6,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,32,0,17,0,17,35,42,0,17,212,225
3.2,Georgetown,69,68,25,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,25,0,12,44,51
3.3,Duwamish/SODO,75,55,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,75,55
3.4,South Beacon Hill/NewHolly,452,213,201,119,34,33,21,29,28,37,24,33,0,24,0,24,0,24,21,28,0,24,0,24,0,24,7,22,0,24,0,24,38,41,28,34,251,125
3.5,Beacon Hill,334,215,144,117,39,42,18,30,0,17,32,40,0,17,0,17,12,23,0,17,0,17,0,17,0,17,13,24,0,17,0,17,30,42,0,17,190,129
3.6,North Beacon Hill/Jefferson Park,704,260,231,146,18,37,35,44,8,24,17,36,0,24,8,25,53,74,7,25,0,24,54,74,0,24,0,24,0,24,0,24,31,33,0,24,473,175
4.1,Rainier Beach,739,371,331,214,0,27,0,27,0,27,39,64,0,27,0,27,70,80,0,27,15,32,10,28,28,37,44,72,15,33,46,44,12,31,52,83,408,212
4.2,Columbia City,748,257,343,183,13,29,35,46,0,27,46,47,16,33,32,40,17,33,38,46,0,27,0,27,9,25,24,37,68,66,22,37,23,31,0,27,405,145
