area_id,area_name,b22005d001,b22005d001_moe,b22005d002,b22005d002_moe,b22005d003,b22005d003_moe
1.1,Arbor Heights,106,53,0,17,106,53
1.2,Fauntleroy/Seaview,240,96,27,38,213,94
1.3,West Seattle Junction/Genesee Hill,178,79,14,33,164,75
1.4,Alki/Admiral,302,114,0,24,302,114
2.1,North Delridge,212,100,24,33,188,101
2.2,High Point,590,146,246,127,344,112
2.3,Riverview,228,61,29,25,199,58
2.4,Roxhill/Westwood,491,129,83,66,408,124
2.5,Highland Park,267,78,56,51,211,75
3.1,South Park,191,51,65,51,126,46
3.2,Georgetown,25,20,0,12,25,20
3.3,Duwamish/SODO,209,55,40,37,169,44
3.4,South Beacon Hill/NewHolly,2013,195,433,132,1580,179
3.5,Beacon Hill,1505,186,250,99,1255,182
3.6,North Beacon Hill/Jefferson Park,2271,215,546,142,1725,228
4.1,Rainier Beach,1148,198,286,114,862,186
4.2,Columbia City,1359,191,275,101,1084,189
4.3,Seward Park,565,83,60,38,505,86
4.4,Mt. Baker/North Rainier,382,82,145,64,237,107
5.1,Madrona/Leschi,254,91,18,34,236,90
5.2,Judkins Park,597,106,201,70,396,101
5.3,Central Area/Squire Park,473,150,54,53,419,141
6.1,First Hill,1179,208,236,83,943,197
6.2,Capitol Hill,1106,279,24,34,1082,279
6.3,North Capitol Hill,187,107,0,12,187,107
6.4,Miller Park,180,65,11,20,169,63
6.5,Madison Park,125,99,0,17,125,99
7.1,Montlake/Portage Bay,202,81,14,25,188,84
7.2,University District,1400,220,32,41,1368,220
7.3,Ravenna/Bryant,977,185,36,49,941,177
7.4,Wedgwood/View Ridge,623,103,13,33,610,105
7.5,Laurelhurst/Sand Point,486,143,0,21,486,143
8.1,Northgate/Maple Leaf,1211,201,45,48,1166,206
8.2,Olympic Hills/Victory Heights,1062,198,146,92,916,209
8.3,Cedar Park/Meadowbrook,532,135,39,34,493,135
9.1,Broadview/Bitter Lake,513,135,18,33,495,137
9.2,Licton Springs,835,175,101,64,734,172
9.3,Greenwood/Phinney Ridge,701,155,79,70,622,165
9.4,Green Lake,403,118,21,34,382,120
9.5,Haller Lake,523,130,78,93,445,121
10.1,North Beach/Blue Ridge,220,77,13,27,207,73
10.2,Whittier Heights,212,82,17,29,195,87
10.3,Sunset Hill/Loyal Heights,231,102,16,30,215,98
10.4,Ballard,273,124,17,27,256,127
11.1,Fremont,390,117,19,35,371,113
11.2,Wallingford,868,185,15,31,853,180
11.3,Cascade/Eastlake,1391,291,94,60,1297,288
12.1,Magnolia,214,89,0,24,214,89
12.2,Interbay,256,128,9,21,247,128
12.3,Queen Anne,1492,276,17,45,1475,279
13.1,Belltown,640,203,78,47,562,196
13.2,Downtown Commercial Core,194,105,66,52,128,86
13.3,Pioneer Square/International District,1302,146,592,107,710,140
