area_id,area_name,b19301i001,b19301i001_moe
1.1,Arbor Heights,100858,39116
1.2,Fauntleroy/Seaview,63359,27694
1.3,West Seattle Junction/Genesee Hill,99753,30778
1.4,Alki/Admiral,49360,30745
2.1,North Delridge,33453,15856
2.2,High Point,32173,17912
2.3,Riverview,22956,10521
2.4,Roxhill/Westwood,54657,12134
2.5,Highland Park,25088,10397
3.1,South Park,14081,5876
3.2,Georgetown,17984,3850
3.3,Duwamish/SODO,26257,18169
3.4,South Beacon Hill/NewHolly,41647,20960
3.5,Beacon Hill,36702,20723
3.6,North Beacon Hill/Jefferson Park,39364,7300
4.1,Rainier Beach,27894,7906
4.2,Columbia City,64962,14726
4.3,Seward Park,42506,13825
4.4,Mt. Baker/North Rainier,60591,48313
5.1,Madrona/Leschi,267302,265585
5.2,Judkins Park,31465,7064
5.3,Central Area/Squire Park,134952,23774
6.1,First Hill,112740,36594
6.2,Capitol Hill,124481,32906
6.3,North Capitol Hill,28575,9502
6.4,Miller Park,81835,25438
6.5,Madison Park,22308,22885
7.1,Montlake/Portage Bay,58333,20479
7.2,University District,26996,7301
7.3,Ravenna/Bryant,136471,32660
7.4,Wedgwood/View Ridge,123147,51072
7.5,Laurelhurst/Sand Point,46742,23417
8.1,Northgate/Maple Leaf,92101,35374
8.2,Olympic Hills/Victory Heights,70435,31898
8.3,Cedar Park/Meadowbrook,96485,48821
9.1,Broadview/Bitter Lake,58171,22867
9.2,Licton Springs,32191,10912
9.3,Greenwood/Phinney Ridge,151355,36398
9.4,Green Lake,133429,30455
9.5,Haller Lake,38425,17450
10.1,North Beach/Blue Ridge,124156,66707
10.2,Whittier Heights,88989,30044
10.3,Sunset Hill/Loyal Heights,55320,20920
10.4,Ballard,64121,40635
11.1,Fremont,105115,19012
11.2,Wallingford,85468,20419
11.3,Cascade/Eastlake,110206,26862
12.1,Magnolia,76869,60155
12.2,Interbay,63795,15044
12.3,Queen Anne,290763,51681
13.1,Belltown,47615,20871
13.2,Downtown Commercial Core,33722,19624
13.3,Pioneer Square/International District,11715,6901
