area_id,area_name,b11001c001,b11001c001_moe,b11001c002,b11001c002_moe,b11001c003,b11001c003_moe,b11001c004,b11001c004_moe,b11001c005,b11001c005_moe,b11001c006,b11001c006_moe,b11001c007,b11001c007_moe,b11001c008,b11001c008_moe,b11001c009,b11001c009_moe
1.1,Arbor Heights,33,39,33,39,33,39,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,24,28,10,23,10,23,0,24,0,24,0,24,14,29,14,29,0,24
1.3,West Seattle Junction/Genesee Hill,46,45,29,37,1,26,28,35,0,29,28,35,17,36,0,29,17,36
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,42,49,0,12,0,12,0,12,0,12,0,12,42,49,42,49,0,12
2.2,High Point,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,21,34,21,34,21,34,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,39,44,21,33,3,19,18,34,0,21,18,34,18,34,18,34,0,21
2.5,Highland Park,37,47,9,18,9,18,0,21,0,21,0,21,28,45,28,45,0,21
3.1,South Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,0,12,0,12,0,12,0,12,0,12,25,26,25,26,0,12
3.3,Duwamish/SODO,12,22,12,22,0,12,12,22,0,12,12,22,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,65,47,56,44,56,44,0,24,0,24,0,24,9,25,9,25,0,24
3.5,Beacon Hill,7,17,0,17,0,17,0,17,0,17,0,17,7,17,0,17,7,17
3.6,North Beacon Hill/Jefferson Park,13,25,13,25,13,25,0,24,0,24,0,24,0,24,0,24,0,24
4.1,Rainier Beach,31,42,0,27,0,27,0,27,0,27,0,27,31,42,17,34,14,33
4.2,Columbia City,11,28,0,27,0,27,0,27,0,27,0,27,11,28,11,28,0,27
4.3,Seward Park,23,28,12,22,12,22,0,17,0,17,0,17,11,22,11,22,0,17
4.4,Mt. Baker/North Rainier,42,42,15,24,0,17,15,24,15,24,0,17,27,34,27,34,0,17
5.1,Madrona/Leschi,32,37,13,24,0,21,13,24,0,21,13,24,19,35,19,35,0,21
5.2,Judkins Park,10,15,10,15,10,15,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,52,53,0,24,0,24,0,24,0,24,0,24,52,53,37,47,15,32
6.1,First Hill,152,85,122,70,17,33,105,65,49,45,56,50,30,53,30,53,0,24
6.2,Capitol Hill,227,125,29,42,21,42,8,30,0,29,8,30,198,120,198,120,0,29
6.3,North Capitol Hill,42,62,0,12,0,12,0,12,0,12,0,12,42,62,0,12,42,62
6.4,Miller Park,28,27,0,17,0,17,0,17,0,17,0,17,28,27,28,27,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,15,28,15,28,0,21,0,21,0,21,12,24,12,24,0,21
7.2,University District,22,42,22,42,22,42,0,29,0,29,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,31,38,16,32,16,32,0,32,0,32,0,32,15,37,0,32,15,37
7.4,Wedgwood/View Ridge,11,29,11,29,0,27,11,29,0,27,11,29,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,23,23,5,20,5,20,0,21,0,21,0,21,18,21,6,20,12,22
8.1,Northgate/Maple Leaf,92,67,35,48,21,40,14,28,0,24,14,28,57,48,44,43,13,29
8.2,Olympic Hills/Victory Heights,10,24,10,24,10,24,0,24,0,24,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,75,56,44,52,15,26,29,52,0,27,29,52,31,29,20,28,11,27
9.1,Broadview/Bitter Lake,67,56,17,35,17,35,0,27,0,27,0,27,50,50,31,43,19,37
9.2,Licton Springs,23,29,12,22,12,22,0,17,0,17,0,17,11,22,11,22,0,17
9.3,Greenwood/Phinney Ridge,75,60,63,58,4,27,59,58,5,28,54,58,12,33,0,29,12,33
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,84,60,29,28,17,28,12,22,0,21,12,22,55,53,55,53,0,21
10.1,North Beach/Blue Ridge,31,33,0,21,0,21,0,21,0,21,0,21,31,33,17,23,14,29
10.2,Whittier Heights,20,35,20,35,0,24,20,35,20,35,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,14,29,14,29,0,24,14,29,0,24,14,29,0,24,0,24,0,24
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,33,40,33,40,19,35,14,30,0,24,14,30,0,24,0,24,0,24
11.2,Wallingford,40,43,0,27,0,27,0,27,0,27,0,27,40,43,29,39,11,27
11.3,Cascade/Eastlake,285,154,0,21,0,21,0,21,0,21,0,21,285,154,237,140,48,77
12.1,Magnolia,25,34,12,26,12,26,0,24,0,24,0,24,13,29,0,24,13,29
12.2,Interbay,25,32,13,25,0,21,13,25,0,21,13,25,12,23,12,23,0,21
12.3,Queen Anne,155,106,56,63,33,54,23,51,23,51,0,40,99,89,62,77,37,53
13.1,Belltown,120,94,0,21,0,21,0,21,0,21,0,21,120,94,95,85,25,43
13.2,Downtown Commercial Core,20,29,0,12,0,12,0,12,0,12,0,12,20,29,20,29,0,12
13.3,Pioneer Square/International District,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
