area_id,area_name,b18101f001,b18101f001_moe,b18101f002,b18101f002_moe,b18101f003,b18101f003_moe,b18101f004,b18101f004_moe,b18101f005,b18101f005_moe,b18101f006,b18101f006_moe,b18101f007,b18101f007_moe,b18101f008,b18101f008_moe,b18101f009,b18101f009_moe,b18101f010,b18101f010_moe
1.1,Arbor Heights,41,37,0,17,0,17,0,17,41,37,0,17,41,37,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,101,134,30,53,0,24,30,53,71,86,4,20,67,85,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,159,135,38,62,0,29,38,62,121,107,2,24,119,108,0,29,0,29,0,29
1.4,Alki/Admiral,24,43,24,43,0,24,24,43,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,0,12,0,12,0,12,148,153,0,12,148,153,0,12,0,12,0,12
2.2,High Point,55,79,34,58,0,17,34,58,21,31,0,17,21,31,0,17,0,17,0,17
2.3,Riverview,17,17,0,12,0,12,0,12,9,12,0,12,9,12,8,13,0,12,8,13
2.4,Roxhill/Westwood,705,410,245,208,0,21,245,208,434,249,82,97,352,221,26,43,0,21,26,43
2.5,Highland Park,67,61,0,21,0,21,0,21,67,61,0,21,67,61,0,21,0,21,0,21
3.1,South Park,132,160,78,106,0,17,78,106,54,58,0,17,54,58,0,17,0,17,0,17
3.2,Georgetown,58,79,0,12,0,12,0,12,58,79,0,12,58,79,0,12,0,12,0,12
3.3,Duwamish/SODO,58,94,0,12,0,12,0,12,46,67,34,44,12,30,12,30,0,12,12,30
3.4,South Beacon Hill/NewHolly,82,89,27,45,0,24,27,45,41,49,0,24,41,49,14,29,14,29,0,24
3.5,Beacon Hill,254,320,94,123,0,17,94,123,144,168,0,17,144,168,16,58,9,34,7,28
3.6,North Beacon Hill/Jefferson Park,242,231,13,29,0,24,13,29,229,227,14,30,215,225,0,24,0,24,0,24
4.1,Rainier Beach,569,540,329,324,0,27,329,324,240,227,0,27,240,227,0,27,0,27,0,27
4.2,Columbia City,145,117,14,32,0,27,14,32,124,93,23,43,101,85,7,33,0,27,7,33
4.3,Seward Park,52,51,0,17,0,17,0,17,11,22,0,17,11,22,41,47,8,18,33,41
4.4,Mt. Baker/North Rainier,14,22,0,17,0,17,0,17,14,22,0,17,14,22,0,17,0,17,0,17
5.1,Madrona/Leschi,162,112,50,70,0,21,50,70,112,91,0,21,112,91,0,21,0,21,0,21
5.2,Judkins Park,14,23,0,12,0,12,0,12,14,23,14,23,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,159,125,22,38,0,24,22,38,137,106,6,25,131,106,0,24,0,24,0,24
6.1,First Hill,276,137,0,24,0,24,0,24,276,137,20,31,256,139,0,24,0,24,0,24
6.2,Capitol Hill,146,90,0,29,0,29,0,29,146,90,0,29,146,90,0,29,0,29,0,29
6.3,North Capitol Hill,56,63,0,12,0,12,0,12,56,63,0,12,56,63,0,12,0,12,0,12
6.4,Miller Park,16,20,0,17,0,17,0,17,16,20,8,16,8,18,0,17,0,17,0,17
6.5,Madison Park,35,56,23,38,0,17,23,38,12,19,0,17,12,19,0,17,0,17,0,17
7.1,Montlake/Portage Bay,69,79,11,24,0,21,11,24,58,77,0,21,58,77,0,21,0,21,0,21
7.2,University District,473,281,0,29,0,29,0,29,473,281,77,89,396,265,0,29,0,29,0,29
7.3,Ravenna/Bryant,213,129,51,65,0,32,51,65,162,88,14,38,148,85,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,54,38,13,31,0,27,13,31,41,35,0,27,41,35,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,38,39,21,36,0,21,21,36,17,26,0,21,17,26,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,291,216,0,24,0,24,0,24,276,216,42,37,234,214,15,29,15,29,0,24
8.2,Olympic Hills/Victory Heights,287,190,56,56,0,24,56,56,231,159,25,42,206,155,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,631,338,155,102,0,27,155,102,471,260,48,51,423,252,5,25,0,27,5,25
9.1,Broadview/Bitter Lake,113,73,0,27,0,27,0,27,94,65,0,27,94,65,19,36,19,36,0,27
9.2,Licton Springs,279,204,16,25,0,17,16,25,218,152,0,17,218,152,45,62,0,17,45,62
9.3,Greenwood/Phinney Ridge,542,286,91,85,0,29,91,85,441,241,4,27,437,241,10,31,0,29,10,31
9.4,Green Lake,190,118,0,24,0,24,0,24,172,115,0,24,172,115,18,34,0,24,18,34
9.5,Haller Lake,149,119,10,24,0,21,10,24,139,115,0,21,139,115,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,118,135,29,48,0,21,29,48,89,92,0,21,89,92,0,21,0,21,0,21
10.2,Whittier Heights,134,130,0,24,0,24,0,24,134,130,0,24,134,130,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,86,66,0,24,0,24,0,24,67,60,32,33,35,41,19,33,19,33,0,24
10.4,Ballard,30,36,0,17,0,17,0,17,30,36,0,17,30,36,0,17,0,17,0,17
11.1,Fremont,119,82,14,30,0,24,14,30,93,76,0,24,93,76,12,26,0,24,12,26
11.2,Wallingford,167,136,0,27,0,27,0,27,167,136,0,27,167,136,0,27,0,27,0,27
11.3,Cascade/Eastlake,283,205,52,84,0,21,52,84,189,130,15,29,174,130,42,56,10,23,32,53
12.1,Magnolia,72,83,47,74,0,24,47,74,25,44,25,44,0,24,0,24,0,24,0,24
12.2,Interbay,60,52,0,21,0,21,0,21,60,52,0,21,60,52,0,21,0,21,0,21
12.3,Queen Anne,505,197,96,90,0,40,96,90,409,176,19,52,390,172,0,40,0,40,0,40
13.1,Belltown,169,117,0,21,0,21,0,21,169,117,18,46,151,108,0,21,0,21,0,21
13.2,Downtown Commercial Core,111,97,0,12,0,12,0,12,111,97,27,36,84,92,0,12,0,12,0,12
13.3,Pioneer Square/International District,64,54,0,17,0,17,0,17,64,54,0,17,64,54,0,17,0,17,0,17
