area_id,area_name,b17022001,b17022001_moe,b17022002,b17022002_moe,b17022003,b17022003_moe,b17022004,b17022004_moe,b17022005,b17022005_moe,b17022006,b17022006_moe,b17022007,b17022007_moe,b17022008,b17022008_moe,b17022009,b17022009_moe,b17022010,b17022010_moe,b17022011,b17022011_moe,b17022012,b17022012_moe,b17022013,b17022013_moe,b17022014,b17022014_moe,b17022015,b17022015_moe,b17022016,b17022016_moe,b17022017,b17022017_moe,b17022018,b17022018_moe,b17022019,b17022019_moe,b17022020,b17022020_moe,b17022021,b17022021_moe,b17022022,b17022022_moe,b17022023,b17022023_moe,b17022024,b17022024_moe,b17022025,b17022025_moe,b17022026,b17022026_moe,b17022027,b17022027_moe,b17022028,b17022028_moe,b17022029,b17022029_moe,b17022030,b17022030_moe,b17022031,b17022031_moe,b17022032,b17022032_moe,b17022033,b17022033_moe,b17022034,b17022034_moe,b17022035,b17022035_moe,b17022036,b17022036_moe,b17022037,b17022037_moe,b17022038,b17022038_moe,b17022039,b17022039_moe,b17022040,b17022040_moe,b17022041,b17022041_moe,b17022042,b17022042_moe,b17022043,b17022043_moe,b17022044,b17022044_moe,b17022045,b17022045_moe,b17022046,b17022046_moe,b17022047,b17022047_moe,b17022048,b17022048_moe,b17022049,b17022049_moe,b17022050,b17022050_moe,b17022051,b17022051_moe,b17022052,b17022052_moe,b17022053,b17022053_moe,b17022054,b17022054_moe,b17022055,b17022055_moe,b17022056,b17022056_moe,b17022057,b17022057_moe,b17022058,b17022058_moe,b17022059,b17022059_moe,b17022060,b17022060_moe,b17022061,b17022061_moe,b17022062,b17022062_moe,b17022063,b17022063_moe,b17022064,b17022064_moe,b17022065,b17022065_moe,b17022066,b17022066_moe,b17022067,b17022067_moe,b17022068,b17022068_moe,b17022069,b17022069_moe,b17022070,b17022070_moe,b17022071,b17022071_moe,b17022072,b17022072_moe,b17022073,b17022073_moe,b17022074,b17022074_moe,b17022075,b17022075_moe,b17022076,b17022076_moe,b17022077,b17022077_moe,b17022078,b17022078_moe,b17022079,b17022079_moe,b17022080,b17022080_moe,b17022081,b17022081_moe
1.1,Arbor Heights,1585,134,41,40,9,18,9,18,0,17,0,17,9,18,0,17,32,37,0,17,0,17,0,17,0,17,0,17,0,17,32,37,32,37,0,17,22,35,10,20,0,17,31,35,25,33,0,17,0,17,0,17,0,17,25,33,6,16,0,17,0,17,0,17,0,17,0,17,0,17,6,16,6,16,0,17,0,17,6,16,0,17,53,46,35,41,0,17,0,17,0,17,0,17,35,41,18,24,0,17,0,17,0,17,0,17,0,17,0,17,18,24,10,20,10,20,0,17,0,17,8,18,1460,128,1275,137,614,87,112,57,229,82,273,78,661,102,185,74,72,47,66,46,21,36,10,19,35,28,6,16,113,57,20,25,0,17,0,17,20,25,93,53
1.2,Fauntleroy/Seaview,3390,270,113,67,66,53,52,47,0,24,11,25,41,39,14,29,47,40,8,23,0,24,0,24,0,24,0,24,8,23,39,38,0,24,0,24,0,24,0,24,39,38,29,48,0,24,0,24,0,24,0,24,0,24,0,24,29,48,0,24,0,24,0,24,0,24,0,24,0,24,29,48,29,48,29,48,0,24,0,24,0,24,71,48,38,34,28,34,0,24,0,24,28,34,10,23,33,42,0,24,0,24,0,24,0,24,0,24,0,24,33,42,15,30,0,24,0,24,15,30,18,34,3177,269,2665,271,1122,147,315,124,200,103,607,168,1543,242,512,163,66,48,41,43,20,36,0,24,21,29,25,33,446,159,281,129,68,51,74,85,139,87,165,90
1.3,West Seattle Junction/Genesee Hill,4165,272,163,92,82,50,22,35,8,27,0,29,14,31,60,50,81,80,19,39,19,39,0,29,0,29,19,39,0,29,62,72,62,72,0,29,62,72,0,29,0,29,17,35,17,35,0,29,0,29,0,29,0,29,17,35,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,157,92,48,39,37,38,0,29,16,35,21,33,11,31,109,94,10,30,0,29,0,29,0,29,0,29,10,30,99,93,48,48,18,38,0,29,30,39,51,84,3828,278,3134,250,1421,169,491,139,213,86,717,149,1713,215,694,186,168,79,43,44,0,29,0,29,43,44,125,66,526,164,413,152,90,88,8,27,315,136,113,67
1.4,Alki/Admiral,2475,222,87,64,68,52,41,46,0,24,0,24,41,46,27,34,19,34,0,24,0,24,0,24,0,24,0,24,0,24,19,34,0,24,0,24,0,24,0,24,19,34,46,55,0,24,0,24,0,24,0,24,0,24,0,24,46,55,23,41,23,41,23,41,0,24,0,24,0,24,23,39,23,39,23,39,0,24,0,24,0,24,60,79,44,76,0,24,0,24,0,24,0,24,44,76,16,30,0,24,0,24,0,24,0,24,0,24,0,24,16,30,16,30,0,24,0,24,16,30,0,24,2282,216,2072,206,803,120,213,93,124,107,466,118,1269,203,210,111,96,95,9,23,0,24,0,24,9,23,87,94,114,59,82,48,20,29,0,24,62,45,32,34
2.1,North Delridge,979,163,58,46,13,22,0,12,0,12,0,12,0,12,13,22,45,41,15,24,15,24,15,24,0,12,0,12,0,12,30,33,13,22,0,12,0,12,13,22,17,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,54,81,54,81,0,12,0,12,0,12,0,12,54,81,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,867,157,673,138,362,123,224,120,63,58,75,63,311,110,194,96,98,68,28,32,0,12,0,12,28,32,70,55,96,65,48,46,14,22,14,23,20,31,48,46
2.2,High Point,1514,206,530,185,120,77,101,75,8,18,61,67,32,36,19,24,410,188,0,17,0,17,0,17,0,17,0,17,0,17,410,188,329,161,86,109,10,22,233,127,81,97,37,39,13,25,0,17,0,17,0,17,0,17,13,25,24,34,0,17,0,17,0,17,0,17,0,17,0,17,24,34,24,34,0,17,0,17,24,34,0,17,63,65,25,41,25,41,25,41,0,17,0,17,0,17,38,48,0,17,0,17,0,17,0,17,0,17,0,17,38,48,22,38,0,17,0,17,22,38,16,30,884,151,660,134,262,115,126,85,47,48,89,74,398,105,224,98,42,38,32,31,0,17,0,17,32,31,10,19,182,87,91,65,13,24,20,33,58,57,91,61
2.3,Riverview,1096,109,116,74,10,16,10,16,0,12,0,12,10,16,0,12,106,72,0,12,0,12,0,12,0,12,0,12,0,12,106,72,97,71,0,12,0,12,97,71,9,14,57,53,23,34,23,34,0,12,23,34,0,12,0,12,34,39,0,12,0,12,0,12,0,12,0,12,0,12,34,39,0,12,0,12,0,12,0,12,34,39,19,25,10,17,10,17,0,12,0,12,10,17,0,12,9,15,0,12,0,12,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,0,12,9,15,904,96,595,104,293,95,73,50,30,24,190,81,302,81,309,95,146,82,102,69,9,15,0,12,93,69,44,48,163,74,87,55,18,20,47,55,22,24,76,42
2.4,Roxhill/Westwood,2961,229,384,132,261,113,167,89,0,21,116,77,51,49,94,73,123,76,17,32,17,32,17,32,0,21,0,21,0,21,106,71,97,72,18,34,20,37,59,57,9,23,179,106,75,65,40,50,0,21,14,28,26,46,35,41,104,79,0,21,0,21,0,21,0,21,0,21,0,21,104,79,85,78,0,21,0,21,85,78,19,26,96,77,13,23,13,23,3,19,0,21,10,25,0,21,83,74,36,60,0,21,0,21,0,21,0,21,36,60,47,47,35,38,0,21,0,21,35,38,12,26,2302,242,1682,226,767,151,292,94,92,59,383,102,915,179,620,187,303,144,82,57,3,18,22,37,57,49,221,143,317,115,214,93,70,42,0,21,144,89,103,60
2.5,Highland Park,1348,186,104,92,23,30,23,30,0,21,0,21,23,30,0,21,81,82,14,26,14,26,0,21,0,21,14,26,0,21,67,83,67,83,50,79,0,21,17,30,0,21,43,42,0,21,0,21,0,21,0,21,0,21,0,21,43,42,19,31,19,31,0,21,0,21,19,31,0,21,24,31,18,31,0,21,0,21,18,31,6,20,86,65,36,41,0,21,0,21,0,21,0,21,36,41,50,51,27,41,27,41,0,21,0,21,27,41,0,21,23,38,23,38,0,21,0,21,23,38,0,21,1115,181,920,188,260,97,83,73,90,62,87,56,660,178,195,87,41,43,41,43,0,21,0,21,41,43,0,21,154,77,109,67,30,40,17,30,62,47,45,43
3.1,South Park,823,106,208,94,50,44,50,44,0,17,28,33,22,30,0,17,158,85,27,33,19,30,0,17,0,17,19,30,8,17,131,82,99,75,0,17,50,55,49,48,32,37,22,24,13,18,8,18,0,17,0,17,8,18,5,14,9,20,9,20,9,20,0,17,0,17,9,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,57,52,13,21,6,17,6,17,0,17,0,17,7,16,44,47,0,17,0,17,0,17,0,17,0,17,0,17,44,47,44,47,0,17,37,48,7,18,0,17,536,128,418,118,281,104,50,37,57,51,174,83,137,65,118,63,62,55,36,37,29,36,0,17,7,18,26,44,56,44,6,16,0,17,0,17,6,16,50,43
