area_id,area_name,b18101e001,b18101e001_moe,b18101e002,b18101e002_moe,b18101e003,b18101e003_moe,b18101e004,b18101e004_moe,b18101e005,b18101e005_moe,b18101e006,b18101e006_moe,b18101e007,b18101e007_moe,b18101e008,b18101e008_moe,b18101e009,b18101e009_moe,b18101e010,b18101e010_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,57,82,0,24,57,82,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,22,56,0,24,0,24,0,24,22,56,8,26,14,37,0,24,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,22,38
2.3,Riverview,59,53,38,47,0,12,38,47,10,16,0,12,10,16,11,16,0,12,11,16
2.4,Roxhill/Westwood,134,117,12,29,12,29,0,21,122,106,22,39,100,97,0,21,0,21,0,21
2.5,Highland Park,60,123,7,21,0,21,7,21,53,106,8,23,45,87,0,21,0,21,0,21
3.1,South Park,214,219,107,138,18,30,89,115,98,94,33,44,65,75,9,21,9,21,0,17
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,140,149,0,24,0,24,0,24,109,127,25,42,84,93,31,57,31,57,0,24
3.5,Beacon Hill,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,143,153,0,24,0,24,0,24,143,153,0,24,143,153,0,24,0,24,0,24
4.1,Rainier Beach,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,334,353,58,145,0,27,58,145,207,229,76,84,131,172,69,84,52,74,17,49
4.3,Seward Park,19,35,0,17,0,17,0,17,8,19,0,17,8,19,11,22,0,17,11,22
4.4,Mt. Baker/North Rainier,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,9,26,0,24,0,24,0,24,9,26,9,26,0,24,0,24,0,24,0,24
6.1,First Hill,26,39,0,24,0,24,0,24,26,39,14,33,12,31,0,24,0,24,0,24
6.2,Capitol Hill,17,38,0,29,0,29,0,29,17,38,17,38,0,29,0,29,0,29,0,29
6.3,North Capitol Hill,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
