area_id,area_name,b14007f001,b14007f001_moe,b14007f002,b14007f002_moe,b14007f003,b14007f003_moe,b14007f004,b14007f004_moe,b14007f005,b14007f005_moe,b14007f006,b14007f006_moe,b14007f007,b14007f007_moe,b14007f008,b14007f008_moe,b14007f009,b14007f009_moe,b14007f010,b14007f010_moe,b14007f011,b14007f011_moe,b14007f012,b14007f012_moe,b14007f013,b14007f013_moe,b14007f014,b14007f014_moe,b14007f015,b14007f015_moe,b14007f016,b14007f016_moe,b14007f017,b14007f017_moe,b14007f018,b14007f018_moe,b14007f019,b14007f019_moe
1.1,Arbor Heights,41,37,7,18,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,18,0,17,34,30
1.2,Fauntleroy/Seaview,101,134,60,102,0,24,0,24,0,24,0,24,0,24,0,24,0,24,15,30,0,24,15,30,0,24,0,24,0,24,0,24,30,53,0,24,41,45
1.3,West Seattle Junction/Genesee Hill,154,125,83,95,0,29,0,29,0,29,0,29,0,29,0,29,12,30,0,29,0,29,0,29,0,29,0,29,0,29,12,30,59,90,0,29,71,70
1.4,Alki/Admiral,24,43,24,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,148,153
2.2,High Point,55,79,22,40,0,17,0,17,11,22,0,17,0,17,0,17,11,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,33,45
2.3,Riverview,17,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,17
2.4,Roxhill/Westwood,648,374,223,179,42,53,27,46,55,65,0,21,0,21,0,21,0,21,10,23,0,21,0,21,10,24,0,21,21,36,0,21,58,57,0,21,425,261
2.5,Highland Park,67,61,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,67,61
3.1,South Park,132,160,78,106,0,17,0,17,14,27,0,17,20,29,0,17,0,17,0,17,14,28,6,16,16,30,8,17,0,17,0,17,0,17,0,17,54,58
3.2,Georgetown,58,79,16,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,21,0,12,42,58
3.3,Duwamish/SODO,58,94,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,58,94
3.4,South Beacon Hill/NewHolly,68,69,13,26,0,24,0,24,13,26,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,55,53
3.5,Beacon Hill,221,284,61,98,0,17,5,22,6,24,19,35,19,35,6,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,22,0,17,160,210
3.6,North Beacon Hill/Jefferson Park,229,227,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,229,227
4.1,Rainier Beach,569,540,329,324,0,27,43,54,48,73,0,27,0,27,0,27,0,27,47,73,94,111,48,73,0,27,0,27,0,27,49,76,0,27,0,27,240,227
4.2,Columbia City,158,115,16,33,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,16,33,0,27,142,106
4.3,Seward Park,52,51,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,52,51
4.4,Mt. Baker/North Rainier,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,22
5.1,Madrona/Leschi,137,96,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,137,96
5.2,Judkins Park,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,23
5.3,Central Area/Squire Park,149,118,21,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,12,30,0,24,0,24,9,25,128,106
6.1,First Hill,401,150,106,65,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,3,22,3,22,0,24,0,24,0,24,71,45,29,50,295,135
6.2,Capitol Hill,146,90,42,42,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,35,26,38,104,83
6.3,North Capitol Hill,56,63,20,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,31,0,12,36,54
6.4,Miller Park,16,20,8,18,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,18,0,17,8,16
6.5,Madison Park,35,56,23,38,0,17,0,17,0,17,12,20,0,17,0,17,11,18,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,19
7.1,Montlake/Portage Bay,69,79,11,24,0,21,11,24,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,58,77
7.2,University District,473,281,420,267,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,402,265,18,40,53,84
7.3,Ravenna/Bryant,197,113,134,99,14,37,0,32,0,32,0,32,10,32,11,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,50,61,49,61,63,47
7.4,Wedgwood/View Ridge,54,38,25,32,13,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,12,28,29,34
7.5,Laurelhurst/Sand Point,38,39,21,36,0,21,0,21,21,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,17,26
8.1,Northgate/Maple Leaf,291,216,49,70,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,42,70,0,24,7,24,242,157
8.2,Olympic Hills/Victory Heights,287,190,62,57,0,24,0,24,0,24,0,24,0,24,14,29,0,24,0,24,26,33,0,24,16,34,0,24,0,24,0,24,6,25,0,24,225,158
8.3,Cedar Park/Meadowbrook,599,324,71,76,0,27,0,27,0,27,0,27,0,27,13,30,16,33,0,27,0,27,0,27,0,27,15,33,0,27,0,27,27,37,0,27,528,307
9.1,Broadview/Bitter Lake,113,73,37,47,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,10,27,27,47,76,60
9.2,Licton Springs,279,204,62,58,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,16,25,0,17,0,17,0,17,0,17,46,52,0,17,217,173
9.3,Greenwood/Phinney Ridge,542,286,134,122,0,29,21,40,15,37,21,40,9,30,0,29,0,29,0,29,0,29,5,29,0,29,0,29,0,29,54,62,9,30,0,29,408,227
9.4,Green Lake,190,118,46,70,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,46,70,144,95
9.5,Haller Lake,149,119,24,27,0,21,10,24,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,14,24,125,108
10.1,North Beach/Blue Ridge,118,135,41,50,29,48,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,12,25,0,21,77,91
10.2,Whittier Heights,134,130,17,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,17,33,0,24,117,126
10.3,Sunset Hill/Loyal Heights,86,66,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,86,66
10.4,Ballard,30,36,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,30,36
11.1,Fremont,119,82,24,38,14,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,10,31,0,24,95,75
11.2,Wallingford,167,136,54,86,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,37,61,17,33,113,110
11.3,Cascade/Eastlake,283,205,30,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,15,29,15,30,253,203
12.1,Magnolia,72,83,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,72,83
12.2,Interbay,60,52,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,60,52
12.3,Queen Anne,505,197,158,93,0,40,0,40,0,40,0,40,0,40,0,40,19,47,0,40,10,40,0,40,48,67,0,40,0,40,0,40,81,61,0,40,347,169
