area_id,area_name,c27001d001,c27001d001_moe,c27001d002,c27001d002_moe,c27001d003,c27001d003_moe,c27001d004,c27001d004_moe,c27001d005,c27001d005_moe,c27001d006,c27001d006_moe,c27001d007,c27001d007_moe,c27001d008,c27001d008_moe,c27001d009,c27001d009_moe,c27001d010,c27001d010_moe
1.1,Arbor Heights,424,142,77,63,64,60,13,25,225,103,225,103,0,17,122,74,122,74,0,17
1.2,Fauntleroy/Seaview,558,167,60,54,60,54,0,24,434,140,344,114,90,96,64,53,64,53,0,24
1.3,West Seattle Junction/Genesee Hill,808,235,221,118,198,111,23,43,550,165,548,165,2,26,37,34,37,34,0,29
1.4,Alki/Admiral,481,168,24,32,24,32,0,24,379,139,368,136,11,25,78,72,78,72,0,24
2.1,North Delridge,524,281,96,99,96,99,0,12,344,170,299,137,45,59,84,64,84,64,0,12
2.2,High Point,1332,293,232,127,183,115,49,78,935,237,891,243,44,39,165,93,165,93,0,17
2.3,Riverview,997,224,215,94,168,82,47,69,665,144,597,138,68,46,117,54,117,54,0,12
2.4,Roxhill/Westwood,1455,347,257,121,257,121,0,21,993,267,867,256,126,94,205,118,205,118,0,21
2.5,Highland Park,1238,373,414,198,414,198,0,21,731,237,689,230,42,51,93,62,79,51,14,27
3.1,South Park,738,225,183,93,173,85,10,20,469,136,341,107,128,84,86,51,86,51,0,17
3.2,Georgetown,156,100,63,38,63,38,0,12,70,56,70,56,0,12,23,16,23,16,0,12
3.3,Duwamish/SODO,522,140,74,69,74,69,0,12,313,84,280,76,33,30,135,68,135,68,0,12
3.4,South Beacon Hill/NewHolly,7652,972,1874,380,1691,322,183,148,4942,670,3571,455,1371,489,836,182,820,180,16,33
3.5,Beacon Hill,5919,780,976,253,968,254,8,19,3919,595,3191,542,728,264,1024,184,999,176,25,42
3.6,North Beacon Hill/Jefferson Park,5731,591,898,248,795,230,103,147,3527,478,2775,374,752,248,1306,207,1306,207,0,24
4.1,Rainier Beach,4281,737,863,307,763,287,100,83,2737,473,2256,399,481,246,681,183,679,182,2,25
4.2,Columbia City,4530,586,850,222,821,225,29,45,3190,468,2262,372,928,314,490,146,478,145,12,30
4.3,Seward Park,1707,232,272,96,267,99,5,16,1093,185,920,169,173,79,342,90,342,90,0,17
4.4,Mt. Baker/North Rainier,842,155,189,134,189,134,0,17,510,93,479,90,31,36,143,78,143,78,0,17
5.1,Madrona/Leschi,704,163,129,81,129,81,0,21,500,130,500,130,0,21,75,53,75,53,0,21
5.2,Judkins Park,989,231,65,57,65,57,0,12,555,165,511,174,44,51,369,81,369,81,0,12
